bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
IL1RAPL2,AL160272.1,FRMPD4,PREX1
CMPK2,CSMD3,EXOC4,DAAM1
CIITA,AQP4-AS1,ITGBL1,ARHGEF12
AL596087.2,ANO8,CEP112,BMPR1B
NXPH4,CALM2,NTRK2,ATP2B4
PLCB1,NKX2-1,DAPK1,CSNK1A1
RAPGEFL1,PCP4,KCNN2,NRCAM
DIO3OS,ANKRD9,NEBL,PPP6R3
ACACB,ST6GALNAC6,ZNF704,AAK1
ADORA2B,HOOK2,IQCA1,TSPAN7
QTRT1,GLUL,MID1,MIAT
LRP4-AS1,ATG4B,NRXN3,AKAP13
MLYCD,SAMD4A,SCAPER,ITGA7
AL591519.1,S100A1,NR2F1-AS1,NFAT5
TMCC2,PTCH2,PRRT2,CCBE1
ZSWIM8-AS1,EEF1A1,SYTL4,KCNIP1
C4orf19,AP2M1,SBF2,ALDH1L1
RAPGEF3,DTX3,SRGAP3,NHSL1
COL4A3,CYHR1,AQP4-AS1,CACHD1
ENPP5,GRINA,RNF24,ZNF638
OTX2-AS1,MAP2,KIAA1328,DAB2IP
TRANK1,COL21A1,GPC6,KCND3
ADAMTSL4-AS1,IRF2BP2,TRPV1,PNPLA7
BST2,ZNF273,FREM1,ZFYVE21
GABRE,MTCH1,AC104596.1,UBE2H
AL731574.1,CAPS,MBD5,PDE4B
OAS2,FAM181B,SNX29,MRTFA
AC012404.1,FAM153CP,SNED1,PACS1
ARFGEF3,MYO5C,TJP1,RHOBTB3
ZNF676,AC242022.2,RUFY3,DLC1
STS,ATP2B4,PTGES3,LGI4
ATG9B,ITGB8,INTU,PALM
AP001993.1,HAP1,PIK3R3,PPP2R2B
TF,CRLF1,SYT14,STOX1
SARDH,HS6ST1,PLEC,ARHGEF11
C1QTNF1,TMEM47,CTNNA3,LYST
PUDP,ANXA1,TESK2,ATP2A2
PNN,RANBP3L,AP3B1,SAMD4A
GALNTL6,ATN1,DSCAM,PLXNA2
SNAP25,FOXJ1,SNHG25,DOCK5
ADPGK-AS1,LRRC8A,PLCH1,GBF1
PLAAT1,JDP2,UST,OGA
DDX60,DEC1,SPIDR,SPTBN4
AC007368.1,P2RX7,BCKDHB,ADD1
TPSD1,ID2,CDK19,CAMK2B
CPNE5,CLSTN1,EGF,RAB31
AC092969.1,NAV1,LINC02197,GLG1
FREM2,PNRC1,SEPTIN4,GPCPD1
AL355306.2,SNCA,GARNL3,ADGRV1
ARL17B,ATXN2L,MXI1,TMEM165
GHRL,GPX4,NSD3,C1orf21
LINC01807,MAZ,LINC00499,ATP2B2
AC114803.1,FADS1,FUT8,ANO6
HIF1A-AS3,YBX3,RMRP,NPAS3
FAM106C,HMBOX1,LINC01524,CHKA
DSCAS,LAMA5,EHBP1,AHDC1
AL008633.1,SCD5,SDCCAG8,CPNE8
AL117329.1,VASN,DSE,SON
CUX2,H2AFZ,IFITM2,EMID1
EPS8L2,SREBF1,CASC2,CKB
NRGN,HAGHL,TEAD1,GPHN
GABRG2,LINC00862,PRKCB,CABLES1
AC008415.1,CERS1,AC095060.1,ZCCHC24
LINC01726,PLEKHA5,ETNPPL,DPY19L3
AC244502.1,HEPN1,SOX2,TAFA5
PODN,TANC2,SYNDIG1,KANK1
CRACR2B,BAIAP3,STK39,ST5
CACNG8,CAP2,CCDC30,ZNF518A
ARHGAP8,ATP5MC2,LINC00836,DLG2
LNX1-AS1,PLOD3,NR2F2,CRIM1
ACOT1,TEX2,RUNX1,GPATCH8
LCNL1,GPR37L1,MAGI2,PRDM16-DT
WIF1,DDRGK1,AL035530.2,FAM107A
RBFOX3,SAFB2,OPHN1,FNDC3B
KIAA1211,GPRC5B,DCLK1,C20orf194
AC253536.6,C2orf72,NTNG1,TPCN1
AC009407.1,HP1BP3,FHOD3,CUX1
LINC02607,UBA1,LINC01376,SERPINE2
AKAP10,ACKR3,ADCY1,BCL6
AC008957.2,FRMPD4,AC138123.1,FARP1
HSF4,ADGRG1,PLCG2,MROH7
HEPN1,COL6A2,RGS9,DPF3
AC011467.1,ENHO,ACTA2,FAM184A
DTX3L,MTHFD1L,KCNMA1,NRP1
RASSF4,DNAJA1,CFAP43,COBL
C11orf95,CPE,TMSB10,TSPOAP1
STMN2,RFX4,AC008127.1,GSE1
MIR3681HG,MAFG,RAP2C-AS1,LGR4
MX2,BSCL2,CAMK2D,CAPN2
ADAMTS10,PCDH15,PDCD4,AHCYL2
AL672277.1,KIF1A,TOGARAM2,KREMEN1
NPSR1,CX3CL1,AC077690.1,AC087564.1
AL390783.1,CHORDC1,TMEM232,ACSL3
LINC01193,AC093797.1,TEX9,EHMT1
PCGF2,GNAS,PLAGL1,ACSBG1
CA9,SSBP4,ZMAT1,AC073050.1
GABRA1,CACNA1B,ADGRG7,BTBD9
AL137781.1,PTCHD1,C11orf80,WWC1
SYN3,CCDC88A,CECR2,CMIP
NWD2,GAS2L1,ERICH1,SFPQ
LMNTD2,MARS,RNF213,AC007389.1
OSTM1-AS1,PSAT1,TAB2,RNF150
AL513166.1,CSF1,ADD3,MYO10
AC009899.1,SLC25A29,HSPD1,PPP6R2
LINC02538,SLC22A17,ZDHHC21,SEMA4B
PCDH11X,TTR,ABLIM3,TPD52L1
OSMR,JUN,AC245187.2,SPAG9
AC092617.1,MTA1,AL445250.1,MRTFB
RTP5,VIM,AQP1,ABCD4
AC078842.2,DDIT3,MYOF,DAP3
IRGM,DPYSL3,AC079781.5,AC098829.1
IQSEC3,EPB41L3,LINC02406,GRM3
RGS6,JUNB,BPTF,PCLO
MRGPRF,SAMD12,RGS11,ELMOD1
EPHB1,MARCH6,ATXN2,SPPL2A
SH3D21,ITGA2,HSPB8,PAFAH1B1
SYT1,MARCKSL1,ZRANB2-AS2,MEIKIN
RNF125,IWS1,LDLRAD4,MEIS2
TBC1D4,AC090825.1,PNMA2,SIPA1L2
A4GALT,CLSTN2,EPS15L1,CHD2
AL450345.2,FADS2,SGK1,SAFB2
NPAS1,RASL12,AC092115.3,KLC1
TESPA1,KIF5C,PHACTR2,LHX2
FABP3,PLCD3,DIRC3,FGD4
AC110614.1,PLIN4,ENTPD2,AVL9
LINC01291,PPP2CB,RBMS3,SLC4A4
JPX,DOCK10,AC123912.1,NRDC
PDPR,SLC6A8,LMO3,FLRT2
KCNJ6,AC104041.1,SH3BGRL2,ENSA
PLSCR1,LAMP1,PPDPF,DDX17
AP001972.3,VCAN,FBN1,PITPNA
KCNA4,MRAS,PKN2-AS1,RPS6KA2
TMEM88,ERBIN,ACADVL,SMAD3
TTLL7,COL24A1,SASH1,GLI3
ARHGAP24,AJAP1,SESN3,HNRNPC
AL118516.1,SDR39U1,AC124947.1,PDXK
LFNG,PAXBP1,CLDN11,KMT2C
KHDRBS2,ZNF135,HMGN2,PER3
IFNG-AS1,KCNE4,MGST1,HIVEP3
SEPTIN9-DT,RFX3-AS1,IFT88,RBFOX2
ARRDC2,MPDZ,VPS35L,GNAQ
AC092756.1,PIM1,IQCK,SLC27A1
RHD,C1orf122,C9orf72,ASPH
KIAA1211L,SAT2,RSRC1,ZFAND3
AC011379.2,ARHGAP39,NRP2,SEPTIN2
KCNJ4,HSPA1B,CIRBP,NCOR1
AL031590.1,LENG8,FGL1,TAF15
AC020779.2,CALM1,PAWR,BTAF1
DCTN1-AS1,NARF,LRRIQ1,RBM5
FAM13C,PDGFRB,SQSTM1,PRKCE
AC004930.1,CCDC151,MTRNR2L1,SCMH1
PFKL,DGKZ,TAOK3,SREBF2
FEN1,PIR,AC009654.1,ALDH7A1
AP000282.1,CDIP1,LINC00894,RAB11FIP3
KCNT1,GPS2,OGA,ZNF280D
AC073336.1,AC016042.1,NR3C2,FHIT
SH3BP2,KCTD13,BNIP3L,PTPRJ
GRM7-AS3,WLS,AC046134.2,ABR
LINC01117,COL8A1,LINC02251,DLGAP4
AL590807.1,JPX,AL050309.1,DDAH1
PRKAG3,ITGB4,CDH4,MDM2
NECAB1,AL157886.1,AKT3,DENND1A
PKM,MT-CO3,B3GAT2,GAK
LINC02492,MT-ND2,TFRC,TRAF3IP2-AS1
PTPRR,E2F4,EFCAB11,TULP3
RANBP17,PTOV1,HNMT,MED27
RAD21L1,HAUS7,DNAJC27-AS1,BMPR1A
EPHA7,AC234582.1,LINC00461,PCDH9
PSG4,RENBP,CDKAL1,KMT2E
PITX2,MEF2D,HMGCLL1,TAOK3
GLB1L3,ABHD3,C21orf62-AS1,AOPEP
AC130469.1,HSP90AB1,DNAH9,PAPLN
SEPTIN4,F3,SOX5,LYVE1
AP001065.3,AL096803.2,AC016766.1,TOX
ITPRID1,ENO1,C8orf34,FNBP4
HUNK,SRGAP1,LINC02389,PLCB1
AP006621.1,SPPL2B,NR1D2,CD47
AL133538.1,DOC2A,LRBA,DIP2B
HSD17B6,EPHX1,SERPINI1,KCNMA1
OR4M2,BHLHE40,SERPINE1,STAT1
AC084759.2,IARS,SON,SNX29
LINC01250,JTB,SERINC5,GNG7
PLK5,TRIM8,TRIM5,POGZ
AC005537.1,PNPLA2,SRPX2,ZSCAN18
ZNF385D,ALDOC,TTLL9,ATP9B
CDH18,LINC00960,SLC7A5,XRCC5
SLC22A24,TUBB2B,LINC02006,DYNC1H1
ARHGDIG,RAMP1,WDR6,GASK1A
CREG2,CHDH,AC012063.1,GABBR1
AGAP2,PIDD1,AC027117.2,CALM2
AC104135.1,ZXDC,ANTXR1,ECPAS
SCN1B,BCAN,CNTN1,SGK3
LINC01872,AC009163.1,SETBP1,PNPLA8
ICAM5,PXYLP1,AC063979.2,HIPK2
AL031710.2,NWD1,NBEA,RIN2
F11,PRKCA-AS1,PAN3,EPB41L2
CBLN2,LRRC37A2,RNF19A,PPP2R2C
NPSR1-AS1,MPHOSPH8,CYP21A2,AP001528.1
GRM7,XBP1,FYB2,MT-ND3
AC008738.1,GAB1,ZFP36L2,PLA2G4C
SRGN,HES1,PLEKHA5,ATXN10
ARID3A,AL365259.1,MLLT3,GFRA1
CNTNAP2,SHC2,QKI,ATXN1
U2AF1L5,SRPX,LINC01094,APOE
AC243829.2,SRSF11,CCDC18-AS1,EXT1
RIT2,KIFC2,VPS13B,ABCA1
ANO3,AC005261.1,SEMA3B,SCD5
LINC00943,CTSF,ELP4,ANKRD26
FSTL4,AGFG2,WBP2NL,FTL
TMEM179,AC079385.1,ZHX2,CPEB3
AC109466.1,TMEM59L,IFRD1,OTUD7A
TAP2,FRMPD2,BBX,C1orf54
FAM163B,ATF4,SLC25A37,JAK1
PLA2G5,PAM,NPAS3,NBPF14
NEURL1,PLEC,NUTM2B-AS1,BMERB1
AC103874.1,TCF25,BCO1,SNHG14
SLC39A14,KLF2,PALLD,LPP
OPRM1,SH3BGR,ULK4,YAP1
GATA3,AK1,RFX3,SH3PXD2B
CAMK1G,AMPD2,C3,RTN4
AL357507.1,BTG3,LINC00342,LUZP1
RNF212B,ITGA6,SPARC,BMPR2
SVOP,GAREM2,AC009126.1,SH3RF1
GPR68,SLC7A5,AC097658.2,MAPT
RAB3B,ECM2,ST13,IFI6
NEUROD1,FAM157C,USH1C,CRY2
AC104695.3,LAMP2,DCDC1,CLASP1
DOC2B,ANTKMT,WARS2-AS1,ACACB
MUC1,FAM160B2,FRMPD2,KIF1B
NDST4,AKR1C1,ARSG,NRIP1
DDX58,ATP5PF,LINC02518,LRRFIP1
CHRM3,PLTP,UACA,SMG6
AL121985.1,ELOVL7,RASGEF1B,DHX36
AC011246.1,ARHGEF10L,OFD1,XKR6
GULP1,TNFRSF1A,LINC02062,FOXJ3
TMEM130,AUP1,PAGR1,IL6R
GABRA5,NFATC4,MAGI3,PRRC2B
BDH1,SMARCC2,RPL37A,MIDN
SLC26A10,COL5A3,GMDS-DT,TRA2A
AC027117.1,ZNF106,DUSP18,GRAMD1B
AL513128.3,IGF2BP2,DHRSX,PRICKLE2
AL034351.3,ZBTB16,NOL3,CST3
OR52K1,STOM,LINC02615,SRRM1
CACNG3,FKBP10,NR4A3,ATXN7L1
TGFBI,C1orf198,EYA1,ARHGAP35
AC018616.1,CSRNP1,COX10-AS1,MAP3K5
DSC1,RANGAP1,SKAP2,ZFHX3
AC007014.2,BARD1,VGLL4,GRIA2
AL109615.2,SDC3,ANKRD36C,ARID1B
CRIM1-DT,KIAA1549,AC010889.2,AC087854.1
CLUL1,BX664727.3,C20orf194,SLC24A3
AC024563.1,PAQR8,MLLT10,NCOA1
LINC02040,HEPACAM,AC093817.2,TSC22D2
AC013460.1,ADORA1,LRRC6,MFHAS1
AC103855.2,ANOS1,RABGEF1,FAM171B
RGS4,HSPA5,NHSL1,NOTCH2
PVALEF,SAMD1,STAG1,ACTR3B
RPH3A,AL096709.1,C8orf37-AS1,GABPB1-AS1
SMIM36,NDUFS2,ZFPM2,MEF2C
ROR2,RASGEF1A,PLXNA3,PPP2CB
AQP9,CLK1,TSBP1-AS1,RBM25
CNTN4,DENND4B,AVIL,WDR59
DSC2,AL109930.1,TIMP1,YY1AP1
SLC8A2,ECE1,TPM4,FAM118A
TBC1D3,LRCH4,SGSM1,WASF2
NELL1,FXYD6,ITFG1,ADCY9
FZD10,STIP1,MIPEP,PYGB
AC015943.1,SRSF10,MOB4,PIP5K1A
AL365181.4,TLE5,AL627316.1,ZKSCAN1
TBX2-AS1,MARCH3,LIPE-AS1,SPARCL1
IFI35,ENO2,TCF4,CBFA2T2
AC008591.1,MEIKIN,CACYBP,SNTA1
GABRB2,OSGIN2,LINC02731,VPS53
SPATA31A1,HSP90B1,L3MBTL4,GLDC
AL008730.1,KDM5C,GRIN2A,CCND3
CTXN2,COLGALT2,AC092944.1,RBM6
AC137579.1,INPPL1,HSPA9,LGALS3
GLS2,AHSA1,LAMA2,FBXW11
OPALIN,MT-ND4,SLC16A6,TENM4
SNCB,FLCN,CTNND2,PAMR1
COQ10A,SREK1,AL160314.2,HRH1
LINC02369,SPACA6,CP,MAGI1
AC015563.1,HERPUD1,CHODL,NFATC3
TMEM233,PABPN1,WASF1,CTTN
SLCO4A1-AS1,USF2,TMEM202-AS1,SETD2
KRT222,FOS,CNTNAP3B,NFIC
AC091212.1,PRDX1,PLIN2,SNTB2
EPHA3,SCN1A-AS1,ARRDC3,NCAN
CDH9,CC2D1A,AC079298.3,SREBF1
PIM3,GATM,MIR3936HG,CPE
AC107032.2,SLC24A4,EMID1,NACC2
MTUS2,NMT1,TFDP2,FLOT2
AC134980.2,PGP,NCKAP5,CAMSAP2
IGHG3,DDX46,PPP1R3C,TBL1X
AL451070.1,RING1,WDR11,ERI3
TRIM71,RHBDD3,TRAPPC9,PHACTR1
GRAMD2A,RETREG1,UPP2,MAP2K1
AL445490.1,CD151,PTK2,RAF1
SYT16,PHYHD1,SPAG1,XRRA1
AC021594.2,SYNE2,PNISR,ZSWIM6
RGR,SUGP2,LIX1,SRGAP3
AL353730.1,BHLHE41,NUBPL,PTPRA
LINC02428,MACF1,GPR161,GPR37L1
C16orf86,MT-CYB,F5,ADGRL3
CNGB1,COL6A1,ADAP2,MBNL1
RIMKLA,NPAS2,ZHX3,PREX2
INHA,AARS,ACYP2,DOCK6
MEIS1,RDH11,ERC1,FUT10
AC019211.1,CCDC175,TMEM150C,UQCRC2
CD14,DYNLRB1,AC019257.1,UBR1
SNHG11,YARS,ABCC4,MCC
AC093459.1,SMAD1,FBXL20,ACO1
SLC16A8,PRMT1,KIAA0408,GLI2
AL031768.1,CIC,TSGA10,SLC43A2
AL450352.1,HMGB1,SLCO3A1,URGCP
ZDHHC11,KCNMB2,NKAIN3,RABEP1
KCNS2,TNC,CBLB,BCR
RUBCNL,LAMB2,KANSL1L,CHPT1
AP001351.1,ITPKB-AS1,ARID1B,TMOD2
AL133166.1,AL512662.2,LINC01550,SPIRE1
LY86-AS1,KIT,PDE4D,RNPC3
CR392039.4,LINC02802,CADPS,HEPACAM
AC022325.2,KAZN,AC245123.1,MAPK1IP1L
AC005871.2,RGCC,EXOC6B,PSD2
PIK3IP1-AS1,SRI,AC019068.1,KIAA1671
GABRG3,UBA6-AS1,GAN,MMP28
LINC01331,ZNF302,NCAM1,SEM1
PRRG3,SPRY2,APBB2,MAPK1
PLEKHF1,LCNL1,P4HA1,ARAP2
TNFRSF11B,MTG1,FAM172A,GNB1
VSTM2A-OT1,AC005237.1,KLRD1,LRIG1
AC025419.1,H3F3A,LINC00632,AC005753.2
CCDC42,OLMALINC,PLIN1,HIF3A
RNF17,CXXC5,CCDC146,CDK13
ZMAT4,SLC30A1,CAST,MAP4
AC005234.2,ABR,AC006157.1,SMG1
XRCC3,ABCA3,STK32A,RABGAP1
TUNAR,ABCC9,PTPRG-AS1,LEPR
PWP2,DDX17,MYRIP,SPRED3
ABCB1,ARHGEF17,USP54,NBPF19
AL009178.2,MYBPC1,NOVA1,TTC17
AC013564.1,IL4R,CEP128,ZNF586
DUXAP8,RCN1,B3GLCT,XPO1
EFCAB5,FAM217B,IKBKE,CAPZB
AL139379.1,PLEKHG4B,UFL1-AS1,PITPNM2
GPR151,ADCYAP1R1,FXR1,COL16A1
WFDC1,CPNE8,RGN,TAF1D
AL845331.2,PLPPR2,STIP1,HECTD4
PLA2G3,ATP6V0C,NOS1AP,ZZEF1
FN3K,C9orf16,CALD1,WARS
AC087516.2,CD63,SLC7A14-AS1,MED15
AL450322.2,SHISA4,MICAL3,PHACTR4
TMPRSS3,REPIN1,SPPL3,APCDD1
ESRRB,FAM53C,TMEM9B-AS1,DLG1
AC092111.1,SKP1,ACAP2,PHC2
AC069277.1,PRR16,KIF13A,RAB3GAP2
KCNK12,CHCHD2,CLU,GATAD2A
LINC00621,CTTN,CCDC148,EVL
PRDM12,LINC02649,CACNB4,HNRNPM
VGLL1,SNN,BTBD9,HOOK3
NXPH2,C4orf47,ODF2L,LYN
AL355076.2,FDFT1,NELL2,USP9Y
CHRNA9,KIAA0232,KIAA1671,IFI44L
HESX1,HNRNPK,SCLT1,ARHGEF10L
GPR27,CNTNAP1,TMEFF1,CHST3
