bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
PRSS55,ATP6V1D,AP000331.1,OLFM1
TNNT2,MAF1,BX664727.3,FAM66A
SH3D19,P2RX7,RAD9A,MAP4
LAMA4,AC010931.3,AC246817.1,KSR2
AC115622.1,PTOV1,NEU4,GABBR1
COL28A1,C1QTNF4,LINC02050,GIPC2
TAZ,MTCH1,GRIA1,SYP
RPL15,BAIAP2,LINC01338,GRIA2
LDB2,TGFBR3L,TIAM1,DGKI
RPL18A,RPL18A,AL359987.1,SCG5
LINC01572,LINC02763,AC092834.1,CCDC18-AS1
AC004784.1,NGRN,AC116345.1,TTC19
MALAT1,RPL13,ADGRG7,NAV2
CCM2,PTS,NKAIN3-IT1,AC079781.5
AC092159.1,ACKR1,LINC00658,SGIP1
ZDHHC2,CSTB,DDX43,CAMK2A
PXYLP1,RPS28,AC090125.1,CNTNAP5
PANTR1,LDHA,TRIM56,GNB1
GSE1,CAMK2N1,AC023824.3,SHPRH
ATF6B,PIM3,PPP2R3B,SNRNP70
SPSB3,COX8A,LINC01804,BASP1
AC062028.1,GHITM,CCBE1,RNF157
AC110296.1,SLC38A2,AC005909.2,GLS
AC007405.1,METRNL,AJ003147.2,TPST1
DDHD2,CTSB,AL024497.1,KCNB1
AL355672.1,IL17RC,RBM20,RPS12
HS1BP3,HNRNPAB,GTF2H4,ANO5
FGF22,FAM120AOS,AL031658.1,WDR17
PRKCB,RPL4,BBOX1-AS1,CCND2
OSGEP,RPL28,AL136317.2,DYNC1I2
GRAMD2B,POMZP3,LYPD6B,DANT2
FSTL1,CACNA1G,AL355314.2,SLC20A2
AL118516.1,OPRL1,LINC02302,KLHL25
CAMKK2,JTB,WDR6,PLCL2
KDM6A,GRK2,AC008825.1,ANKRD17
RCOR3,APLP1,TPT1-AS1,CPE
ATP1A1,HNRNPA0,AC138305.1,HSPA1A
FBXL4,RAB6B,ANO3,KIAA1109
RAB37,INSIG1,LINC02334,DZIP1
AC104335.2,GRINA,LINC00343,ABCA5
TPK1,SMUG1,AC092110.1,ITPR1
ARL4C,YPEL3,DSP,USP45
JAK1,ISLR2,CNTNAP3B,GOLGA8B
SDK1,AGAP3,AC121764.2,DGKE
FAM47E,TRMT112,LINC02122,NAF1
PXDN,PIP4K2B,AL359091.1,EFR3B
HAGH,RTN4R,CDH9,ATP5F1E
MRNIP,TMEM167B,LINC01606,SLC45A4
AC007368.1,PRXL2A,AC093903.1,C1orf21
LINC01814,CCSAP,CADPS,MIR181A1HG
FAM27C,RPS13,AL139327.2,AKAP11
METTL6,AC069277.1,FRG1-DT,RAB11FIP4
FAM66B,HNRNPA1,AC108463.3,SYT11
