earlyAD,lateAD
AC079298.3,MEGF10
BTG2,NRXN2
ZFAND2A,EIF5A
KCNJ3,ZFPM2
LRRD1,KHDRBS2
SERPINE1,SRRM2
AC084816.1,Z73420.1
TRIM59,AL590434.1
EPHA6,CLIP3
ERBB4,BICC1
CYYR1-AS1,PEG3
CNTN3,AL023284.4
CNKSR2,MT2A
LINC00393,CHL1-AS2
RUNX2,ISLR2
ARRDC3-AS1,OIT3
MARCH1,MSRA
CCDC91,AC092652.2
STEAP2-AS1,AC137630.3
SLIT2,CHD3
TMC4,CEL
EFCAB8,ARMCX5-GPRASP2-1
BHLHE40,CPT1B
GTDC1,EGR4
LRFN5,SLC38A11
STPG4,AMER2
LINC02150,C6orf118
KCNMB2,EPHA5
NOCT,NIPBL
MYPN,KDM5C
DHH,LINC02207
SCAT8,RPS6KA5
AC068279.2,FP671120.4
AC036108.3,PAPOLA
MAP2,LINC01193
AC078983.1,ORAI2
AL590999.1,AP000302.1
FAM242A,RCC1
AC092422.1,BAIAP2
COL24A1,STX17-AS1
LINC01494,LIN7C
P4HA2,FLRT3
IL1RAP,PPP1R1A
RYR2,NAP1L3
ACAN,POT1-AS1
AC093206.1,DPYD
PCDH9,GDPD3
AL591519.1,CPEB4
SEZ6L,U2AF2
ADAMTSL4-AS1,GIPR
AC093928.1,IMPG2
MASP2,LINC00632
SGSM1,AC024560.3
PTCSC2,DRD1
AC079210.1,POLN
LSMEM1,CNTNAP2
LINC00630,ARHGEF25
GAL3ST2,PRPF4B
ANKRD12,LINC02795
PXDN,AL353688.1
BCL2L2-PABPN1,AC016687.2
SMC5-AS1,LINC01284
WDR76,AL160314.2
LINC01310,LINC02054
CXXC4-AS1,IQCJ-SCHIP1
CSRP2,AL031658.2
ANKRD42,LINC00378
ARMCX5-GPRASP2-1,FYCO1
LINC02060,ADARB2
CRPPA,GADD45B
BTG3-AS1,LINC01088
AC244502.1,FKBP3
HS6ST3,NPIPA8
NOXRED1,AC099344.3
MYO5B,POLE
NFE2L3,AP001007.2
YIPF7,KCNMB3
ME2,NRIP1
RHOH,SSUH2
AC011246.1,CSGALNACT1
GTF2IRD1,FOXN2
CDKL5,AP006295.1
MYO7A,BMI1
TBC1D3,AC100793.4
AL591518.1,DNAJC28
SLC45A4,AL512662.2
NRG3,PRDM8
MAP2K3,NPFFR1
RAB28,SPECC1
LINC02636,B3GAT2
BTBD19,CGGBP1
AL139815.1,TMEM232
ADAM9,LINC02055
C4orf19,PNLDC1
PTPRM,ITPR1
FAM135B,RGS12
CDH18,NPFF
AC130456.3,GRAMD1C
DAPK1,SSBP3
AL357972.1,AC025470.2
HERC4,COL27A1
RAMP1,SLC17A7
TEX14,STARD4
LRRC38,TRPS1
NFIA,ENC1
AC007255.1,SREK1
CA7,AC009495.1
SMARCA1,MTFR1
SLC38A2,MRO
CDH6,TIFA
C5AR1,NXN
PKP4,KLHL9
KCNG3,MNS1
PCLO,PCDH7
ARG2,IL16
SLC9B1,TAS1R3
USP50,SNHG9
AC007364.1,AL356488.2
OSBP2,PRRC2C
OPRD1,SLC24A2
TNFRSF12A,AC069133.1
GPC5,AC015660.3
AC078929.1,RHBDL3
CFAP74,HTR1E
CRYBB2,HPYR1
PPM1E,KCNQ5-IT1
PCNX1,INA
SNAP91,LINC02223
MAMDC2-AS1,RNF208
TMEM178A,NRXN1
MMP16,SAP25
TBC1D8,NEFH
CCDC81,CHORDC1
RAI2,FSD1
MBNL1,H1F0
EFCAB2,AC069287.1
COBLL1,ITGB8
ITGAV,CRYBG3
SLC8B1,AC092652.1
MIR4435-2HG,ELFN2
EDIL3,HTR1F
DIXDC1,ZNF117
CORIN,PDE7B
CSMD2,TEX14
SNAP23,C18orf54
PRDM1,STAB1
CHL1-AS2,RPP38-DT
DNHD1,AC019211.1
BAZ2A,VSTM2A-OT1
FANCI,HIST1H2BE
LRBA,RESF1
ZNF718,AC018638.7
ROR1,PLOD2
LINC01359,NCDN
TMEM236,TUBB4A
SNHG4,MLLT3
MAPKAPK2,AC005306.1
SESN3,PTPN13
ANGPT1,TMEM202-AS1
AC048341.1,AL355612.1
NAA16,LUCAT1
MSC-AS1,PPFIBP1
HMGN5,TRIM69
Z97056.2,GLB1L3
VASP,LRFN4
STARD4,LINC01748
CIITA,CAB39L
AP005230.1,DGCR9
AC009878.2,SIX4
MYADM,AC069281.1
TAFA5,DLG2
AC183088.3,AC009093.2
IL5RA,AC005740.5
ESRRB,AL589693.1
PRKX,LINC02821
TF,ZEB2
PRKD2,TMEM161B-AS1
FAM155A,UBL3
DENND1B,MSTN
NPTX1,CSRNP1
APBB1IP,AC005480.1
ITPR1,KCNJ14
Z94160.1,THSD7A
ARL5C,AC024560.1
ZNF451,AC068722.1
MGAT4C,CFAP74
VPS13C,TNS3
AC008467.1,CAMK4
GPATCH2,AC114284.1
EFCAB6-AS1,DST
FAM227A,AC183088.3
CAMK2A,PPP1R1C
DNAH12,CLDN9
AC005487.1,FBXL16
AC013652.1,AC109927.1
TRAM2,AC093433.2
FBXO22,AL137785.1
LGSN,CRB1
AC016745.1,CCN2
ATP1A2,MT1G
SLC13A3,NLGN1
PRRC2C,AC022509.2
AC009226.1,LINC00862
SLC25A18,AC006115.2
SNHG31,AP001341.1
ETNK1,LINC01951
CNTNAP3,MIR4500HG
PPARG,PIM1
AL138694.1,AL590235.2
MAGI2,KCNA1
CYTOR,AC011603.2
CCNT2-AS1,CDK16
YTHDC2,PHACTR1
AC007728.2,BBS9
UBR5,ADRA2C
NAA50,AC104083.1
MTERF1,CADPS2
AF117829.1,NME9
C8orf88,FOXG1
LINC01060,LINC02094
PCDH7,RGCC
ANK1,BMT2
PLEKHA1,KLHL1
MAP4K3,KIAA2026
SIK2,LINC02203
CACNA1G,PFKP
KIAA1522,SCRT2
AC011995.2,AC079779.2
KDM4C,LINC02822
AC104695.2,MC4R
HUNK,LINC01933
PLCB1,BSPH1
TREH,SLITRK4
AC139100.2,ZBTB41
AC078860.2,TAS2R30
LINC00930,STAMBPL1
GNG7,SVIP
TRAIP,COX19
LINC01983,AC023202.1
BMT2,FRY
CHN1,ZNF680
LINC02720,MOB1B
RHOQ,TMPRSS7
RBM44,IQUB
AL512306.3,RGMA
LIMCH1,RPRM
MKX,IFT140
AC114971.1,MARCH3
ARHGEF2,LY6G5C
HTR4,ST8SIA1
HHLA1,NAA16
STAC2,VPS13C
MECOM,CCDC117
AC006333.1,AC138932.5
MIR99AHG,PLEKHA5
FER,HOPX
FOXJ1,OR51E2
LRRC69,EXPH5
CYREN,N4BP2
ROCK2,DUSP8
CCDC61,TESPA1
GABRB1,NPAS1
PNPLA1,SKIL
PFKP,KCNIP4
AC007128.2,LY86-AS1
SPARCL1,ATXN7L2
LNCSRLR,GALNT3
ABCC11,HECW1
PLEKHA7,CBLN2
GADD45G,SH3BGRL
OOSP4B,AL359764.3
AL157911.1,PLP1
LINC00535,SERTAD4
GRID1,AL035603.1
VCL,NFIX
JAZF1-AS1,PLXNB2
TRIM31-AS1,TNFRSF19
MCL1,HCN1
AC073475.1,MID2
AC025539.1,SERTAD4-AS1
NCAM2,C1QTNF1
LEKR1,NR3C2
CNTLN,PTGER3
VPS13B,NNAT
LINC02362,LDLRAP1
CAMK1D,GOLGA6L10
AR,ABCB4
AKAIN1,GZMM
MAF,NLRP1
TPST2,AIM2
RCOR3,PCDH11X
AC011595.2,C14orf132
MAPKAPK3,AL139240.1
ACSM1,GYS2
MT-ND4L,TERC
BAIAP2,AC099482.2
KIRREL3-AS1,ZSWIM1
SYNE1,ZEB1
DTNA,VASP
SYNDIG1,BMP1
BEND3,AC008571.2
AP001053.1,KLHL4
RUNDC3B,LINC00997
PPP1R13B,KIF13A
GRIK2,PCDHA10
YBX3,HIST1H1E
AC003666.1,NUDT10
LGALS9,PLIN4
FGF12,LIME1
LINC01342,AC067930.8
DST,SLC45A2
FAM13A-AS1,AC015845.2
KANSL1L,BAZ2B
CCDC148,ADGRL3
FRZB,GLI3
HS1BP3,AC036108.3
HRK,AL355773.1
PPA2,AF038458.3
ABTB2,AP000688.1
C2orf27A,AC122707.1
PDS5B,CPNE2
MYRFL,LINC01983
AC008105.3,SATB2
LINC00342,CXCL12
DNAH11,KLF10
ALDH1L1,FAM107A
AP000695.1,SLCO1A2
AC006994.2,NPIPA5
KIAA1211L,RIT2
DHDH,BX842242.1
GPAT3,CACNA1I
ELF1,GIT1
AL139035.2,AP001062.1
EFEMP1,AF279873.3
AKT3,LINC02120
FRMD8,TEX43
AC002377.1,SEZ6L
AC005972.3,AC093535.1
NOP58,AC018638.6
AC093765.2,PDE4D
MIR4300HG,ARHGAP5
AC068658.1,MAML2
TFEB,UNC13C
AP000446.1,ANKRD12
ATP13A3,PSPH
AL035670.1,AL133475.1
FHOD1,C12orf29
LONRF1,KLHL21
TENM1,COBLL1
AC005534.1,AL591135.2
LRRTM4,PDS5B
MPDZ,SP110
ME1,FBXO5
ZC3H12A,ABHD17A
SORT1,CFAP300
FP325335.1,KCNC2
STXBP5,CDKN1C
GYS1,AC007370.2
NOL4L,C11orf52
PAM,IKBIP
MRTFA,IL5RA
GPR89B,TEKT5
LINC01620,WNT5A
AC009522.1,FGF17
AL158071.4,PHKA1
LINC02542,CDH10
GPHN,MTRNR2L10
RASSF3,CXXC1
AC053513.1,CCDC160
DIPK2A,COL20A1
ATP6V0A4,LDB2
DUSP14,C3orf20
SULF1,AC009955.2
MALINC1,GNAS
RNF185,AJM1
PDE9A,LINC02773
SAMD12-AS1,LINGO2
SLC12A3,NBEA
PANK3,DNAH10OS
RGL1,AC007922.3
AL360270.2,CD109
PAPPA-AS1,ST3GAL6
LINC00963,SLC7A9
TEKT5,AC107021.2
MBNL2,DNA2
COL28A1,CASP6
ADGRL4,LRRC66
EPHA7,PDE2A
MXD1,AC090825.1
FAM160A1,FKBP5
SIPA1L1,TSIX
INSC,ADORA2A
VEGFA,C4orf50
AC104211.1,BAG3
PRKCA,NECAB1
TRPC4,LINC02193
AL034348.1,GPR135
PLEKHA5,SNRK-AS1
AC110023.1,TBR1
PALLD,AC015849.1
PRSS55,AC090403.1
PHF8,ACAN
AP001781.1,GRK7
NOSTRIN,LINC02811
PEX5L,PLIN1
SKI,AC005225.2
AC073941.1,PPP3CA
MGAM,FKBP1C
UBE2W,AL590999.1
AC079950.1,AC090617.10
LINC00498,AC073941.1
MBD5,TSPYL1
AC016831.7,WDFY3-AS2
HIVEP2,PRB1
GAS2,STARD10
CPO,MIA
AC022217.3,PHF3
AC021733.4,FIGN
EFNA5,AL162511.1
RAI1,ATRNL1
AC090150.1,LINC00304
TRIM26,PRRG1
NRAD1,ABCD2
DUBR,SH3BP5-AS1
PNOC,CAMKMT
MAPRE1,AC035140.1
STK40,CLCA4-AS1
GPR84,ADAMTS2
CRTAC1,LYPD6
LINC00310,ZNF692
TIAM1,AC009407.1
RGPD2,AC116096.1
TMEM117,TCEAL9
LINC01588,MMP16
AC025887.2,AL078622.1
ADAM22,FEM1C
NAALADL2,CDKN2B-AS1
AC017074.1,HSPA2
FAM167A-AS1,RELA
PPIP5K2,CALHM2
AC022762.1,BHLHE40
LINC00499,AC005674.2
ASCC3,AL161449.2
AC124290.1,PREX2
TBC1D32,CNTD2
AC073325.1,SELPLG
GLB1L3,KCTD14
MYH6,KIF15
SDK1,MYT1L
HIF1A-AS3,CCDC69
RARB,AC109449.1
KIAA1671,SNCA
MRC2,LINC02024
AL354740.1,NTNG1
JDP2,HMG20B
AC106795.3,JMJD6
AC013391.2,LRP4
PDK1,LINC02488
RPS6KA2,INSYN2B
RABGAP1L,HAGHL
AC107021.2,CLGN
LINC00882,AGAP3
MITF,ANTXR2
ROPN1L,CEP152
UBE2H,PRRT3-AS1
AL355672.1,GNAL
RPL34-AS1,FAM117B
C2orf66,EGR2
TENM4,AC006197.2
GPN1,SLCO3A1
KAZN,NPIPA3
GLCCI1,DOT1L
MLF1,AL731566.3
UCHL1-AS1,PLCXD3
AC079465.1,ZNF385B
AMOTL1,GPRC5A
AL031595.2,L3MBTL4
MYO1E,AL445524.1
PLAC9,AC006065.4
CD200R1,AP001781.1
ARID4B,MGARP
PRKD1,HSPA1A
ESR2,DUSP14
SLITRK5,POU3F4
AL161443.1,TCEAL1
AC130324.2,NACC1
NAV3,AF038458.2
FABP3,NGF
GEM,AC027128.1
CAMTA1,TIPARP
HMMR,LIMD1-AS1
AC006230.1,AC127024.6
MYH9,COL10A1
ENOX1,IL1RAP
IQCJ-SCHIP1,SUMO4
SPP1,ITPKA
MYO9B,AL136980.1
AC004870.4,AC005518.1
MAJIN,LINC00314
LINC01968,PRELID3B
NR6A1,AL451070.1
MT2A,CCDC181
FHL2,METTL7A
MYO1B,F8A3
ADCY7,AC090772.3
GRIK3,GLRA2
TRABD2A,IQCA1
MALAT1,SIX3
ANO5,WDR82
GABPB1,AC005062.1
AP002518.2,CYP2C18
MAATS1,AC005393.1
AL133372.3,AP000254.2
SCN1A,AC008026.3
PRRT3-AS1,LINC01414
SLC22A1,CNTN4
CLCN1,SAXO2
SLCO4C1,LINC02257
SMOC2,ROS1
GPR39,AL022313.4
TENT4B,FAM151B
AC016766.1,LINC01331
RBMS3,JCAD
RASL12,SORT1
AC132803.1,COL11A1
XIST,AL021396.1
SHTN1,TEX15
MT-CO2,ABCA1
ZFYVE28,AC004223.4
LRGUK,AC092110.1
GPR19,AL031123.1
PCDHGA1,DAPK2
CYFIP1,LINC01151
TENT5A,DCK
SDK2,MBNL2
ZNF732,SYNE2
Z99572.1,FOXO4
PCSK6,Z82195.3
AL158077.2,PLEKHA1
CALCB,HAS2
TPP2,AC110491.1
PDE4DIP,VSTM2A
TMEM51,KIF19
GSE1,AC005041.3
CDK6,AC090844.2
FAS,PCDHGA2
SPATA17,SOCS4
KCNJ6,CCDC71L
ATP8B2,NKX6-2
DLGAP2,PCMTD2
MIDN,ANKRD18A
TUBA8,AC017076.1
PTK2B,AL136366.1
NEFL,L3MBTL3
GOLGA6L10,MGAT4C
AC068205.1,KLF15
CATIP,THBS2
RUNX1,SOX21-AS1
ASTL,GRK2
CR381670.2,LINC02246
FRMD5,SLC22A3
FANK1,PCDH10
DIP2B,LGALS9
PCSK1,CD274
EDNRB-AS1,STXBP5L
LINC00390,NUP210L
AL590867.1,CDR1
GINS3,FSTL5
CLMN,USP21
ADGRF3,AC018680.1
VWC2L,AP002807.1
SRA1,CPSF1
FSIP2-AS1,AC078980.1
LIMK2,BCHE
AC106818.2,AC046195.2
BAZ2B,PLEKHA2
AL442163.1,SCNN1G
ANXA11,AC067956.1
HS3ST1,AC005487.1
LINC01414,ZC3H11B
MBOAT7,ITGAX
WIPF3,MT1E
FRMPD2,PTH
ADIRF,NPPC
RIPK1,FXYD1
AC124312.5,AZGP1
MYEF2,LINC02470
MARCH10-DT,ADGRL2
LMNA,SLITRK3
ZC3H12C,CNTNAP4
AC011603.2,FP236383.5
ARHGAP35,TOP3B
AP001599.1,WDR19
MYO1H,VWDE
UBTD1,LINC01443
KCNK1,CNTN1
IDH2-DT,UNC5C
BLM,TRERF1
KCNQ3,CASP7
MIB1,LRRC3B
AL158071.3,AL110505.1
GUCY1A2,LINC01954
DHRS4-AS1,SH3YL1
PLA2G12B,MEPE
C2orf88,IFIT5
KCNN4,COL4A5
KHDRBS2,LZTS3
AC072062.1,GAL3ST2
LINC02798,Z83843.1
SLC38A6,YIPF7
HIST1H4C,AC009065.1
SEPTIN9,ADAMTSL3
AC239809.3,MEDAG
ABCA6,AC025569.1
ZNF124,BHLHE22
MAN2A1,CRYBB2
AC006058.1,ZFP36L2
CCNH,AL117329.1
SLC35F3,AL049780.1
AL033523.1,HIST1H1C
SOCS3,AC040934.1
FBXW7,C3orf62
MKLN1,AC002480.2
FHIT,FP236383.4
PLBD2,DOCK5
MPP6,AC129803.1
TIMP1,LINC00472
SLC24A2,MAGI2
AC110615.1,ZNF358
MCTP1,C19orf38
GALNT17,ALOX15
HCLS1,PDGFRB
ENPEP,ADAMTS3
PCNT,CUL4B
UBR3,AC245884.9
LRP1B,RGS9
AL451069.1,STPG2
HAVCR1,SKAP2
LINC01220,AOC2
CTRB1,AC010132.1
C12orf50,PIK3R2
MPP4,LINC00836
BHLHE40-AS1,CRIP3
JAZF1,AC024559.2
SHOC2,LINC01111
SUMF1,LINC01320
AC012074.1,LAMB3
PPFIA2,RERG
AC016816.1,CCDC146
KCNK9,GLRA1
DCDC2C,FAM71D
CEP85L,ELN
LINC01483,TAS2R46
EZH2,ZNF761
SLC4A10,PPM1D
RPS6KA5,MKLN1
ELAVL3,LINC01885
AL731577.2,EPC2
LINC01191,AC073842.1
AC007686.2,AC005609.5
HMOX1,AC010754.1
AL592295.4,GOLGA6L9
ELMSAN1,AC005906.2
LINC01137,AC233266.2
TICAM2,ADPRHL1
ARHGEF6,LINC02516
PRKAG2,AL358944.1
LINC00571,TMEM45A
CRHR1,ANO2
SPATS1,AP000146.1
NCKAP1,BTBD19
EVC,LCORL
SLC6A12,GTDC1
HHIPL2,INAFM2
SCARA3,SFT2D2
WDR19,TDRD6
AK3,PPP1R9B
NUDC,ZCCHC24
XYLT1,PRDM6
CHEK1,RNF19A
FAM90A26,C11orf96
GPR157,AP001599.1
ZNF724,COL1A1
LHFPL2,HLA-F-AS1
CARD11,MTRNR2L3
VPS13A,NOX3
AC079142.1,C21orf91
MTRF1,ABHD13
HLA-DPB1,E2F4
LINC01748,POLD1
MEG8,SRSF6
AC027020.2,AC009509.2
AL589693.1,AC061975.8
LY96,LINC-PINT
KANSL1,TSC22D3
CWF19L2,RGS13
AC007405.1,AL365203.2
AC097717.1,MEIG1
SOCS2,SOWAHA
ANKMY2,LINC02306
LRRC7,RUNX2
HCK,LYPLAL1-DT
PTK7,ATP1A2
INPP5A,AC100756.4
AC061975.8,AC097724.1
AC073525.1,ARPP19
TMEM132C,GLRA3
RUBCNL,FKBP8
STS,AC022469.1
GYS2,NFIC
ZFC3H1,CASS4
HSP90AA1,SNX31
BCAS3,ZNF718
PASK,SMARCD3
C8orf86,TAFA1
NLRP2,AC009754.1
ALDH1A2,AC018926.2
KCNK10,FLII
