,earlyAD,lateAD
20097,AC011525.2,TBRG4
20098,AL110504.1,AC112242.2
20099,AC022201.1,AL110292.1
20100,DPPA3,KDR
20101,AC136443.3,HIST1H2BF
20102,HM13-IT1,LINGO3
20103,PRAMEF6,ARHGEF26
20104,AC019193.3,LINC01968
20105,AC134349.1,CADM3
20106,AC019117.1,AC100791.3
20107,AC093765.4,GDF6
20108,TAL2,AL022341.2
20109,LBHD2,AC145285.3
20110,FGF13-AS1,AC107463.1
20111,MAGEB1,BUB1
20112,CYGB,LINC02663
20113,VWF,SPAG1
20114,DIAPH3,MOGAT3
20115,GLRA4,PRSS56
20116,UBASH3A,AC011933.3
20117,H1FX-AS1,AL021918.3
20118,AP000962.3,AC012378.2
20119,AL590068.4,ADPRHL2
20120,NTSR2,AL365258.1
20121,TFAP2A,CRK
20122,IL17F,AC125494.1
20123,AC112481.1,AC104590.1
20124,KLF14,APOH
20125,KRTAP19-6,AL592182.2
20126,AC002378.1,FAM72D
20127,GDF9,CD244
20128,AC080129.1,TIGD6
20129,NUDT16,IL1RAPL1
20130,AC087639.2,AC096741.1
20131,HEPHL1,LINC01304
20132,DNAJC14,AC233702.7
20133,Z98747.1,RRP1
20134,SIRPG-AS1,AP002026.1
20135,AL450226.1,LINC01052
20136,HS1BP3-IT1,AC009081.1
20137,LINC01444,CYB5D1
20138,AC140121.1,MYO5B
20139,AL355816.2,AC092338.1
20140,AC245884.1,AC004233.1
20141,AC103808.6,DHRS7C
20142,AL031770.1,LIF
20143,AC018521.3,LINC01820
20144,AL161756.3,AC019171.1
20145,AC010531.7,AC098595.1
20146,RNF215,AC004908.1
20147,AC079467.1,SV2A
20148,AC242988.1,KIF2C
20149,LINC02088,AL353697.1
20150,PSMB8,LINC01510
20151,AL355310.2,COX8A
20152,LDOC1,RAB11B-AS1
20153,PKLR,CHRNA1
20154,AC105345.2,TYMS
20155,AC074008.1,AC020917.3
20156,LINC01035,AC144831.1
20157,AC025171.4,AL161752.1
20158,AC007687.1,AC104809.1
20159,HHLA2,LINC01750
20160,AC008627.1,TMEM225
20161,TBCE-1,IMPA2
20162,NFYA,ARMC1
20163,AC007786.3,AL139243.1
20164,AC104002.2,KCNE1
20165,AL049637.1,LINC01732
20166,AC011005.4,AC092848.2
20167,AC091488.1,PREPL
20168,PLD2,TTN
20169,CASQ1,CDC42BPG
20170,AC069547.2,AC107027.1
20171,AC010245.1,TBC1D21
20172,TEX36-AS1,MYH6
20173,AC138904.3,AC012254.1
20174,AC020663.2,CEACAM20
20175,AC126768.3,AL162430.2
20176,AL772202.1,AC082650.2
20177,U52112.1,Z69720.1
20178,AC091730.1,SRRT
20179,AL133445.2,PIF1
20180,CA14,CEACAM21
20181,AC005914.1,AL121601.1
20182,SND1-IT1,AC012499.1
20183,LINC01864,GHITM
20184,AC024475.1,OTUD6A
20185,TRGV3,PRSS57
20186,AC087286.4,ZNF678
20187,GHRH,AP001453.1
20188,AP001007.1,AL357054.3
20189,LINC01303,GSTO1
20190,RETN,LBX1-AS1
20191,AC022613.2,AC092279.1
20192,AC092468.1,OR2AG1
20193,AP000472.1,AC004466.3
20194,LINC02152,HS3ST1
20195,AP001469.2,AC022034.1
20196,GJA4,AC026353.1
20197,AD001527.1,AC006130.3
20198,AL162724.2,AP001092.1
20199,AL020994.3,ST8SIA4
20200,TEX50,AL590550.1
20201,AC008969.1,FOXP4-AS1
20202,AC006566.2,GALP
20203,LINC02100,AL583852.1
20204,AC007922.1,NR2F2
20205,AC003975.1,LINC02180
20206,OR6C65,GREB1L
20207,IGKV2D-26,GLYATL1
20208,AC116612.1,SCAMP4
20209,NEU2,CPE
20210,AC108751.4,AC002375.1
20211,LINC02038,AC027451.1
20212,KPRP,FAM224B
20213,OR9G1,U91328.2
20214,AC119427.1,AL132775.1
20215,AC114501.3,AL627308.3
20216,AC093579.1,ACRV1
20217,AC096970.1,SLC10A4
20218,LINC02329,NLRP10
20219,KRTAP4-9,CFAP73
20220,IGLV1-36,AC010320.4
20221,OR52B4,AC093326.1
20222,AC025773.1,GOLGA6C
20223,KRT33A,AC010731.2
20224,AL132796.1,EFHD2
20225,AC005379.1,AWAT2
20226,RPN1,AC115282.2
20227,MCRIP2,CAMTA1-DT
20228,AC011824.3,ZSCAN10
20229,AC020656.2,TJP1
20230,AC093765.5,AC083806.2
20231,AC010731.3,AC008966.2
20232,AL109837.2,AC005304.3
20233,L34079.2,XIAP-AS1
20234,VAMP1,SPATA31A1
20235,MYOG,COPRS
20236,LINC01327,TEKT4
20237,AC005699.1,NKD1
20238,GOLGA6B,JPH2
20239,ATP2C2-AS1,NPIPB6
20240,IKZF1,AC026790.1
20241,AL136454.1,AC118757.1
20242,AC000082.1,AL353768.1
20243,AC013452.2,AC079584.1
20244,AL592146.1,LINC02627
20245,AL121762.1,TMEM65
20246,AC064836.4,AL050344.1
20247,LRRC74A,EXOC3L4
20248,DCAF15,NATD1
20249,AC113192.3,PRPS1
20250,CACNA1C-AS3,AC079465.1
20251,AF250324.1,AC007773.1
20252,SMARCA5-AS1,AC008982.2
20253,PLAU,LINC01016
20254,LINC01349,LINC01291
20255,NLRP14,FXYD4
20256,ZNF32-AS1,AC024230.1
20257,AC006305.2,IL26
20258,AL031963.2,UBE2D1
20259,SERPINA11,ITGAM
20260,AC107958.2,AL031709.1
20261,AC109824.1,AC091132.4
20262,CHRNA9,AC099782.2
20263,AL606760.1,LINC02768
20264,AL138921.1,AC245164.1
20265,AC010536.1,AC099506.3
20266,AC021321.2,LINC02746
20267,SCN10A,FBRSL1
20268,TMEM86A,AC037441.2
20269,TOPAZ1,ZNF283
20270,AL590226.2,AL356756.1
20271,AL121790.2,EBLN2
20272,MTR,INHBC
20273,PGM5P3-AS1,AC100843.1
20274,AL136418.1,OR11H4
20275,AL133553.1,CDH6
20276,AC009041.4,AC004466.1
20277,AC091965.1,AC102953.1
20278,ACBD7,MCM8-AS1
20279,AL451165.2,PPEF1-AS1
20280,AC007610.2,AL139351.2
20281,AL596223.1,CD40
20282,KRTAP4-1,POGLUT2
20283,AC013356.3,AC012313.8
20284,OR4C13,ANKH
20285,IGLV11-55,AC108861.1
20286,PDHB,AC026412.3
20287,AC131159.1,PCDHA12
20288,LINC02386,LINC00992
20289,SNTN,AP005380.1
20290,LINC01574,FGFRL1
20291,PRELID3A,AC006946.3
20292,ACTRT1,LINC02207
20293,GIMD1,AC008739.1
20294,AC005523.1,AL157884.2
20295,AC099518.6,LINC02134
20296,LINC02789,DARS
20297,MEIG1,OSBPL11
20298,AC115676.1,PIANP
20299,TAS2R1,IGF2BP1
20300,OR1S1,AC072026.3
20301,AC022784.2,HRG
20302,CTSE,AP001604.1
20303,LINC02590,MAJIN
20304,STK17B,AL049597.2
20305,AC021683.1,AC002101.1
20306,AC058791.1,TH
20307,AC133681.1,STK32B
20308,HOXD13,ZNF888
20309,AC027801.1,LACTB2-AS1
20310,AC010889.1,AL713866.1
20311,LRIT2,PTGDR
20312,AC009318.3,SMIM2
20313,AL356275.1,JTB
20314,SAMD11,AHCTF1
20315,HAND1,AL080312.2
20316,AL050344.1,AL096828.1
20317,MIR1915HG,AC010319.3
20318,Z82214.1,TADA2B
20319,HIST1H3G,AC007638.2
20320,AL031710.2,AC032044.1
20321,AL031123.4,MOG
20322,GSTM2,RASGRP2
20323,AC074139.1,CORO2B
20324,RPL22L1,CDRT15L2
20325,DPP6,PCDHA13
20326,WDR89,AC244517.5
20327,LINC02757,AL117353.1
20328,AC023632.5,DBX2
20329,LINC00566,ANGPTL8
20330,AC026780.2,AC009276.1
20331,PKHD1L1,AP001042.1
20332,AC027682.6,MDFIC
20333,AL121897.1,OPTN
20334,AC037459.3,AC023442.3
20335,AC122719.1,AC010157.1
20336,GDPD2,AC128707.1
20337,AL049552.1,AC128687.2
20338,AC068870.1,LINC01906
20339,EML2-AS1,DEDD
20340,AC006974.1,TREH
20341,AC004863.1,AC084882.1
20342,ARHGAP20,OR2T2
20343,AC007448.3,ACVR1B
20344,FENDRR,AC009720.1
20345,AC011477.8,LINC02117
20346,AL161937.1,AC010973.1
20347,AC124276.2,INTS9-AS1
20348,IER3IP1,AC006003.1
20349,AP001972.4,AC020911.1
20350,MAN1B1,NAA60
20351,AC007349.2,AIM2
20352,ICAM3,AC007036.1
20353,AC002347.2,IMPDH2
20354,TAF4,LINC01428
20355,AL512310.10,LINC02345
20356,AP002505.3,TNFRSF10B
20357,MYMX,AP000439.2
20358,LINC01699,AP000894.3
20359,MLNR,AL163636.1
20360,AC113145.1,LINC01887
20361,AC004466.2,SYNGR3
20362,USP20,DLEC1
20363,PROKR1,LINC01004
20364,KRT81,OR52E5
20365,AC026904.1,AC137630.1
20366,CLNS1A,CALML3
20367,AL157359.2,CLDN10-AS1
20368,AC022274.1,ABCA7
20369,BOLA3,AC091982.1
20370,AC106791.2,UTS2
20371,AC010157.2,AC032011.1
20372,GSG1,MYPOP
20373,AL441943.1,CHRDL2
20374,AL157373.1,EEF1AKNMT
20375,CHRAC1,LPO
20376,ERVW-1,TM4SF19
20377,GOT1L1,AL590822.3
20378,SAP25,LINC02331
20379,ZNF282,SLC30A4
20380,AL132986.1,AL450442.1
20381,AC010223.1,INKA2-AS1
20382,AC004946.2,CCDC200
20383,BLVRA,SOX2
20384,AC008738.6,AL136369.1
20385,GOLGA6L7,GNA11
20386,AFM,AL139035.2
20387,AP001605.1,PCYT1B
20388,AC130895.1,IL23A
20389,LINC01201,AC093575.1
20390,AL445307.1,AL359380.1
20391,AL162741.1,AC067969.1
20392,AC136777.1,DUSP14
20393,TLX1NB,AP000755.1
20394,SLC51A,ZFC3H1
20395,AC006111.3,AL359632.1
20396,CCNQ,SLCO6A1
20397,AL022314.1,KCNC3
20398,SSX4,AL354726.1
20399,AC142086.1,ZNF460
20400,FAM197Y6,ZNF252P-AS1
20401,CNGA2,AC073352.1
20402,BX005132.1,AC097375.1
20403,CD1A,SWAP70
20404,OR6X1,LINC01414
20405,AL358215.1,AL391097.1
20406,LINC01093,VPREB3
20407,ADH6,ABCC6
20408,AC090371.2,F7
20409,LINC00184,PLSCR4
20410,TMEM92,AL122003.2
20411,OR6N2,AC126614.1
20412,ADCK5,HTR3C
20413,AL732323.1,AC117503.1
20414,LINC01531,AL161941.1
20415,LINC00937,RARRES2
20416,AC103974.1,AP005432.1
20417,AC087501.3,OR56A3
20418,BX323043.1,LINC01415
20419,AL136129.1,AL391361.2
20420,AC026120.3,CRIPT
20421,AC122129.2,TMEM120A
20422,CD19,AC007255.1
20423,FAM230G,AC009152.6
20424,AL357075.4,LINC00519
20425,AC025252.1,ZNF81
20426,TUBA3C,LINC02206
20427,AC011726.3,BTG2
20428,AC006003.1,DEPDC1
20429,AL049833.1,HRH3
20430,CEP55,LINC00280
20431,DDI1,AC005865.2
20432,GPR176-DT,AL360181.2
20433,AC022966.1,TMEM52B
20434,AC073987.1,C15orf61
20435,AL158847.1,AC073046.4
20436,AL133319.1,CYB561A3
20437,ETV5-AS1,AC116424.1
20438,CTAGE4,CCDC6
20439,AC073188.3,SFT2D1
20440,AL110503.1,BX088651.4
20441,AL034374.1,AL162726.4
20442,TLX1,AP002892.1
20443,AL161645.2,FAM166C
20444,MS4A18,ADH1B
20445,C1orf195,SSMEM1
20446,GPR25,LRIF1
20447,TAF11L12,CST3
20448,AL139348.1,AC011444.3
20449,AC091979.2,AL355075.1
20450,AC090181.1,SEMA3B-AS1
20451,AL606534.2,AC007923.4
20452,AC106864.1,AC093840.2
20453,AL353704.1,LINC01779
20454,AC013391.2,STAU1
20455,AC006435.1,AC073530.1
20456,AL008638.4,NLRP7
20457,DEFB107B,AC069029.1
20458,LINC02575,AL157369.1
20459,TBATA,OXGR1
20460,OR1E1,GPBP1L1
20461,AL589642.1,AC092801.1
20462,MIR4527HG,AC004921.2
20463,AL731563.2,AL590708.1
20464,AC093074.1,STAM-AS1
20465,OR13J1,GSTM5
20466,AC009806.1,AC092069.1
20467,AL357079.2,TEKT1
20468,GLYATL2,AC087276.2
20469,AC055716.3,HMGCS2
20470,AC020905.1,ESS2
20471,ASH1L-IT1,GLUD2
20472,C10orf82,ARID5B
20473,AL589986.1,RPL3L
20474,AC020928.2,AC091607.2
20475,AC012354.1,AL138916.1
20476,AC012442.1,AL357078.2
20477,AC005224.2,RARB
20478,TUBA3E,DGAT2L6
20479,DKKL1,AC018359.1
20480,AP002075.1,AL449403.3
20481,PLCL2-AS1,GLCCI1
20482,AC022145.1,SDC1
20483,LINC02380,UTS2B
20484,AC063980.1,RALYL
20485,GABRR3,AC005383.1
20486,AC096645.1,AP000692.1
20487,MIR3681HG,TOR2A
20488,AC005696.3,AP003120.1
20489,AC007952.5,AC091198.1
20490,ANTKMT,AL592431.1
20491,EBLN1,AC074096.1
20492,AL135999.3,ZSCAN9
20493,TACR2,RGMB
20494,AF001550.1,PRSS55
20495,ZNF513,GTF3C2-AS1
20496,ZNF678,NLRP5
20497,AL691520.1,MBIP
20498,AC107081.4,AC016727.1
20499,AC105254.1,BRI3BP
20500,LINC02061,SPCS3
20501,LINC02280,AL353611.1
20502,AL133268.2,OSGIN2
20503,KLHL22,DPYSL3
20504,AC009396.2,ECEL1
20505,AL445648.1,LINC02662
20506,AL390066.1,AC117945.1
20507,AC091980.2,AC108019.2
20508,AC016968.1,AC008897.3
20509,GK2,GPX6
20510,AC124862.1,AL583722.3
20511,AC090515.2,TCTEX1D4
20512,AC106772.2,ANKRD33
20513,ZNF74,KIAA1143
20514,ZNF841,SEMA4C
20515,OR51B4,OR5B3
20516,AL139824.1,LINC01375
20517,AC007991.4,FAM110C
20518,AC093159.1,LINC00582
20519,PARD6G,SLC46A1
20520,AC006557.3,LGALS16
20521,ZNF485,AL162584.1
20522,ZCCHC18,AC127526.5
20523,AC138028.2,SYCP1
20524,LINC02011,ANKRD17
20525,AL109828.1,MIR210HG
20526,AL591767.1,AP000695.1
20527,AL137191.1,CAGE1
20528,AC008277.1,NIBAN1
20529,DUSP28,LINC00538
20530,CTCFL,AC012085.2
20531,MTRNR2L7,AC008429.1
20532,AC017006.1,AC091488.1
20533,LINC01702,AC022874.1
20534,CPA1,ZNF70
20535,TEX13D,AL024497.1
20536,AC078962.3,KLK15
20537,DEGS2,PCDHGA10
20538,AC093249.2,AC116563.1
20539,CCDC15,LINC00466
20540,TNFRSF10C,LINC01496
20541,AC009119.1,NAV2-AS1
20542,LINC01445,IL23R
20543,CYB561D1,AL354733.1
20544,AL591848.4,AL513317.1
20545,AC103808.1,AC022413.2
20546,ASDURF,AP005242.1
20547,AC087721.1,AC012170.3
20548,AC091053.1,OSCAR
20549,IRF6,AQP7
20550,LINC01040,CCN4
20551,RNF8,AC073071.1
20552,TTC30B,AC113347.4
20553,CASC11,ZNF221
20554,TRNT1,GORAB
20555,LINC02549,GAPDHS
20556,AC006296.1,U82671.1
20557,PROSER2-AS1,LINC01941
20558,ZNF683,AL589743.4
20559,AC087672.1,ZGPAT
20560,AC120114.2,SGO2
20561,GPR21,PARP10
20562,AC005912.2,MYO9B
20563,AL590422.1,GALM
20564,AC007269.1,AL360006.1
20565,AC016727.3,AC092910.3
20566,AC107958.3,AC105415.1
20567,RASSF8-AS1,LINC02453
20568,AP000322.2,ZMAT5
20569,OVOL3,AC011466.1
20570,CTNNBL1,AC004803.1
20571,ANGPTL3,HSPA5
20572,AC090358.1,LAPTM4A
20573,LINC01100,AC010261.2
20574,ACP4,SURF6
20575,Z80897.2,MFRP
20576,AL360295.1,AF196972.1
20577,DPYD-AS2,PPP1R17
20578,AL049765.1,AC010082.1
20579,B3GNT9,ISM1
20580,AC126755.2,TMSB10
20581,FXYD6,DPEP1
20582,SNUPN,CEP19
20583,AC084759.2,MORN5
20584,AC018766.1,GMEB1
20585,AC005522.1,AL645634.2
20586,BMP3,AC005076.1
20587,C2orf50,DNM3
20588,AP002991.2,AC084291.1
20589,AC009560.1,CDH7
20590,AC079035.1,LINC01616
20591,AC111170.1,AC060765.1
20592,OR1N1,SLC5A10
20593,AC078850.1,GDPD2
20594,CNGA1,AP000866.6
20595,AC115284.3,ZMYND15
20596,AC010632.1,AC116609.3
20597,SMIM19,ERCC6L
20598,AC073326.2,AL078587.2
20599,AC008892.1,CHRNA2
20600,LINC02695,DHRS9
20601,AC024132.1,LINC01477
20602,AC008103.1,C11orf1
20603,LIF-AS1,AP000356.2
20604,AC084375.1,ALDOA
20605,GJB4,ARHGAP17
20606,AC016888.1,AC005329.1
20607,AC079612.1,RABEP2
20608,RFXANK,MAGEC3
20609,C19orf84,NPB
20610,STPG2,ORAI3
20611,AC020763.1,RNF5
20612,AL512785.1,LINC02468
20613,AC002511.1,ITCH-AS1
20614,AC008474.1,AC009055.1
20615,FAM74A1,RSPO1
20616,AL049649.1,AC006942.1
20617,AP000892.3,AL138720.1
20618,TWNK,CDH18
20619,AP002793.1,AP005137.1
20620,SPATA21,ZBTB11
20621,AC068282.2,KAZALD1
20622,AC080005.1,AL160163.1
20623,AP001056.1,EFNA2
20624,CYP4F22,AC130814.1
20625,AL139289.1,MAST4-AS1
20626,AC097634.2,TSC22D2
20627,AL157832.1,AC093305.1
20628,AL136961.1,AC104656.1
20629,ZNF84-DT,AC145625.2
20630,AC234917.3,DCUN1D1
20631,AP000345.1,DDX27
20632,AC012360.2,LINC01346
20633,OR6K3,POGK
20634,AC009090.2,AC090921.1
20635,CLMAT3,AC006450.2
20636,AC009108.2,DLG5-AS1
20637,TRAV1-2,AC022148.1
20638,AL732437.2,SLC35G5
20639,AL512310.9,RP1
20640,AL606534.3,ZFYVE19
20641,AC106738.2,AC078820.2
20642,AC026414.1,AC010168.2
20643,PRAMEF1,ATP11A
20644,TRGVB,AC099342.1
20645,AC020891.3,AL137246.2
20646,hsa-mir-1253,AP004247.2
20647,OR7G3,ECE1
20648,LCE2D,CAPNS1
20649,AC127496.4,AL691432.2
20650,TRAJ58,AHR
20651,AC068014.1,AC099542.1
20652,AL117382.2,RDH16
20653,TRBV21-1,SP2
20654,KRTAP19-3,SNHG16
20655,COPDA1,LINC00381
20656,AP000424.2,SEPTIN4-AS1
20657,AC004253.2,AC110620.2
20658,TRBV3-1,GSTM4
20659,LINC00555,LINC01788
20660,AP001178.2,CD160
20661,AL590282.2,AL161896.1
20662,AL590714.1,BMX
20663,RAD18,AP001496.1
20664,AC073896.2,MYBPC3
20665,AC079915.1,ACP4
20666,USP18,AC093798.1
20667,TEPSIN,CSMD2-AS1
20668,AC026736.1,AL121890.5
20669,TNNT1,C3orf84
20670,AC026950.2,RFK
20671,AC080112.1,CYP2A6
20672,AC095059.1,FBXO6
20673,ZNF837,ANGPTL7
20674,AC069243.1,F2RL2
20675,LSP1,IPO8
20676,OBP2A,AC021237.1
20677,SEMA3B,TRBVB
20678,AGRP,FAM72B
20679,SLC25A52,AL121901.1
20680,AC138024.1,ZNF784
20681,BMP10,PHPT1
20682,AC243967.2,CDK5
20683,PATE4,AC018845.3
20684,AC123768.1,USH1C
20685,NKX2-1-AS1,LINC01761
20686,AC084125.3,ROMO1
20687,PROM2,AC012306.3
20688,AC006450.2,AL158801.2
20689,TMEM252,AC244035.1
20690,AC007163.1,AC069234.2
20691,AC008938.1,ELFN1
20692,AL109767.1,KIAA1614-AS1
20693,AC040896.1,LINC02761
20694,TRIM49,LINC01845
20695,NOMO3,RASIP1
20696,AC023449.2,AL513548.4
20697,ABCA9-AS1,AC108676.1
20698,AP001468.1,AC114760.2
20699,AL157896.1,AC097518.2
20700,AC021733.2,RSL24D1
20701,AC145207.4,TRMT13
20702,AWAT1,AC104129.1
20703,AC024579.1,AC083906.3
20704,EFHB,CDC42-IT1
20705,ARHGEF7-IT1,AC133550.2
20706,LINC01022,AC109454.3
20707,IGF2BP2-AS1,HDC
20708,AC080075.1,KRTAP5-10
20709,AC107959.2,RBM8A
20710,TEK,AC012574.1
20711,KLF7-IT1,GATA3-AS1
20712,AC106798.1,AL135905.1
20713,AC007993.3,AL021878.2
20714,AC008443.3,C3orf52
20715,FAM193B,LRFN3
20716,C16orf90,DMRT1
20717,FDCSP,AC092490.2
20718,AC015813.8,AC004801.4
20719,AC007620.3,LINC02271
20720,AL390816.1,AL139801.1
20721,TMC3,FSHR
20722,MIR7515HG,PURPL
20723,SMAD9-IT1,AC011503.4
20724,AC092718.6,LINC00987
20725,LINC02850,MAP9
20726,FLG2,TMPRSS13
20727,MAGEA11,AJ011931.2
20728,AP000692.1,AC104304.3
20729,AL390763.1,AC005144.1
20730,AC115099.1,SFTPA1
20731,KRT12,PELI3
20732,PON2,AC093635.1
20733,AC025508.1,DNER
20734,AC087362.2,FAM83A
20735,AL161793.1,AC010761.2
20736,AC008033.3,U52112.1
20737,LINC02682,AC046130.2
20738,AC019193.2,CPEB4
20739,AC009812.1,LINC01495
20740,AP002748.2,APAF1
20741,AC005550.2,AC137735.3
20742,AC046158.2,AC104984.4
20743,AC026771.1,AC009041.1
20744,AC027682.5,AC099568.1
20745,AC007066.3,S100A2
20746,MYPOP,AL359551.1
20747,AC027779.1,AL390208.1
20748,TTTY4C,ANKRD34A
20749,SLCO4A1-AS1,GNL3L
20750,AC012673.1,SERPINB11
20751,AP000289.1,BX649601.1
20752,AC120498.9,AP003307.1
20753,LINC02195,LINC00967
20754,AC034228.3,AC002056.2
20755,OR4F15,SMPDL3A
20756,SDC3,AC090771.2
20757,AC010260.1,AC068228.3
20758,LINC00608,AC099520.1
20759,SPG7,LINC00671
20760,ANKRD40CL,KRT31
20761,KIRREL2,MXRA5
20762,ITGAD,RAB43
20763,AP003049.2,PATE1
20764,AC007601.1,FSCN3
20765,DACH2,DISC1
20766,AL773573.1,JPT2
20767,AP002892.2,RNFT1-DT
20768,LAIR1,AC107373.1
20769,AC023595.1,AC007610.2
20770,TEX28,AL137191.1
20771,FBXO39,AC027544.2
20772,CDCA4,AC103702.1
20773,AC010320.4,THAP12
20774,SNHG17,COL20A1
20775,MB21D2,AC008522.1
20776,SFTA2,AL627309.5
20777,AC003070.1,NRDE2
20778,AC008572.1,AL592078.2
20779,AL035454.1,UBE2QL1
20780,AL008720.1,SIRT4
20781,AL136359.1,AL355597.1
20782,AP000919.4,RAB10
20783,GPC4,AL109627.1
20784,AL121583.1,AC124242.3
20785,LY75,SAMD14
20786,OR52E6,LINC01612
20787,AC113349.2,RUNDC1
20788,MMP24,FUT5
20789,AC139887.1,UBE2E2-AS1
20790,PGM5-AS1,TNFSF13B
20791,OMP,AC022276.1
20792,AC004147.3,AC106791.1
20793,AC025857.2,TMCO6
20794,PABPC1L2B-AS1,LINC02601
20795,LINC02700,AC116366.2
20796,LINC01961,AC073529.1
20797,AL121901.1,AC009123.1
20798,LKAAEAR1,AIRN
20799,AC211486.7,PIK3IP1-AS1
20800,CLDN24,AC011676.3
20801,VAC14,AL589642.2
20802,AC233976.2,AC139019.1
20803,AC009248.2,LINC02542
20804,AL022323.2,ZNF695
20805,AP000897.2,GDF9
20806,AL008721.2,ARMC2-AS1
20807,AL161452.1,CA3
20808,AC113189.1,AL031587.1
20809,SSTR5,HOXA3
20810,OR8H2,AC011196.1
20811,DEFB106B,AC123768.1
20812,AC025277.1,AL445493.2
20813,CXorf49,LINC01147
20814,AC129507.3,HRH4
20815,ELOA3B,AC084782.2
20816,AC007906.1,SPACA1
20817,NAT8,DYNLT3
20818,C3orf85,AC233992.3
20819,AL158168.1,AC133552.5
20820,AC015712.7,HBG2
20821,U73166.1,DACT3
20822,NXPH1,AP005131.5
20823,TAB3-AS2,SAMSN1-AS1
20824,KIAA0895L,ZFPL1
20825,CIAO3,AC100835.1
20826,AL451042.2,PCDHGC5
20827,AL512408.1,AL132712.2
20828,LINC02111,AL356481.2
20829,AL109936.2,PRRT4
20830,LINC01654,AL353660.1
20831,AC096732.1,AC116407.1
20832,AC007359.1,DDX46
20833,DCAF8L1,AC079742.1
20834,AL355102.5,AC026748.3
20835,OR14A2,MIR217HG
20836,AL138900.1,LINC02413
20837,LCE1E,AC011511.5
20838,IGLV9-49,AL121672.2
20839,TMEM174,MYO7B
20840,C7orf66,IWS1
20841,SLC35G5,AC027237.2
20842,CCR5,MRPS17
20843,FOXN4,AC026624.1
20844,AC011389.2,AL451007.2
20845,LRRTM1,ZBTB9
20846,GSX1,C7orf69
20847,S100A12,AC073225.1
20848,AL592182.1,AC103855.3
20849,CTDSP1,LINC02099
20850,MYH8,SEMA3F-AS1
20851,AL031666.2,AHDC1
20852,AC087664.1,ZBTB5
20853,LINC01710,AC093525.7
20854,AC090220.1,PCSK1N
20855,TMEM161A,AL121574.1
20856,AC015818.7,AL354811.1
20857,AP001625.2,AC123786.1
20858,AL160400.1,PPM1A
20859,AC016903.2,AC091736.1
20860,AC010503.4,PRRG2
20861,AC026888.1,LINC02277
20862,XKR3,LMLN-AS1
20863,FABP1,AC009411.2
20864,AC097641.2,AC007991.3
20865,AC079298.2,DCTPP1
20866,NAV2-AS3,LINC02522
20867,AP001021.2,LINC01823
20868,AC010451.1,C7
20869,AC008514.1,AC099684.2
20870,AC141586.2,SRBD1
20871,AC133530.1,AC005358.1
20872,OVCH2,COMMD2
20873,AL360267.1,AC234031.1
20874,AC004449.1,ACTL8
20875,AC116667.2,AC005324.1
20876,LINC02182,AC011297.1
20877,AC002386.1,AC010320.3
20878,AC104237.1,AC109809.1
20879,C1orf229,AC004936.1
20880,CCDC172,AC020978.3
20881,AC083880.1,LINC02585
20882,AC005034.4,AC111149.1
20883,AL031432.3,WDR20
20884,AF111169.2,AC093791.1
20885,LINC01691,AC009975.1
20886,MMD2,SPATA19
20887,AC244035.1,LINC02749
20888,AC007349.3,AP003396.5
20889,ZNF705D,AC134043.2
20890,AC007376.2,AC134312.5
20891,ASCC2,FBLN1
20892,AL136360.2,LINC01708
20893,HSBP1L1,TMEM8A
20894,AC092807.1,AC092802.1
20895,AL357874.2,AL450998.3
20896,TRBVA,NMUR1
20897,AC134508.2,LINC02417
20898,AC097381.2,RASSF6
20899,AKAP14,AL136456.1
20900,AC011373.1,AC103691.1
20901,AL139008.2,OGFR-AS1
20902,AL023802.1,WNT9B
20903,MUC21,TBX5
20904,HRCT1,PPID
20905,AL365256.1,AP002833.1
20906,RAMACL,LRWD1
20907,ZNF414,AC091819.2
20908,RAB26,UNC119B
20909,AC090206.1,AC074138.1
20910,AL356740.3,AC002351.1
20911,AC004869.1,EIF4G1
20912,AL445623.1,VCX3B
20913,AC104462.1,AL512658.2
20914,C8orf82,MARF1
20915,LINC02834,ARSB
20916,AL121809.1,AC006144.2
20917,AC245060.2,MED4-AS1
20918,AC112236.2,COL11A1
20919,CSHL1,SPATA22
20920,AC005618.3,AC025031.4
20921,KRT34,AC093019.2
20922,LLGL2,KCNS3
20923,AC001226.1,GNGT1
20924,AC012181.1,AC121764.2
20925,AC107071.1,ZSCAN22
20926,LINC00111,AC008133.1
20927,AC008663.2,FER
20928,AC008667.3,ZNF501
20929,DAPK1-IT1,LINC02521
20930,AC084030.1,CSTF1
20931,GCG,LINC01455
20932,AL121906.2,AC009570.2
20933,AL353719.1,RPL18
20934,PGBD5,TRIM69
20935,KLHL6,ZNF595
20936,BST2,AC087241.2
20937,LINC01766,AC009152.3
20938,DCXR-DT,AC093824.2
20939,LINC01076,AL121890.3
20940,AC091435.2,LINC01424
20941,TPRX1,AC007325.2
20942,AC090286.1,BNC1
20943,RPA3,AC022893.2
20944,AL137786.3,RRM2B
20945,AGK,KRTAP5-7
20946,ELOA3,FASTK
20947,STARD5,LINC01904
20948,BSCL2,Z97056.2
20949,LINC02520,AC009495.3
20950,AC079768.4,CCDC47
20951,KRTAP5-5,AC011824.3
20952,KLRF1,FAM181A-AS1
20953,FAM9A,ODF3B
20954,AL356310.1,MYLK4
20955,FAM87B,FAM32A
