bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
CERCAM,SF3B2,HES4,DOCK1
CTNNA2,PGP,PWRN1,PHLDB1
LRRC7,PNISR,TMSB4X,FAM126A
RFX3-AS1,SLC6A8,LINC02197,FRMD5
RAP1GAP,PRKX,AC112206.2,FAM168A
LINC02814,EFHD1,AC026341.1,AUTS2
AC245187.2,KIAA0930,PPDPF,ANO4
LDB3,SEPTIN8,TMSB10,NFASC
RNF220,NUTM2A-AS1,MARCKS,SLCO3A1
AC079352.1,KCNIP3,NR4A3,CDH11
AC018730.1,AC004797.1,ADGRG7,CD22
IQCJ-SCHIP1,FKBP5,BAG3,AKAP6
MCF2L,AMER2,MALRD1,KCNH8
CTNNA3,SRSF7,TMEM132C,GRID1
NECAB1,SLC5A11,CRYAB,HS3ST5
GRM7,BOD1L1,CNTN3,PTK2
AC006059.1,LSS,JUNB,DIP2A
AC245123.1,LINC01182,ADAMTS19,NEAT1
ADAMTS14,TCF25,ART3,CLIP2
TMEM132D,OGFRL1,CBARP,LIMCH1
AF165147.1,SELENOP,ASPA,EPN2
PUDP,AC025159.1,EPHA10,SEMA4D
DIPK1C,NDUFS2,AC025810.1,SYNDIG1
TIAM1,JAKMIP3,CCDC144NL,ZNF536
AC034195.1,TPPP,AL033523.1,TJP1
CREG2,ZBTB16,LINC02296,BCAS1
FXYD6,DDIT4,DACH1,APP
KCNQ3,CSRP1,DNAJB1,SRCIN1
MAP6D1,EIF5,AFF3,FUT9
CNP,DDX24,COX6A1,SH3PXD2B
CHRM5,SRSF11,PPP1R15A,PLD1
SEMA3B,MTCH1,AC006157.1,PTPRS
PIK3C2B,PDCD7,HIST1H1C,HDAC4
AL591895.1,MPHOSPH8,GUCY1A2,PICALM
LAT,MTRNR2L8,PTPRM,WIPF1
CDH1,FBXO32,RGS17,MEF2A
ZBTB16,NASP,CDH4,SGMS1
GSN,MAT2A,TUBA1B,ZHX2
MIR210HG,JUND,AC023824.3,NAV2
JAK1,RBM48,GULP1,TAOK3
NEK3,MYRF,EEF1A1,DLG1
TMEM72-AS1,CDKN1C,BAIAP2,ADGRL3
AC007221.1,PGRMC1,CMTM5,SLC12A2
NAALADL2,ARL17A,SLC44A5,ARGLU1
GLDN,TTYH2,ATP6V0C,ELMO1
SEPTIN7,AATK,MFGE8,ROBO1
PLXDC2,ARGLU1,PRDX2,GARNL3
PNN,YPEL3,TMSB4Y,AOPEP
SEMA6D,HEPN1,HGF,ARHGAP23
RSRP1,POU3F3,DNAJA4,FMN1
LINC02649,TMEM259,AC009041.2,CLMN
FMNL3,CNTN2,ARC,SPTBN1
SCD5,HMGN3,TNFRSF12A,DNAJC6
ASTN1,LIFR,CNTN1,CHKA
LINC01608,HP1BP3,ABCA9,GAS7
ATG10,NME3,CHSY3,ANK2
SRCIN1,ERBIN,ATAD3C,MFAP3L
ZFX,SLC35F3,BCAN,MARK3
RASSF4,HPN-AS1,TXNIP,MYO18A
ENOSF1,EVA1C,LINC00685,NAV1
LINC01630,GIT1,ITM2C,PDZD2
TMIGD3,CHRM5,RAMP1,HIVEP2
IPCEF1,SRSF5,RSPO4,SIPA1L1
AL359232.1,TMC6,FOSB,OSBP2
EVA1C,TPD52L1,AL157944.1,DIP2C
NEURL1B,CDKL1,HSPH1,PTPRJ
AC020909.2,HIP1R,NDUFA4,IL6R
ARSI,EIF1,CLEC2A,SAMD4B
SIK3,RFX3-AS1,LPAR4,MYO5A
LLGL1,AC009063.2,PARM1,HIPK2
NHLRC3,MT-ND2,LINC01208,MICAL3
LINC01792,NDE1,NR4A1,FGFR2
SPANXA2-OT1,DDRGK1,REEP1,AMPD3
LINC01252,ZNF652,PLEKHA5,NLGN1
RUNX2,TNS1,EGR2,EXOC6B
CLEC2A,TSPYL2,TMEM59L,EEPD1
AC005740.5,DHCR7,LIX1,TPST1
CACNA1E,GPI,HIST1H4C,JMJD1C
AZIN2,METTL7A,CDKN1A,PKP4
GABPB1-AS1,ZNF488,GADD45G,USP54
AC110285.2,RELA,AC023469.1,KIF1B
DNAJC6,ACTN4,UBB,DOCK4
DLG2,GOLGB1,SLFN5,MAP7
SLC27A1,AL359091.1,LINC01505,ZEB2
HLA-DOB,SRSF10,CNTN4,ASH1L
PDE8A,CDK18,PLK2,DIP2B
LINC01949,ERBB3,AC026462.4,SEMA6D
TNFAIP2,HMGB1,LAMC1,FAM49B
ZFHX2-AS1,FADS1,CEBPD,PACS2
MUC20,PER1,LINC02324,FMNL2
ADAM12,KIF19,SMAD9,TANC1
SCART1,NUPR1,ZBTB7C,TMC7
STS,PDK4,KCNIP4,CDC14B
KLHL32,FMN1,GDNF,PLA2G4C
AOAH,GOLGA4,LINC02511,SH3GL3
DPYD,ANKRD18A,LINC01416,AL160272.1
AC103770.1,TMTC4,AC245060.5,SNX29
SOX6,GPRC5B,MOXD1,CERCAM
SCG3,CLN8,AC010889.2,RNF220
LINC01299,CLMN,AL713852.1,RETREG1
CR1,CLCN7,LINC00558,ELOVL5
SLC4A8,PPA1,HLA-A,ARHGAP21
MYO15B,SLC39A11,ADAMTSL1,LDLRAD4
AC012178.1,FDFT1,FCHSD2,MPRIP
AL672277.1,MTA1,HSP90AB1,WSB1
AC021231.1,SLC6A9,TRPC7-AS1,RABGEF1
PI16,AC091180.5,PCSK1N,SVEP1
AZIN1-AS1,RHOU,CLU,CTTNBP2
NRBP2,CTSD,GBP2,AGPAT4
LINC01006,NUMA1,FAM110C,MAP4
ANO4,ABCC5,KCNH1,PIK3C2B
HLA-E,PNPT1,RPS26,SLF2
APBB2,EIF4A2,C11orf96,SERINC5
SREBF1,LINC01924,GPRC5A,PAFAH1B1
PPIE,ENOX2,NTM,SH3PXD2A
GRIK2,KIRREL3,KLF10,ZNF280D
ZNF536,NFKBIA,CLVS2,RHOU
SH3GL3,TMBIM6,DDX43,ZNF638
XYLT1,AZGP1,LINC01362,IQSEC1
SUMF1,DHCR24,USP6NL,NEO1
LINC00882,ANLN,AC123912.1,SEC14L5
AC117386.2,TARSL2,EMP1,OTUD7B
AC007406.4,DBNDD2,H1F0,SLC6A6
AL391807.1,ZRANB2,WFS1,ARHGEF10
FAM106C,KHDRBS3,CDK14,ITCH
NTN4,NORAD,LINC02731,SILC1
MT-ND6,MTG1,AC008591.1,CDK5RAP2
ADHFE1,SOX10,JUN,PDE6B
PIP4K2A,PRR18,SNRPN,SORBS1
TMEM232,TECPR2,AC093610.1,USP32
ASPA,PAQR8,MELTF,PREX1
PPP2R2B,MAN2A2,SERF2,SHB
PPM1H,SRSF2,SLC25A4,CTNND2
AC092164.1,ADARB2,PKM,MATN2
TXNIP,SQSTM1,C1orf21,PDE4B
TBC1D3D,DYNC1LI2,RNF217-AS1,EPB41L1
ZNF189,PIDD1,PHLDA1,GALNT15
HSF4,SLC25A48,AC147651.1,SORCS2
CYTH1,ADSS,AC105941.1,SPRED1
AC009522.1,COPA,RAB6C,KAT2B
FTH1,KLHL21,RPS27A,GFOD1
AMZ1,GTF2I,AC023051.1,MYO1D
RABGEF1,TMEM235,ZNF544,LPAR1
TTC4,ERMN,GPRC5D-AS1,WDFY2
GDNF-AS1,ZNF146,PROM1,DOCK3
HLA-DMA,OTUD7A,AL109838.1,CCDC88A
LIPC,MTURN,TTLL9,PTPRD
MIR181A2HG,SLC6A15,SCN9A,ROR1
TTLL7-IT1,SGIP1,SLC6A1-AS1,ASAP1
AC104135.1,BCL2,TUBB4B,SH3D19
LINC01695,STMN1,TIMP1,MYO9B
GABRG3-AS1,WHRN,GAPDH,SLC23A2
NOL3,GPR37,TNFSF12,RCAN2
GNPTAB,PRKCA,ROBO2,HCN2
CYP2E1,CAMK2N1,B4GALT6,PI4KA
AC233296.1,SNRNP70,AL109910.1,RPS6KA2
AATK,CAPN3,SPARC,ZMIZ1
UPK3BL1,GINM1,AC010889.1,HABP4
MT-CO1,SYNJ2,C22orf34,TF
RASAL1,KAT2A,POTEG,DTNB
QTRT1,PHLDA3,RHOC,RAB40B
GEMIN8,SGK1,AL731769.2,CADM2
PLLP,PIM3,MARC1,UBE2E2
FBXO7,ARRDC2,LINC00920,MON2
EXOC6B,LURAP1L-AS1,MAGEC3,LRRC4C
MN1,RHBDL3,GEM,GREB1L
KDM5C,KLF15,CALR,DNM3
AC136489.1,ZMYND8,RPL10,KAZN
KCNH2,ATF6B,AK5,AATK
DNAH6,LGI3,SERPINE2,ELL2
EFS,CALM2,AL590783.1,CDC42BPB
C5orf64,ADIPOR2,PTGDS,KIF5C
TTC8,DDX46,LINC02591,MAPT
ITGA2,AP2M1,AGT,ERC2
LUC7L2,VAMP2,BX664615.2,PRKCA
COLEC12,PIR,AC016766.1,FAM102A
SIPA1L1,SEMA4D,LRRN3,KMT2C
AC104407.1,GOLGA8B,CCDC33,TNRC6A
GNAO1,RTKN,HIF3A,SREBF2
TMEM241,HERC2,TPI1,LRRC8D
LINC01376,CNP,RPL3,FA2H
STRADA,LENG8,TNFRSF18,CUEDC1
CLASP2,MT-ATP6,KCNK10,PXK
GBP1,RDX,DCC,DST
AC004466.1,PACS2,RPL28,SCD5
INPP4B,FBXO2,LINC01877,LUC7L3
AC084198.2,SUGP2,FOSL1,SLAIN1
KCNH8,AARS,AP001599.1,FAM53B
DRD4,MT3,RPL34,ACACA
PNCK,MT-CYB,SCN1A-AS1,DNER
RAPGEF6,SON,TCEAL2,CLIC4
SEPTIN9,SFRP1,BEX1,KIF13B
AC244131.2,HAGH,SEMA3E,MIRLET7BHG
ACYP2,EID1,CLDN18,DTNA
PTK2B,BPTF,VSTM2B,TTYH2
GPI,TRIM2,NOX4,PPP2R2C
PRICKLE2,ADGRB3,AC090015.1,DLEU2
MXD3,MARS,BEND7,KIF13A
AL590560.3,CAV1,UBC,PHACTR4
TMEM259,ADARB2-AS1,PRDX5,INPP5F
NPY2R,DDX3X,LINC00544,SLC27A1
AP005242.1,MYRIP,LDB2,BCAT1
AC019068.1,ARHGEF10,COX4I1,FAM193B
SERINC5,THUMPD3-AS1,GABARAP,NCOR2
AP004608.1,KMT5C,NUTM2B-AS1,CAMTA1
PPFIBP1,PCM1,AC009271.1,RASAL1
DSCAML1,ADCY3,AL356489.2,SLC20A2
ABCG1,PRRC2C,NPAS2,PRUNE2
PLEKHG3,PCDH20,AC063944.1,ZBTB20
KLRC2,RPS6KA5,PCMTD2,ANKH
RBP1,FAM133B,RPL41,SIPA1L3
CA5B,UPF3A,AGMO,TBC1D12
AL078590.2,JADE2,TRIM63,FNIP1
COL9A3,KHDRBS2,AC107419.1,INSYN2B
OLFML2B,CTSL,LURAP1L-AS1,DLG2
DLG1,KLF13,DIRC3-AS1,PAK1
AC021220.2,ACSBG1,AC011287.1,LIMD1
TECPR2,NELFCD,TEX14,TRIM9
GEN1,H3F3A,AL136442.1,PCDH9
AC079760.1,HSPA2,TBC1D3D,TNRC6C
AL158077.2,ITPR1,LONRF2,TMEM63A
SLC9B1,PLOD3,CALM3,LDB3
NOXA1,CHDH,TBX5,PHACTR3
AC110809.1,ANAPC16,THBS4,PPP1R16B
METTL24,TIMP2,H1FX,HIVEP3
PHLDB1,TPRN,GLDC,CYTH1
LDLRAD4,ZDHHC11B,ABCA9-AS1,TMOD2
ADAMTS18,NDUFA10,YIF1A,ZFYVE28
SSH2,NFIX,TNFRSF10B,TRIO
GLIDR,CLK1,ACTG1,ARHGEF7
ZNF883,FLCN,AC244213.1,ENAH
AL354984.2,AL513166.1,ST8SIA6-AS1,PTPN13
MYH11,GPS2,ZFY-AS1,RAP1A
LINC02301,ARHGEF2,NMRK1,CNTNAP2
TAP2,EPB41L3,PNMA8A,TCF20
SHB,RAPGEF5,ACTA2,MOG
SLC9A3-AS1,GLUL,NDST3,MIR100HG
ATOH8,PRNP,SELENOM,ABCG1
PVALEF,LZTS2,AC026341.2,TMEM165
LINC01359,ZSCAN18,PACRG-AS3,MAPK10
AL451048.1,CALCOCO1,GRM8,SIPA1L2
PROX1-AS1,CLCN4,SERPINE1,CCNY
LPGAT1,PDE4DIP,EPCAM,RFFL
CLDN11,TYRO3,NBPF14,NLK
TMTC4,ATG13,SMIM2-AS1,CD55
NKAIN1,CA11,DUSP5,SLC22A23
DLGAP2,PRUNE2,SLC7A14-AS1,SPOCK1
AL162391.1,BRD2,AC007922.2,UNC5B
SSBP4,TMEM184B,PPP4R4,SLC13A3
RNF17,CREBZF,AC022916.1,PALM2-AKAP2
AGPAT4,PARP8,ARHGAP42,SOX2-OT
ASIC2,NPC1,ARHGAP20,KIAA1324L
CCM2,RASSF2,ZDBF2,ATP8A1
LRP1,STAT2,HIST1H2AC,RNF157
AC105053.1,AL096803.2,LINC02470,GPATCH8
AL050309.1,PEG10,AC100801.1,AAK1
GALNT10,RAD50,MIR34AHG,ADAMTS14
LINC00320,IRS2,AC012414.3,AC006001.2
LINC01122,PYGB,GLIDR,DENND4A
AMY2B,CNDP2,SYCE1,EIF4E3
MCOLN2,FAM221A,AL355075.4,GSN
SNED1,ACTR1B,LGI2,MGAT3
AC010884.2,PPP3CB-AS1,CPE,CNTN2
DOCK5,BNIP3L,CRYM,ZNF708
AC013460.1,AL023284.4,PACRG-AS1,PAG1
IGSF11,FDPS,PCDH11X,SYNJ2
NECTIN3-AS1,SERHL2,AF131215.6,AHI1
FNBP1,CSNK1E,AC092535.4,TNKS
CXXC4-AS1,ANKZF1,RNASEK,NFIA
PTGDS,B4GALNT4,TMEM178A,TAFA5
LINC02815,GIPR,SNHG27,RAPGEF6
ZNF337-AS1,LINC00513,IER5,CSMD2
LINC00342,COLGALT1,AC104078.1,C10orf90
AC005081.1,GATM,NRN1,PPP1R12B
MOG,BICC1,AC010198.2,LINC02821
ABCC8,MAPK8IP1,KIF6,OSBPL1A
TMEM63C,PTPN11,LINC00992,DYNC1I2
LURAP1L-AS1,SCD,NDUFA3,CCSER2
ZKSCAN1,SPPL2B,RABAC1,PPP2R3A
GREB1,LINC00844,HSPA6,TBC1D2
CFAP73,HSPE1,ATF3,DNM2
HIBADH,CLDND1,BCAP31,FGFR1
ARHGEF37,ZER1,RGS11,VPS53
AC004817.5,TIMM44,GUCY1B1,MAST4
TENM2,DDX18,PCDH7,CPEB4
HTR4,ZNF302,LONRF3,DGKD
PROM1,PAXX,ID4,IQGAP1
TMEM171,TRABD,AC099343.4,MAP4K4
PPFIA2,TSC2,LINC01221,ARPP21
HIP1R,FHOD3,CALN1,FNBP4
SH3GLB2,MT-ND3,GPC5-AS1,TMEFF2
ACACB,LAMP2,MIF,TMCC3
Z84485.1,HHATL,ISG15,IL1RAPL1
AC083870.1,DAZAP2,AC008459.1,LRIG1
LIMA1,ARL4A,PWRN2,ZCCHC24
IFNLR1,BBS2,AC007344.1,HIP1
RAB11FIP1,TNRC6C-AS1,LINC02473,RNF130
SNX22,NDRG2,FLNA,CPNE2
CCDC78,WDR60,HMOX1,PPP2R2A
AL359504.2,APBB1,ST3GAL6-AS1,ELF2
AC006299.1,SELENOW,HLA-C,TMEM98
GLIPR2,DNAJB2,RHOXF1-AS1,HECW2
JPH1,TAPT1-AS1,FAM92A,KANK1
LINC02762,AKAP9,LRMDA,GLDN
EXD3,RBM25,DTX4,PPP6R2
UNC79,SLC5A3,PRDM16,PKD2
PRR18,CPM,AC006270.1,KCND3
AC092745.5,MFSD4A,ATP5F1D,CLASP1
TNS2,TRIM8,LPL,SREBF1
AL031587.4,ATXN2L,MYO3B,ARID4B
CCDC171,CELSR2,AF131215.2,FOXK2
DNM1,LRP2,AL158195.1,TRA2A
AL031710.2,RIC3,C5orf38,MRTFA
ADORA1,PTMA,SPATA22,SNX9
GRASP,RSRP1,COL9A3,CARS
LINC01411,MAP7D1,RPS19,RAB11FIP4
AC005920.1,MACF1,LPIN3,PRRC2B
HGC6.3,TAF7,CHRM5,ENPP2
YEATS2,PNN,C8orf86,MYO6
LINC02352,HID1,AC244502.1,FOXN3
CIP2A,MYO9B,ZNF154,TULP4
GMDS-DT,PLEKHH1,LINC01354,CHD9
AL133325.3,GDAP1,ERICH2,TTC3
HID1,RELN,COLCA2,ANKRD11
LEKR1,BCL2L1,RNASE1,ARNT2
PRR22,SLC7A11,NPIPB2,SRGAP3
GAMT,ADAMTS18,KLRC2,RERE
MROH7,PLPP2,ITGBL1,FAM222A
ADGRE2,WBP2,IL6R-AS1,APIP
NEFL,LDLRAP1,LINC00278,PDS5A
DPYSL5,DNM1L,MT-CO1,DICER1
RBFOX3,DENND4B,SLC15A1,DDX17
JAM3,SOWAHA,LMO4,SEMA3B
TST,PLEKHH2,AC095057.3,NF1
AC023282.1,ALDH2,PSG11,PRIMA1
AIF1L,ZBTB7A,RPS3,NCOA6
AC107464.1,IARS,AC008060.1,PFKFB3
SH3TC2-DT,MT-CO3,KCTD4,BIRC6
AC005237.1,STARD10,ATP6V1F,MCAM
U2AF1L5,ATF4,FLG-AS1,DPYSL2
LRMDA,ST3GAL5,TDRP,ELAVL3
AC068633.1,ZXDC,CRISPLD2,HERC1
U52111.1,APBA2,LINC02055,JAZF1
TRPC5,AUP1,LINC01846,KIAA0232
NTRK3,MFSD12,GCNT2,CLSTN2
ZDHHC22,TFEB,AC022874.1,TTC7A
P4HA1,PEBP1,ABHD3,RABEP1
KIAA1217,OSBPL1A,APOL4,LTBP1
KIAA1755,TIAL1,TMEM125,GPM6B
AL589740.1,SPSB3,AL359237.1,TMEM184B
NPAS2,KPNB1,MCC,MIR99AHG
FMO4,CEP85,AL354707.1,ENOSF1
BABAM2,RUFY3,SLC7A8,ZKSCAN1
SORCS1,CA2,SRP14,BMERB1
LTBP4,NOP56,ZP3,SGSM1
AC105430.1,IVNS1ABP,LURAP1L,LONRF2
LINGO1,SORL1,CTSV,LONP2
KLF9,CEP290,MAD2L2,DYNC1H1
DPH6,NDUFV1,AC139149.1,KIF1A
AC109927.1,B3GAT1,AL358075.2,TTL
MYH15,CKMT2-AS1,AC109472.1,PTPRE
ANK2,LRRN1,SMCO2,NRG2
AC126544.2,HNRNPL,LINC01098,ADK
CAHM,ZNF521,RASEF,APBA1
OSBPL3,TJAP1,RPL7A,SLC25A13
NKPD1,SH2D6,AC021683.5,NPAS3
ADD3-AS1,KCNJ2,WNT3,GRB10
CACNA2D3,AHI1,PRPS2,HSPA12A
CCBE1,PHGDH,PAX3,TRAPPC10
SLCO6A1,DGLUCY,MARCH3,GNB1
POC1B-AS1,KLHDC2,LINC01222,PIEZO2
LINC00891,LARP1,SLC35F1,CRTC3
AC004828.2,E2F4,LIF,ANKRD17
C8orf34,CALM1,REEP2,NRDC
EFNA1,PAXBP1,OSMR-AS1,WNK1
TERF2IP,ITGB8,KLRC3,DPYD
NOS1,MORF4L2,AL591888.1,SLC24A2
GPR37L1,PTS,GSTP1,P2RX7
AC097515.1,UPF3B,AC027458.1,LAMA2
GRIN2B,UBA6-AS1,MYLPF,BPTF
BX842570.1,PLEKHG3,ZNF100,TSPAN5
AC017002.6,RAC1,SERTAD1,ANKRD36
IMPDH1,PSAT1,SLC2A3,KDM4C
ZNF609,DPP7,TMTC1,CMIP
SYN3,SS18L2,RCN1,DNMT3A
SLC18B1,RNF144A,AL513190.1,TAF15
CTSH,MRPS6,CORO6,IBTK
THSD7A,CLASRP,TCTEX1D1,SH3TC2
CCDC9B,PABPN1,FAM169B,SPAG9
ZNF76,SRPK3,AL121852.1,TFCP2
LINC01500,COL9A2,AF131215.4,PLCL2
ACOT1,AC009318.1,DLEU7,GATAD2B
ZNF714,TTC3,MAFF,N4BP2L2
S100PBP,YARS,STX6,ACSL3
IFNA13,PRPF38B,CCDC158,ST3GAL4
SVOP,MRAS,SHOC1,SLC9A9
HDAC9,NIPAL3,ZNF404,RYBP
CCDC146,MT-CO2,NDUFA1,PRKCQ
AP002495.1,MAF,SUSD5,LCOR
TTLL3,PRPF4B,AL137802.2,KLC1
DPP10,SRSF3,RPL18,SETD2
ZNF160,PRKDC,APLP1,HEPACAM
RFLNA,KCNQ1OT1,RGS16,CD47
TMEM246-AS1,CBX7,PARD3B,PTPRA
AC025034.1,APLP1,AL589787.1,LUC7L2
GDA,NARF,AL590399.3,PPM1H
LINC00200,PCNT,CMBL,DIS3L2
LINC00907,PNPLA6,HHAT,REV3L
KIF25-AS1,MAX,SNCAIP,NFIC
P2RY1,LIPA,CEND1,ZFAND3
AC093791.2,ENPP6,AL136305.1,SPECC1
NAPRT,TMEM63A,RAB7B,GLUL
AP000282.1,SARAF,AC122108.2,FARP2
AL031587.1,NKTR,TOX3,MVB12B
SDCBP2-AS1,HNRNPK,AC098679.5,INF2
PWP2,DNHD1,AL355076.2,FAM20C
AC107223.1,SYT11,ROR1-AS1,RBM6
DBF4B,C5orf64,COX6C,ATP11A
MIR4300HG,NDUFAF6,GAP43,SLC4A8
GALNT17,BOK,MYOM2,OLMALINC
LINC02656,LINC01006,RNASE4,BRAF
AGT,HERPUD1,KIAA1614,SCD
DLGAP1,SDR39U1,HES6,AC079352.1
SCN2A,STK31,NID2,ETV6
ADCY1,SMG9,RPL9,GLS
CCDC102B,GLG1,PTENP1-AS,TMEFF1
GREM1,FAM50A,IGSF9B,GATAD1
POGZ,MALAT1,DTHD1,PPP6R3
GNAL,TOMM40,SKAP2,WDFY3
AC005329.1,MBP,DPYSL3,TOM1L2
APC2,SQLE,AC020916.1,SHTN1
PRKACB,HSD17B4,DDIT3,DPY19L1
SLC6A1,FAM157C,AC012447.1,C20orf194
AC004828.1,SLC31A2,SLC25A22,BCL6
SLC44A3,USP22,DUSP4,UNC79
CPT1A,NAA25,NGEF,ATXN2
DNAH17-AS1,TBCB,RARA,SLTM
RFPL1S,OR7C1,TTC39B,SYTL2
MYT1L,PLXNB1,AL353138.1,FNIP2
NXF5,ZNF24,AC092650.1,PPP1R14A
LINC02405,SIRT7,AC069114.1,VPS13C
AC078881.1,KCNK1,TUBB2A,SEC31A
PEX11G,GPIHBP1,AC093110.1,PER3
PDE4B,MAPK8IP3,TNFAIP8L3,FHIT
SLC2A1-AS1,CYHR1,TFAP2A,PPFIA2
AC245427.2,AL355881.1,AL136115.1,PLS3
KCNQ5,PURA,ACTB,MT-CO3
AC005165.1,ARL8A,ZFAND2A,SLC6A1
DNAI1,TERF2IP,TES,MARCH1
AC005329.3,SYNE1,GADD45A,ECPAS
KLF11,DAAM2,SRPX,BRF1
TUSC3,DYNC1H1,SLC25A34,ZNF483
HS6ST3,APLP2,CSRP2,FAM13C
FBXO47,THRA,ITGA11,OSBPL5
CD226,KLF9,MPP6,SPG11
CEMIP,LZTS3,NOL4,NAALAD2
ACER3,PCBP1,TMEM47,FAM13B
IZUMO4,LINC02256,GPR3,STX16
ATP2B2,AL645465.1,CYC1,CLDN11
AC108734.4,BTG1,LINC01446,MAML2
AC063919.1,YY1,TUBB,DENND2A
GRID1,FTL,PLAAT5,FBN1
AC097467.3,PANTR1,FAT1,POGZ
OR2F1,SMARCC2,HLF,SGIP1
AL021308.1,EIF1AX,ZNF334,CASTOR3
CTDSP1,RHOBTB3,HSPE1,EPHB2
XKR4,MTAP,RNF212,MSI2
AC068286.2,FGD5-AS1,UBE2U,SLC35D2
LINC02340,SF3B1,FMN2,NFIX
SEZ6,CLDN11,AC000061.1,PLLP
HCN1,L3MBTL1,CU638689.4,NSD1
AL109615.3,SERPINI1,AL590006.1,SMURF1
PTPRD,CYP51A1,AL713852.2,PTPDC1
ATCAY,PCBP1-AS1,AP001830.1,SPIRE1
BMP6,DCXR,TSPYL1,DOCK5
EPHA6,LPCAT4,NIBAN3,LRCH3
GALNT13,LINC00499,TNFRSF19,PLP1
NELL2,SLC22A17,RAB6B,SEMA5A
FAM106A,MKRN3,AP003100.2,ZNF532
EPSTI1,SLC44A1,AC060834.2,IWS1
KCNMB2-AS1,LAMP1,TJP2,MAL
AL591222.1,TMEM189,PHPT1,TESK2
AC013652.1,SBF1,AFF2,ATP2A2
GPR39,CERS4,CHODL,PCCA
FRMPD4,BCLAF1,AL021707.6,HERC2
SEMA4C,DAB1,RPL19,MYO15B
GABBR2,RAD23A,DPP10-AS1,IGDCC3
P2RX6,NADSYN1,ARL4C,FAM120B
MTMR7,SECISBP2,TLR1,TAOK1
GFRA1,XRRA1,FAM160A1,MYH14
AL121985.1,RCBTB1,KLHL25,SEPTIN2
NPAP1,DOCK9,SLC2A13,AFF4
HECW1,OMG,AC009495.1,CTIF
KIAA1211,NFE2L1,IL1RL2,NCAM1
HLA-F,MAN2C1,GOLGA8M,MIDN
MEG3,UBE4B,RGS9,ESYT2
ZMIZ1-AS1,PLEKHB1,PIM1,MYCBP2
AK8,EPN2,AL360013.2,CHD7
AC007220.1,AC012494.1,NUDT4,PWWP2A
LINC01170,ABHD17A,SNTA1,R3HDM2
HSPA12A,ZKSCAN1,ZNF208,ERBB3
FAM153CP,NAGLU,AL360093.1,TRPC4AP
DGKB,AC116362.1,ASZ1,RTN4
C20orf203,SELENOO,C1QTNF9B,CBFA2T2
THRB,SCML1,LINC02519,AP000721.2
MIAT,SMPD4,SLC16A10,HNRNPU
AC024597.1,MYO10,MIR217HG,PLPPR1
PTK2,SPATA13,TCEAL5,GPBP1
LINC01250,SAFB2,SPX,ZSWIM6
ARHGAP4,HNRNPH1,ALDH5A1,CSNK1A1
SPARCL1,RBL2,CD63,TTLL11
DBNDD1,PEA15,IL10RA,PRR5L
AP005901.5,PTPRN2,NPDC1,SENP6
AL110114.1,DDR1,CGAS,UBR1
TRPV6,GTF2IRD2B,AL442636.1,LRRFIP2
AC092111.1,CTSF,SPC25,MBNL1
DHX58,OFD1,AC244517.1,RAP1GDS1
CFAP221,CCNL2,AL162411.1,ESRRG
C3orf20,CDC37,C1QL4,ANKHD1
SLIT3,CFAP161,TDRD9,APC
