,bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
21931,AC105020.4,IGLV3-26,CDNF,HNF4A
21932,LINC02517,IGLV2-28,SPAG8,CCDC42
21933,Z70719.1,IGLV3-29,AC107982.3,AC011595.1
21934,EDNRA,IGLVI-56,AC010809.2,RBPJL
21935,SLC38A10,PRR20A,A1BG-AS1,CDKN2B
21936,AC023469.2,PRR20E,ERMAP,AC006525.1
21937,MAB21L4,PRR20D,AURKC,BRWD1-AS2
21938,AC012363.2,IGLVIV-65,CCDC40,ABHD15
21939,AC234582.2,IGLVIV-66-1,CYP19A1,LINC01887
21940,LINC00613,AL049555.1,AL591684.1,AC093796.1
21941,AC011611.4,SPHAR,AL591686.2,AL139381.1
21942,AC116424.1,AC004882.2,VASP,AC004846.2
21943,AL391069.3,TGFB2-OT1,ZNF236-DT,ROBO4
21944,UGT1A1,AP001486.2,AC098487.1,AL354892.1
21945,AL360268.2,DEFA1B,AC011939.2,ZAR1
21946,AC008453.2,AL096814.1,TMSB15B-AS1,AL357054.4
21947,DLX4,GUCA1A,AL022097.1,GPR17
21948,AL008727.1,PIGY,EHMT2-AS1,AC091074.3
21949,IGKV2-30,DEFB105A,PIK3IP1-AS1,AC005534.1
21950,MAGEA3,AL691459.1,C10orf95,AC093510.1
21951,AC005498.1,AC044873.1,FMNL1,AL121929.3
21952,KNG1,AC023301.1,AF131215.4,OR51B5
21953,ASB11,UTP14C,AL391832.4,AC243830.1
21954,NPTN-IT1,TGIF2LX,AP000254.2,AC090425.3
21955,AC112178.1,AC087190.3,TBC1D17,C17orf99
21956,OR13C5,IGHD2-15,TRIM16L,AL122035.2
21957,AP000345.1,IGHD3-16,KIAA1755,AL122008.4
21958,THAP7-AS1,IGHD4-17,DLEC1,AL157703.1
21959,AC010654.1,LCE1F,AKT3-IT1,AL049552.2
21960,AL583859.1,MCTS2P,AL162574.1,SMC2-AS1
21961,LINC01764,LCE2A,AC006333.2,FAM124B
21962,AC015726.2,USP17L20,AC104655.1,ENDOU
21963,AC004415.1,AL160004.1,EME2,TYR
21964,LINC02493,OR5D14,HAR1B,AL592295.3
21965,AC060234.1,OR5L1,TMEM185B,AC108472.1
21966,COPE,OR4A15,BCAM,AC092068.1
21967,ARMC8,IGHD7-27,PIF1,AC068792.1
21968,OR2T8,IGHJ1,VWF,AF130417.1
21969,LINC01518,IGHD1-14,TMCO4,ALLC
21970,MMAA,AL589765.2,LINC02615,C9orf163
21971,ADAMTSL5,LCE3B,AL158832.2,COL4A6
21972,KLK12,IGHD6-13,NXNL1,AC005104.3
21973,AC010503.4,IGHD5-18,TSPEAR,MYL3
21974,AC100849.2,IGHD6-19,AL359220.1,AQP6
21975,AC138474.1,IGHD1-20,AL158065.1,AC092979.1
21976,AC009065.2,IGHD2-21,IGSF1,AL451042.1
21977,C5orf52,GAGE12E,LRRC55,ZNF366
21978,TEX35,GAGE12D,R3HDM4,AC106799.2
21979,AC009996.1,GAGE12B,AC119868.2,AL138902.1
21980,CFAP58,AL157371.1,POLM,EPS8L2
21981,OXSR1,IGHJ3P,TMCO1-AS1,ADAMTS18
21982,AL049828.2,IGHJ6,LRRC61,AC005291.1
21983,AL096814.2,IGHD3-22,ZNRD2,AC084082.1
21984,UBE2E3,IGHD4-23,LINC01853,CYP26A1
21985,TUBB8P12,IGHD5-24,AC107973.1,LINC02302
21986,ZSCAN5B,IGHD6-25,PSG4,AC112503.1
21987,AC006272.1,IGHV1-17,KLHDC8A,AC053503.2
21988,BECN1,IGHVIII-16-1,ZC3HAV1L,LINC02749
21989,LYZL1,AL691426.1,FAM83H,AC068620.2
21990,AC008494.3,OR2W1,MIIP,AC100778.2
21991,AC026341.2,AC138907.1,LINC02679,TACR3
21992,AC048380.1,IGHV3OR16-9,CACTIN,NOTCH4
21993,CPT1A,AC004080.4,ZNF530,ZSWIM8-AS1
21994,ZNF737,FAM187A,CTXN3,AC082650.2
21995,AC107886.1,OR10A7,SLC16A8,DCLRE1B
21996,AC015660.1,AP000812.4,MRLN,AL590727.1
21997,AC005772.1,AL020996.3,STARD5,AC092745.1
21998,AC106820.5,AC233992.1,DDX60,DMRTA2
21999,IRS4,AC093010.3,CENPM,AC022960.2
22000,AP002907.1,AC006455.4,AL137003.2,VWA2
22001,AC113348.3,AL161908.2,AC004948.1,WDR62
22002,QRFP,LINC01628,HES6,IGF2BP2-AS1
22003,TRBV17,AC241644.3,NR2E1,SLC6A20
22004,NLRP5,PPIAL4F,AMY2A,AC020658.5
22005,AP003065.1,IGHV4-4,TIGD5,KIRREL3-AS3
22006,RAB11FIP3,IGHV1-14,CLEC4G,AL132800.1
22007,AL645768.1,LCE3D,NPSR1-AS1,TRIM55
22008,AL050331.2,IGHV7-4-1,ERCC2,AL023803.2
22009,LHX8,KRTAP9-2,CATSPERG,AC090220.1
22010,NOG,TGIF2LY,ZYX,AF064866.1
22011,AC051619.11,AC012414.4,SMPD4,CDH5
22012,NT5DC1,IGHD1-26,AC093893.1,IL31RA
22013,AC006159.1,IGHJ1P,ZNF229,AC008464.1
22014,ZNF257,IGHV5-10-1,ZNF284,GZMM
22015,POLG,IGHV3-22,ADGRD2,AC022325.2
22016,AC002072.1,IGHV3-11,CDCA4,LEMD1-DT
22017,AL353604.1,AC124312.3,AL596087.3,AL359697.1
22018,AC100872.2,KRTAP9-7,ST6GALNAC1,AC012645.2
22019,LINC01890,IGHVII-15-1,PXT1,AL591845.1
22020,LENEP,IGHJ2,AC023593.1,AC138356.3
22021,LINC01076,IGHJ2P,ALCAM,AL078644.2
22022,AC022898.2,IGHJ3,PYDC1,AC239799.1
22023,AC099050.1,IGHJ4,AC079584.2,MEIS1-AS2
22024,LINC01704,IGHV1-12,AC079313.2,AC011676.2
22025,AL109976.1,IGHVIII-11-1,TMEM202-AS1,AC104126.1
22026,LINC01677,IGHV3-21,DCTN1-AS1,AF127577.3
22027,ZBTB12,CT45A6,DMRTC1,EXOSC10-AS1
22028,GLDN,AC100827.3,AL353648.1,SLC1A7
22029,KHNYN,IGKV1-27,AL445213.2,SMYD1
22030,LINC02741,IGKV3-25,PKD1L3,TRIM75P
22031,AC010531.4,IGKV2-40,ZNF593,ACAN
22032,TMPRSS11E,IGKV2OR2-7D,AC100774.1,AL355838.1
22033,LINC02438,IGKV2OR2-10,INCENP,AC025175.1
22034,AC009630.2,IGKV1OR2-9,AC079354.3,AP003120.1
22035,VSIG10L2,IGHD5-12,METTL22,AC023034.1
22036,RHEX,AC092442.1,SEMA6C,SUSD2
22037,OR1N1,AC108747.1,ZNF831,AC011676.1
22038,AL583809.1,IGKV1-32,P2RX5,AC002529.1
22039,AC138028.5,SCYGR3,OR2AT4,AC073508.3
22040,AC099508.2,IGHV1OR21-1,TTLL13P,PLA2G2C
22041,AC136624.2,CU639417.5,ZNF396,STOML3
22042,AC011773.4,CU639417.1,TPBGL,ADGRE3
22043,RSF1-IT2,OR6K6,ZNF630,METTL7B
22044,AC126175.2,AC067747.1,MEX3D,AC064805.2
22045,AL136295.2,KRTAP10-6,SBK1,AL161935.1
22046,FAM170B-AS1,FP565260.4,AC007686.3,AL445224.1
22047,AC005837.1,SSU72P5,AC006372.3,VWA8-AS1
22048,HYAL4,USP17L29,AC025580.2,AC007036.2
22049,CEACAM16,USP17L28,ZNF165,WDR7-OT1
22050,LRRC19,AC136428.1,GSAP,AC007533.1
22051,AC091819.1,AC026470.3,AC092376.3,SEC23A-AS1
22052,AC036176.1,USP17L30,CRIPAK,AD001527.1
22053,AC091979.1,CT45A2,TMEM218,AC025188.1
22054,AL359208.1,OR52R1,ARSH,AC113615.2
22055,AC093904.3,OR51A2,MYO3A,AC007750.1
22056,AL445363.1,KRTAP13-3,P2RY1,FAM83F
22057,TMEM53,GAGE12G,ZNF558,OR2B11
22058,TBC1D14,AC245177.1,AL450992.2,AC016738.2
22059,LINC01887,AL356017.1,ARHGEF26-AS1,AC016987.1
22060,AL157938.4,AC008738.7,AC090617.4,DCDC2C
22061,AC091153.3,CT45A9,AC091607.2,LINC01789
22062,LINC02577,CT45A8,RFX6,CRYGD
22063,LINC01402,LINC02708,GPX6,TGM6
22064,FAM234A,IGKV2-14,CRYBG1,CYP19A1
22065,LINC01378,IGKV1-13,BRICD5,AC005323.2
22066,AL358452.1,AL355300.1,FZD1,AC027682.2
22067,SMPD1,AC009930.1,NAALADL2,AL162171.1
22068,AC013565.1,AC010177.1,SMIM27,AC026470.2
22069,PPP3CA,OR8H3,RHBG,AL355073.2
22070,DOK3,OR5AR1,IGFL2-AS1,AC022973.4
22071,KIAA1210,IGHD6-6,TAS1R1,AL160313.2
22072,DEDD2,OR10X1,DPP3,TAS2R20
22073,AC053503.1,IGHD2-8,LINC01607,MAF1
22074,AC005209.1,IGHD3-9,AC069213.1,AL157400.1
22075,C1orf146,CT47A1,LINC01309,AC096647.1
22076,AC073517.1,CT47A2,AC022966.2,LINC00934
22077,AC115989.1,CT47A3,AC080078.1,SERPINA6
22078,Z82206.1,AL137026.2,DLGAP2-AS1,LUADT1
22079,LINC00561,IGHD3-10,AC104002.3,HOMER3-AS1
22080,ZAP70,IGHD4-11,AC010260.1,CR1
22081,NPS,IGHD1-7,LINC2194,LINC02257
22082,B9D2,IGKV1-39,AL157834.1,COL20A1
22083,PDE7B,IGKV2-38,P2RY12,NCMAP-DT
22084,PARD6G,IGKV1-37,TRIOBP,AGBL3
22085,AL110115.1,IGKV2-36,AP005019.1,LINC02123
22086,AC002460.2,IGKV1-35,AC079465.1,AC068397.2
22087,U62317.3,IGKV3-34,ZFPL1,AC087623.1
22088,AC010395.1,IGKV7-3,GAU1,LINC02430
22089,AC003092.1,U62317.2,MND1,AP001830.2
22090,AC010335.1,IGKV3-15,AP001029.2,KCTD4
22091,NRBP1,Z82202.1,AL049780.2,ITPKB-IT1
22092,AC009063.3,TRBV10-1,AC006213.4,AL512283.1
22093,AC105402.4,TRBV5-2,RCAN3,AP001981.2
22094,AL391336.1,TRBV2,AC007563.4,KCNK7
22095,CPNE3,AL022312.1,MYT1L-AS1,AC116312.1
22096,HIST1H2BL,GAGE12H,AC078795.2,AL353804.1
22097,AL162394.1,KRTAP13-2,AC011472.1,AC005307.1
22098,AC010872.2,IGKJ1,ENTPD3-AS1,LINC01996
22099,LINC02378,IGKJ4,AL359643.3,AC008115.3
22100,BX005266.2,AC092078.1,GTF2F2,AL353613.1
22101,IL1RN,OSR2,AP001266.2,CERS2
22102,XPOT,AL450344.2,GALR1,SIRLNT
22103,LINC01646,AC253536.3,TRIM7,LIX1
22104,NKIRAS1,ALG1L,IQCM,AC119424.1
22105,PRR34,MIR3945HG,AL732292.2,CCDC17
22106,SERPIND1,KCNN3,AC010226.1,LINC02728
22107,KCNK5,AC188617.2,COX10-AS1,ARMH2
22108,EDC4,LINC01684,LINC02033,SHISAL2B
22109,AL590369.1,LINC00601,DDX28,PM20D1
22110,PLA2G1B,HAPLN1,CFAP97D2,AL020996.1
22111,AC093591.2,PITPNM2-AS1,FEZF1-AS1,AC108125.1
22112,HOXB13,CLEC9A,LINC02814,HPS6
22113,IGLC1,LINC02178,SRD5A3-AS1,MED4-AS1
22114,TAS2R40,AC137056.1,ATP10A,RUVBL1-AS1
22115,AC023946.1,AL807752.5,TSPEAR-AS2,LAPTM5
22116,AC137579.1,NUTM2G,AL031289.2,OXT
22117,AC104777.1,AL365273.1,C14orf39,AC005546.1
22118,AL451140.1,ADAM22,LYPD8,AC007527.1
22119,HTN3,PXMP4,WASF3-AS1,LINC02336
22120,AC244517.2,AC009227.2,PARS2,ZNF492
22121,AC093894.2,AC006942.1,ARHGAP27,AL132986.1
22122,AC007686.2,AC008403.2,LINC01353,RNF183
22123,AC105206.1,AP003119.2,LINC02726,AC013448.2
22124,AC069280.2,MRGPRX3,HOXA3,AL355102.4
22125,AF233439.3,ZNF497,ATAD3B,AC174065.1
22126,TIMM23,AC114798.1,AC068189.1,AC138230.1
22127,AQP10,SLC17A4,FGFR4,PGA3
22128,AC012485.2,AC034139.1,NAPA-AS1,PARD3-AS1
22129,AL133343.2,AC009961.4,SLC25A10,AL136295.7
22130,FBXO36-IT1,AP006287.3,AKAP8L,SPINK13
22131,Z97056.3,AC003950.1,FGFBP3,CMKLR1
22132,LINC02008,ARSG,SLC39A4,AC091838.1
22133,C8orf48,AC022167.3,AL359643.2,LINC02139
22134,ARL2,AL589745.2,AC005993.1,LINC02633
22135,AC009563.1,DEFB107A,MMP28,AC097625.1
22136,AL162591.2,ZFAND4,AC079943.2,FAM186B
22137,OR13J1,OR11A1,SRPX,EBF2
22138,AC093072.1,LINC01839,PTPN18,AL139327.2
22139,GLYATL1,AL590133.2,AP001972.4,AL133299.1
22140,CDH23,AC112242.2,BIN1,LINC01746
22141,AF233439.1,AL589765.4,FAM151A,AC016727.3
22142,RBBP9,DCAF12L1,MCAM,AC089998.4
22143,AC011933.3,LINC01891,STOM,LINC01736
22144,PLCB1-IT1,GIP,AC084724.1,APOM
22145,SLC25A30,LRTM1,AC005833.2,AL137847.2
22146,LINC00303,AC104463.1,LINC00173,AC136475.5
22147,LINC02605,HUS1B,AP001767.3,FAM245B
22148,LINC02293,LINC02535,AL445242.1,OR2G6
22149,AL136984.1,RTTN,AC009120.4,OTOP3
22150,GTPBP1,IGLC6,NAIF1,PROK2
22151,GPD1,IGHV1-18,FMC1,AC072062.1
22152,AL022328.1,BX539320.1,AP001021.1,AC048337.1
22153,AL391863.2,AL136307.1,EHF,AP000465.1
22154,MID1IP1-AS1,VSX2,NPTXR,CDHR5
22155,AC084756.1,AC006040.1,AL118508.1,LINC01680
22156,LINC00379,AC104619.2,ZMAT5,AL139123.1
22157,LINC00102,TRBV25OR9-2,AC046143.1,AL139379.1
22158,AL732509.1,TRAJ60,AC146944.4,AC092667.1
22159,AC072062.1,AC020914.1,RHOXF1,BCL6B
22160,AC004801.3,AL359458.1,ZBTB11-AS1,AL157400.2
22161,AC016710.1,LINC01670,CPHXL,AL353801.3
22162,AL034397.2,AC025183.3,CCDC60,AP002478.1
22163,AP000763.4,OR51F1,AL031289.1,LINC01160
22164,C6orf201,C16orf82,TCTEX1D4,SRD5A2
22165,AC136944.1,TRAV21,CU633906.5,FBXO47
22166,LINC01558,AC074389.3,ZNF460-AS1,AC092115.2
22167,AC005899.5,AL662789.1,AL022328.4,AC007391.3
22168,IL10RB-DT,TRBV5-7,GJD2,C9orf135-DT
22169,AC104984.1,IGKV1-5,FANCG,AMHR2
22170,AC103810.5,H3.Y,AC073842.2,AC007314.1
22171,AC007639.1,AP000431.2,AL451080.1,LINC00330
22172,USP29,OR4C46,BRMS1,VCX3B
22173,FGF6,TRAJ43,CCDC89,AC093001.2
22174,FGF14-AS1,TRAJ40,GSDME,TRIP10
22175,OTOP1,OR4D11,AC011124.1,LIFR-AS1
22176,AGBL4-IT1,OR5D13,MOSPD3,FSHR
22177,AC034229.1,FAM236A,AC004918.1,AC099535.2
22178,AL161804.1,RNASE8,AC008443.1,LINC01862
22179,AL162311.3,IGKV3OR2-5,AL390839.1,LINC02435
22180,AL096677.1,IGHV3-75,AC005280.1,AL512634.1
22181,IQCA1L,OR11H12,AC015871.7,LINC01942
22182,AC091965.1,KLF18,AC020687.1,PKN3
22183,AP001330.4,AL158154.2,AC002377.1,AC025031.3
22184,ZFP82,AC023115.1,ARMCX6,AC068473.3
22185,AC106779.1,AL512363.1,PDE1A,GALP
22186,LINC02201,AC092325.1,KLHL14,LINC00871
22187,ETAA1,IGHV1OR16-1,AC010975.1,TLR1
22188,LINC01303,AC134684.8,AC024257.1,AC025174.1
22189,AC009230.1,MAGEB5,VPS72,AL031429.2
22190,FO393419.2,OR10G2,AL033539.2,AC136285.1
22191,ERGIC3,PRAMEF26,ETFBKMT,AC092143.2
22192,LINC00566,AL512624.2,NFYA,AC002074.1
22193,NOSIP,IGKJ3,VPS35L,SPN
22194,AC067930.2,AC004975.2,AL118511.4,AC027601.1
22195,AP006219.2,AC012462.2,EPHA5,AC007513.1
22196,OR4E2,UGT1A9,CORT,AC100778.3
22197,AC009133.3,AL159990.1,PSMD10,RAET1E
22198,AC005225.3,DYTN,LCMT2,PLEKHG6
22199,AC019254.2,AL161719.1,MCHR2,SP9
22200,AC005343.1,AC112695.1,LTB4R,LSP1
22201,AC092448.1,LRRN4CL,LIN37,AC091614.1
22202,GEMIN7,LINC00113,AC012213.2,C4BPA
22203,RUSC1-AS1,ARHGEF9-IT1,AC073476.3,AC026765.3
22204,BRWD1-AS2,AL591178.1,BNIPL,EMP1
22205,AL606534.1,F7,AC004448.2,VAT1
22206,FAM41C,PRKACG,AC093425.1,SYNPO2L
22207,LINC01181,LINC00861,EFCAB12,HTR2C
22208,AC108449.2,AC008154.1,AC024597.1,C1QL1
22209,AC021573.1,AC138207.2,KCNK4,CYBA
22210,AC009019.1,CNKSR3,DNAJA3,ACOT4
22211,LAMP3,OR51M1,MGME1,SHLD3
22212,KRT14,TRAJ13,SLC18A2,AL591926.2
22213,HAUS5,LINC01120,SLX4IP,AC096637.1
22214,CDNF,IGKV2-30,IL12RB2,AC078785.2
22215,AC092803.1,MSX2,AF123462.1,AL139246.3
22216,CELA1,AC245052.1,LINC01208,AL807752.5
22217,KBTBD3,ZEB1,AOC3,LINC01679
22218,ARAP1-AS1,AC073842.1,RFESD,AC093010.2
22219,AC027045.2,AL390955.2,PTPRK,AC005329.3
22220,LINC01846,PCDHGC4,LINC02857,CLDN3
22221,C3orf70,AL359881.2,ABCC2,AC007682.1
22222,AC078878.2,OR6C68,AL049651.2,LTA
22223,AF131216.1,AC009531.1,AC011595.2,CACNG1
22224,CRX,SPRR2A,MAP3K10,AL049840.3
22225,TRIM49C,TRGVB,METRNL,TAS2R50
22226,AC004009.1,AC105105.2,CCNE1,DMRT1
22227,BCL2L13,TRAJ46,EPS8L2,ARHGEF9-IT1
22228,H2BFM,TRAV19,AC005154.4,SLC6A2
22229,AL357552.2,IGKV3OR2-268,MYO1H,AL365226.1
22230,PCDHB13,AC008687.3,RDH5,LINC00954
22231,TCF23,LINC00254,ACOXL,FYB2
22232,AFAP1L1,IGHVIII-76-1,COL5A2,APOBEC2
22233,AC068790.4,AL603764.2,AC009312.1,GIMAP6
22234,AC007327.2,TAAR1,ODAPH,AL356740.3
22235,REG1A,PEAR1,OCM,TMEM52
22236,C4orf46,AC104777.2,AC024588.1,ANKRD61
22237,IGFBP4,ZNF337,AL161449.2,AC099568.2
22238,KLHL24,HIST1H2BO,PSPN,AC068787.3
22239,RAB1B,PRSS58,LTK,AC188617.2
22240,C11orf45,AL135999.3,AC099684.1,BEND2
22241,AL035658.1,AC023490.5,AC008708.2,AC020911.3
22242,PITX3,AC006305.2,HDHD5-AS1,TFAP2C
22243,EXOC3L4,MESP2,CCZ1,AL359918.2
22244,MYO3B,AC007563.1,AC244090.1,AC005757.1
22245,AC108477.1,LINC00426,ZNF623,AL162872.1
22246,HIST1H2BB,FAM9B,AC013270.1,AC245427.1
22247,RASA3,AC022447.3,TTLL4,LINC01730
22248,AC245452.5,AC235097.1,AC079089.1,AC090099.1
22249,GAGE12F,AC092757.3,IER3-AS1,CCT6B
22250,LINC00380,AC073934.1,TRIB2,SPC25
22251,AC007336.2,MIR202HG,GMEB1,AP000844.1
22252,IGLC7,AEBP2,AC008781.1,AC092574.1
22253,OR4K5,SNHG30,HPS1,LINC02202
22254,AC073409.1,AC124057.1,AC025283.2,AC069439.2
22255,KRT6C,AP000355.1,CCDC125,AC114550.1
22256,TRBV11-1,AC092068.2,AC105450.1,AL627443.1
22257,KRTAP10-10,AC092068.3,AC010913.1,SOX18
22258,KRTAP10-9,AL132796.1,PARTICL,AL079301.1
22259,CXorf49B,IL36RN,AC097518.2,SAA4
22260,KRTAP10-11,AL451067.1,CREB5,SYDE1
22261,AL590227.1,AL451129.1,AP000345.2,AL031666.2
22262,TAF11L11,OR13H1,AC092053.3,LINC00940
22263,TRBV5-1,TRAJ8,AC005609.5,CD37
22264,AP000534.1,PGK2,AC005487.1,TTLL2
22265,BMF-AS1,CST2,AL078622.1,GFI1B
22266,PRAMEF33,AC106774.4,AL590666.4,TARM1
22267,PRAMEF17,AC020891.3,AC078909.1,AC002398.1
22268,MAGEB18,AL389889.2,BLACAT1,AC004877.1
22269,TRBV5-6,AC090696.1,AC062022.2,AC004817.3
22270,OR5M1,AC127496.4,PEMT,FGF12-AS2
22271,OR5AK2,NCMAP-DT,NUDT6,AC040963.1
22272,LINC01017,RUVBL1-AS1,AC010325.1,ARL13A
22273,AL691482.3,AC008558.1,AC090186.1,AL136040.1
22274,IGKV1-22,GLCE,RECQL5,FXYD5
22275,IGKV2-26,AL121578.2,AC109349.1,MTRNR2L4
22276,IGKV1-33,BCAT1,AC008079.1,LBHD2
22277,TRBJ2-2,PRSS35,AC022395.1,MYL1
22278,AC244100.4,AC129915.3,LINC00598,AC113385.1
22279,CST5,AC002511.2,AL079343.1,AL353704.1
22280,AC048387.1,TRAV8-2,C2orf68,ACRBP
22281,TRAJ39,AC087477.3,ABCC11,AC007881.2
22282,IGKV2-10,AL138759.1,AC111006.1,CD209
22283,IGKV1-8,AL590640.1,GMNC,AC126468.1
22284,CU104787.1,AP001531.1,AC092140.2,AC093912.1
22285,FAM223A,AC139769.2,VPS37D,PYDC2
22286,AC025754.1,AC134043.2,C11orf16,AC005013.1
22287,IVL,P2RY1,CCDC68,AC007848.1
22288,AP000439.3,AL138773.1,AC036214.4,AL606760.1
22289,SPACA5B,AC008406.1,TAS2R14,AC093382.1
22290,SPANXN5,AC090844.3,MST1,LINC01592
22291,AL590385.1,DLC1,DUXB,AP002383.2
22292,LCE3E,AC068672.3,ZNF69,EFCAB9
22293,IGKV2-18,OR51F2,OR6A2,KLB
22294,FP475955.2,RNF225,CDC42-AS1,OLFML2B
22295,CGB3,LINC00319,LINC00587,LINC01780
22296,OR10S1,TEX13A,MSRB1,AC124290.2
22297,TRAJ41,AC136601.1,CCNE2,AL606500.1
22298,TRAJ61,AC005379.1,AC007292.3,AC002101.1
22299,AC092132.1,IGLV5-48,ACVR1,MT-ND1
22300,CSH2,AC104961.1,AC126773.3,PROB1
22301,MYF5,ELOA3B,ID2-AS1,OTOG
22302,AL390730.2,AC015468.2,PRR29,KREMEN2
22303,LINC02521,AC003043.2,POLL,AP000266.1
22304,LINC01290,AC026950.2,AC018781.1,LINC01510
22305,AP000320.1,AL731537.1,GPSM2,TGM4
22306,AL645941.1,AL121985.1,AC116616.1,AC044802.1
22307,C2orf91,CELSR1,TSPAN2,FAM156B
22308,KRT78,HIST1H3B,MAP10,AP000753.2
22309,MIR548A1HG,LINC02352,AC130466.1,AC009227.1
22310,TRAC,AC121342.1,TSPAN19,LST1
22311,AC037459.3,OR2T8,MIR1-1HG-AS1,P2RX2
22312,AL391730.2,LINC02705,EDDM13,CYSLTR2
22313,AC022140.1,LINC02265,RNF212B,AP001360.3
22314,AC092944.3,ZSCAN10,AC093227.1,DOK1
22315,AL035670.1,AC097478.1,AC116158.1,LIF
22316,MMP1,FSD2,FAM189A2,AC011373.1
22317,AC004253.1,AP005229.2,BATF3,AL354950.2
22318,TMEM115,DEFB127,AC016549.1,DMRTA1
22319,BMP3,TRBV27,AL033543.1,AC008280.3
22320,AC004702.1,AL022314.1,AC090531.1,AC090371.2
22321,AC004888.1,AC015912.1,AC090150.1,AC105206.3
22322,GPR139,C6orf15,AEBP1,AC110611.1
22323,MYH4,TRAJ19,PPP2R3A,AL445649.1
22324,AP000873.4,AC022726.1,AL158206.1,NPB
22325,AC005730.3,SMARCA5-AS1,ZNF865,AP003115.1
22326,AC025048.7,FAM86C1,DDX60L,RIBC2
22327,UBE2K,GJA9,LINC01351,SMIM10
22328,AC010420.1,PEMT,SLC9A3R2,AC015813.8
22329,SPDYE2,C11orf74,AC020558.1,AC096992.3
22330,AL023754.1,LINC01052,DZIP1L,PKNOX2-AS1
22331,PCDHB15,HOMER3-AS1,AL450338.2,AL136962.1
22332,AC007879.2,BX322557.2,ADGB,TBX6
22333,GAK,CSF3,AC008543.1,MFNG
22334,AC010969.3,BICDL2,LENG8-AS1,AL021978.1
22335,AC002401.1,AC087439.1,AC068931.1,AL391863.1
22336,AL139390.1,AL355303.2,TTC39A,AC005597.1
22337,MIR4422HG,TRBJ2-2P,GPHB5,AL356481.3
22338,LINC02470,DCAF8L1,NATD1,DLG5-AS1
22339,ELOA-AS1,AP001999.1,GJA9,TMEM37
22340,AC253576.2,AC079349.1,DTX4,AL512641.1
22341,AC244093.5,AC079943.2,FGD5,AC139099.2
22342,AP000432.1,AC114341.2,RPP40,AC125603.2
22343,AC004156.1,NADK2-AS1,PLA2G4C,AC073534.2
22344,MYL3,CT45A10,VSTM2B,C1R
22345,AL035415.1,AC010987.1,PKD2L1,AC005632.6
22346,LDLRAD4-AS1,AL032819.3,RNASET2,AL355916.2
22347,CPSF4L,AL121885.3,FES,AC011731.1
22348,EPB42,AL138900.1,DECR2,TMC6
22349,AC008551.1,OR2A1,CLDN11,AL139801.1
22350,KREMEN2,AC022762.1,AC018545.1,AL391117.1
22351,PSMD9,LINC01587,STXBP6,AL356317.2
22352,LINC02667,AC006273.1,AL139095.4,NALCN-AS1
22353,AL109910.2,SRARP,ANKRD20A3,AC022164.1
22354,LINC02430,LINC02404,PPM1J,AC008080.3
22355,LINC00612,AC004771.2,UPK2,BGN
22356,SOAT2,DEF6,WFDC2,AC087627.1
22357,AP001360.1,AC083801.2,AL731563.3,AC009152.6
22358,FP325318.1,AL078582.2,AL445223.1,AL627095.2
22359,AP000802.1,AC023813.4,SLC25A31,AC013549.1
22360,MATN3,AC097369.2,IL15RA,RANBP3L
22361,CFB,AC007687.1,AL391845.2,CASC17
22362,BBS9,AC008269.2,AL355388.3,AC156455.1
22363,AC068580.3,DM1-AS,NTN1,CREB3L4
22364,MYL4,AC145207.4,BEND4,AL139042.1
22365,LINC01527,AC084879.2,ADM,AL160035.1
22366,AL078604.4,CSN2,AC034231.1,AC091534.1
22367,LINC02226,LINC01897,PDE4B,AC092675.1
22368,VCP,AC133480.1,CES3,EML2-AS1
22369,FOXP4-AS1,PLSCR1,CCDC88B,AC107067.1
22370,VMAC,AC008906.1,LMF2,AC022148.1
22371,NHLRC2,LINC02694,SCAMP1-AS1,HELT
22372,LINC00927,BTBD3,ZNF28,AL109615.3
22373,AC120036.5,LINC00589,ACR,AP005121.1
22374,AL662791.1,MAGI2-AS2,RPS6KB2,AC009652.1
22375,AL121987.2,TRAJ22,AP001160.3,AC089999.1
22376,AC027343.2,DIMT1,TMED6,AC093824.2
22377,TYW1,MT1HL1,LINC02240,CYP27B1
22378,AF196972.1,KRTAP21-1,AC104135.1,AC084757.4
22379,PGS1,IGKV2-24,CCDC160,ZMYND15
22380,AC080129.1,AC098869.2,XIRP2,XRCC2
22381,C8orf34-AS1,IFNA17,DTX2,CXCL16
22382,AC079329.1,AL662844.3,PABPC1L2B,INKA1
22383,R3HDML,LYPLAL1,ARHGAP9,AC093627.4
22384,AP003307.1,LINC01066,AC016746.1,AC005808.1
22385,AL133353.1,RFX7,MEMO1,AC026150.3
22386,LINC01210,AC115619.1,ZNF688,AP000821.2
22387,AL365214.2,OR6X1,AP001029.1,AOC1
22388,AC103853.1,AC092070.1,INHBB,AC006252.1
22389,TIPARP-AS1,SPTBN4,AC010261.2,GPR52
22390,MUC22,LINC02093,LINC01258,FGF6
22391,CD274,AC188616.1,WWC3-AS1,TBX21
22392,Z99289.2,AC095033.1,AL591845.1,Z98885.3
22393,UHMK1,ROPN1L-AS1,SKIDA1,MBOAT4
22394,H1FX,AC004080.2,ACSS3,AP001062.1
22395,AL358177.1,CRISP1,AL512625.2,AC006538.3
22396,IGFLR1,AL450423.2,KCNMB3,AC116407.1
