,bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
130,ARL17B,PNMA1,AC092957.1,CLASP2
131,LYRM9,ZNF621,GPR183,TRAPPC9
132,IFI44L,EEF1A2,PTGDS,ASB3
133,AC021231.1,NFKBIA,WDR86-AS1,NF1
134,HGSNAT,SYN1,RAB20,KIAA1671
135,HECW1,CALCOCO1,CXCR4,NTRK2
136,FMN1,SLC25A22,HCLS1,SH3GL3
137,ASIC2,PICK1,COCH,ELP2
138,RPS4X,CKB,AC022498.1,NRG2
139,AC083870.1,CNP,HIST1H1C,RNF157
140,WDPCP,MT-ND1,EYA1,RAI1
141,PHF7,H2AFV,SULT1C2,CAPZB
142,SRRM4,HNRNPA1,PTPRC,HIVEP3
143,DPH6,DHCR24,C7,SNX29
144,RNF144A,RPS28,KLHL6,SETD5
145,TNNI3K,EEF2,SLC7A2,AP001528.1
146,GABRA1,HNRNPK,HLA-DRB5,ENSA
147,TMEM72-AS1,KIF19,SEMA5A,PRKCA
148,GPI,SH3BGRL3,ZFP36L1,TRAP1
149,AP006261.1,CNDP2,CRYAB,EP400
150,SETBP1,AC004797.1,FAM177B,TNRC6A
151,ATP1A1,RAD23A,KCTD4,ZFAND3
152,RNF165,DTX3,TBXAS1,BICD1
153,METTL6,ADD1,CEMIP,MAPRE2
154,FAM78B,MYRF,AC108721.2,CLASP1
155,ZFX,PDE4DIP,LINC00498,KLRD1
156,LINC02347,GIT1,FPR3,NCOA2
157,AP004608.1,SF3B2,COL3A1,IPO5
158,MIR124-2HG,MTURN,RNASE6,DUSP16
159,KDM6A,RPLP1,AC098679.5,COL26A1
160,AC079781.5,DHCR7,LINC02248,EXOC6B
161,EPHB6,CLN8,AC105941.1,SMG1
162,ATCAY,FKBP1A,LINC02237,ACAP2
163,TESPA1,UBC,SNHG25,CACNB4
164,AP003393.1,APBB1,AC245187.2,NFATC3
165,SAT2,NORAD,TRIM38,UMAD1
166,AC026495.2,METRN,TYROBP,DCAF5
167,TBC1D3,YPEL3,CLEC2A,ANK3
168,NAGPA,KCNMB4,OLFML2B,CAPRIN2
169,FLYWCH1,SLC5A11,LITAF,MRTFA
170,ABCA10,MRFAP1,AL359091.1,ECPAS
171,ACTR1B,PGAM1,GATA6,NAV1
172,AC011995.2,TMED4,HOTAIRM1,DCUN1D4
173,PNMA2,ATF4,AC018541.1,MGAT5
174,RHOBTB2,TSC22D3,STAB1,DPYSL2
175,TMEM259,USF2,CLEC2B,HOOK3
176,HSF4,RPL41,AC093898.1,RGL1
177,ALG1L9P,FOSB,ADAM28,KIF1B
178,STMN3,MAZ,PDLIM1,SMIM12
179,FTX,DOC2A,RASGRP3,OSBP2
180,PIGL,TARSL2,AC023095.1,ZCCHC7
181,AC019211.1,METTL7A,AL161717.1,CHD9
182,CIAO1,IDS,AC092924.2,TCF20
183,KAZN,VAMP2,COL1A2,EPHB2
184,TMEM266,PTOV1,AC090692.1,WDR60
185,CBX7,CHGA,FLI1,GFPT1
186,PTPRT,BRSK2,TLR5,DIP2B
187,ARFGEF2,CHCHD2,CU638689.4,CDK12
188,KCNJ4,AL807742.1,FAM111A,MCF2L
189,CAMK2A,ERBIN,AC023824.3,C1orf21
190,MYRIP,ERBB3,FGL2,SNRNP70
191,AC007368.1,MAP7D1,SULT1E1,AKAP6
192,RTF1,EGR3,TBX18,RBFOX2
193,STX1B,GABARAPL2,KIF6,ZBTB8OS
194,PNMA8B,CIC,LINC01678,NAP1L4
195,PGAP2,PPIA,EVI2A,SOBP
196,FAM171A2,KDM5C,AC097532.2,DYNC1I2
197,LINC01115,AC005753.2,NID1,GRK3
198,PDPR,NPTX1,DPEP2,CCDC18-AS1
199,LUC7L3,LIPA,RBM47,ASH1L
200,ZNF449,TMC6,C1QTNF9B,BMPR1A
201,NAT8L,H2AFZ,CPED1,SEC31A
202,NECAB1,EIF4H,LY86,CEP95
203,METTL24,ANLN,CYBRD1,ABR
204,NDUFV1,PRPF4B,CD53,KMT2E
205,CACNG8,UBA1,LST1,RALGAPA1
206,RABEPK,SIRPA,SNHG27,EFR3B
207,AC108519.1,PAQR8,HSPA1B,ASAP1
208,PDE4A,KLF13,CASP4,CSNK1A1
209,RBFOX3,RPL11,FOXD2,NUMB
210,OGFR,LAMP1,AC026462.4,PAFAH1B1
211,TMEM44,RPL13,MS4A4E,ARHGAP35
212,PRXL2A,ISCU,COL1A1,NRIP1
213,GLB1L3,CLU,HIST1H2BH,WDR37
214,YEATS2,JUNB,AJ006995.1,FMNL2
215,LDB2,PER1,AC097528.1,RASA3
216,DLGAP2,DKK3,TMEM125,TAFA5
217,CAMK2G,CA11,LINC00320,IFI6
218,CNPY2,SKP1,AC011586.1,ACSL3
219,NEIL1,DPP7,SPRY4-AS1,ARHGAP21
220,GABRG3,H1FX,AC022730.4,SETD2
221,ZKSCAN1,SLC6A9,LINC01397,SEMA4D
222,PXYLP1,PSAP,AC009236.2,SNX31
223,SPARCL1,IDI1,ADTRP,TMEM14B
224,LINC01278,C9orf16,LINC02511,CARS
225,LRRC4,CHDH,CD84,C20orf194
226,NUAK1,TAGLN3,MNDA,DANT2
227,SRSF11,BRD2,AC100801.1,SAMD12
228,SYT12,DDX18,LINC02432,BPTF
229,SPON2,LGI3,SYTL4,CHD2
230,LINC00342,ACTB,GALNT5,COBL
231,RSRP1,RPS2,ACADL,MPHOSPH9
232,AC008696.2,ZMIZ1,AC106795.3,RBM6
233,LINC01310,SARAF,KDR,NEMF
234,GLMN,RPN1,F13A1,LINC01588
235,AC051619.5,NACA,LINC01638,SERINC5
236,MAST4,SRSF3,AC108690.1,PNISR
237,AL158077.2,RHOU,LINC02473,LRCH3
238,PITPNM3,PFKP,RNF144B,NCOR2
239,GP1BB,TMEM259,FLG-AS1,EHMT1
240,FAM27C,OGFRL1,STRA6,GPBP1
241,VDAC3,SRSF2,LAPTM5,ENAH
242,AC062028.1,CADM3,AC231759.2,HTT
243,DDX3X,MT-ND3,SEMA3D,GBF1
244,AC018685.2,CCSAP,DSP,POGZ
245,RCL1,B4GALNT4,FGF10,RALGPS1
246,WAC-AS1,PLXNB1,AC009041.2,ZNF586
247,QTRT1,RETREG2,AC245123.1,FOXK2
248,EPHX4,CFL1,AC244213.1,CLEC16A
249,L2HGDH,CNTN2,CLEC7A,GNB1
250,MAP6D1,HPN-AS1,EBF1,RYK
251,MEST,EIF4A2,LINC01446,ANKRD17
252,RPH3A,UCHL1,SYK,NFAT5
253,RHBDL1,JTB,FOXC2,ELOVL5
254,KANSL3,PURA,AC007389.1,PHF14
255,C8orf86,LZTS2,ZNF208,NUP160
256,DYSF,PAXX,AL353784.1,AC090518.1
257,ZNF540,NFIX,AC012368.1,MAGI1
258,AC025839.1,POU3F3,TJP2,CEP192
259,SLC4A8,SEMA4C,OLIG1,CASC4
260,PIGZ,OAZ1,MYLPF,MYO5A
261,AL355472.2,ATP6V0C,FOLH1,UBE2G2
262,CPLX1,ATP6AP1,KLK6,MYO18A
263,AC007619.1,HSP90AB1,AC061958.1,NBEAL1
264,DIRAS2,RAN,AL031056.1,AGO3
265,MLIP,DYNLL1,CXCL16,SORBS1
266,BMPER,PCNT,LINC02397,DENND5A
267,AC011476.3,LAMP2,ADAP2,ZFC3H1
268,NRBP2,NONO,SLC6A20,SLC20A2
269,ZMIZ1-AS1,EID1,SLCO2B1,PPP2R2B
270,KATNB1,DDX3X,MID1,PACS2
271,AC024610.2,YWHAH,AC007952.4,HSPA4L
272,UNC80,TRIM28,TYMSOS,MON2
273,NDST3,CELSR2,AL162414.1,MAPT
274,FAM66B,AC104041.1,HTRA3,AC004949.1
275,PACSIN1,SELENOK,GOLGA6L10,PKNOX1
276,Z94721.1,PDXP,AC007391.3,CCDC66
277,AL445433.2,SERINC1,VENTX,ZNF451
278,AGBL3,TFEB,GPRC5D-AS1,ADNP
279,USP11,FBXL16,LINC02027,SRPK2
280,AP000943.2,RPL10,CD99,TTC14
281,AL008633.1,GATM,LURAP1L-AS1,USP32
