earlyAD,lateAD
ZMYND8,YAF2
NEBL,NFIA
COL15A1,PTMS
NRDC,BBS9
PLLP,FOXO1
ID2,WDFY3
DPYSL3,NPTX2
PGP,OSBPL1A
RAB40B,GOLIM4
SLC24A4,NR3C2
U2AF1,C15orf41
RPS8,TNR
SAT1,SLITRK5
IVD,PNISR
DOCK7,SESN1
IWS1,MT1M
ARHGEF26,LRRC1
N4BP2L2,PCBP1
HLA-C,AJAP1
HSP90AB1,UBC
ELL2,KCTD3
DECR1,MAST4
ZNF528-AS1,CTSD
PTPRA,CD59
SCG2,AC004852.2
ITPR2,PRKCA
MAP2K4,HNRNPA2B1
MAP4K5,ZMYM2
CAMK2N1,NCOA2
KIAA1958,TPT1
ARID5A,MARCH1
PILRB,NXPH1
MTMR1,NRG3
FXYD6,TBL1XR1
PCM1,APCDD1
COL4A1,BNIP3L
MED13L,NXPE3
LRIG1,STXBP5
KANK4,MAPT
KCNMB2-AS1,PSIP1
HSPA1B,SLC25A48
NPHP3,STXBP5L
SERPINA3,MTUS1
DNAH11,PCDHGA1
RPS27A,NCAM1
ARHGEF6,DSCAM
RPL9,DSE
RHOU,RIN2
KCNC1,C5orf64
APOL6,LCOR
ARHGEF12,AL033523.1
SIPA1L1,SCN2A
SGIP1,ASXL2
FNDC3A,ARHGAP32
RPS6,LINC01546
FMNL2,DCC
AC110023.1,KIF13A
BAMBI,USP3
TXNIP,SULT1C4
TK2,FOXO3
TMEM132B,APOLD1
YARS,SORT1
STK40,KLF9
RBBP6,ZNF718
FNDC3B,VAPA
HSPA1A,RPGR
DIP2B,PPP1R9A
TTC3,TPI1
AC079584.1,AMER2
SLC20A2,H1FX
KIF19,SPAG16
AFF1,IFI16
RPS3A,CLIP3
HMBOX1,CLU
GADD45B,NOL4
CREBZF,OLFM1
TIMP1,AZGP1
ATP13A4,AMPD2
SRPX,DOCK9
SNAP25-AS1,UCHL1
SUSD1,TMEM108
ZBTB7C,DPP6
SUGP2,NCKAP5
YBX1,RFX7
NSD3,TMEFF2
AC090692.1,GPI
ZFAND3,ANKRD33B
LINC02649,ST6GAL2
CHKA,MT-ND5
CCT6A,CDK14
SPTBN1,GPM6A
ACTN2,TRIM2
LINC00299,NEBL
TUT4,C10orf90
RPLP0,AC023282.1
AMD1,PHF21A
PHLDB1,SYTL4
PCSK5,PALLD
ISG20,ZCCHC14
CST3,TNFSF13B
SRSF7,EXOC4
LRRFIP1,AC104806.2
RPL13A,ARID5B
AFF4,ACER3
SPATA7,KIAA1109
C4orf19,BBS2
ASIC4,CHN1
RGS16,SH3BGRL
METTL7B,TDRD6
AC103810.2,WDR11
KIF5C,HNRNPK
ARAP2,SOD1
RHOBTB3,ATOH8
RACK1,EGLN3
SMG6,AC011287.1
SLC1A2,CHDH
CHD7,COBL
AC090403.1,STMN1
RMDN2,SMARCA2
PHLDA1,TANC2
CLASP1,DOCK4
NOL10,AC011346.1
AC131097.2,ATRX
CLDN12,PRNP
CALN1,SGCE
PIEZO1,MAP4K3
DNAJC6,SNHG14
AC016042.1,CFL1
RPL7,CELF2
PNN,AQP4-AS1
VAMP2,SCG2
PCGF5,RPL34
KCNMA1,MERTK
CD47,UBR5
PRKAR1B,SCN3A
UBTD1,KIAA0232
RPS6KA2,DDX17
YTHDC2,MTX2
RPS7,TSPYL2
FAR2,EDIL3
MTUS1,CCND3
XRCC5,AC105285.1
CLEC16A,RALGAPA1
ABLIM1,NFATC2
GLIS3,RBM26
PDGFA,ERBB3
ANKRD37,TMBIM6
GPBP1,RPL9
PI4KA,BEST3
MT-CYB,RAPGEF5
SHISA6,FMNL3
L3MBTL4,BBX
RDH10-AS1,TOB2
SLC22A4,USP34
EIF5,AKAP9
FAM13C,ITGB4
AP001977.1,LSAMP
MAP1A,RUNX1T1
PAK1,MPP6
CEMIP,AL139260.1
RPL10,CROCC
STAT1,FRG1-DT
NFAT5,ATP6V0C
KIF13B,ENOX2
SCG3,EFCAB7
OSBP2,MYCBP2
ARL6IP1,SLC39A11
MT-ND5,NELL1
LGI2,ADRA1A
NOP56,LUZP2
SYT6,INTS10
RHOJ,RAPGEF4
AKAP8L,FBXO2
PLXDC2,MEGF10
TENT2,PNRC1
PAMR1,PCSK5
TAFA5,B3GALT2
CDCA7L,ANKRD12
SUDS3,STAG2
ASXL1,IRF2BP2
C1QL1,LINC00632
ADRA1A,CPE
CPEB4,CRTAC1
NBAS,LINC00476
SREBF1,CREM
CCNL1,EEF1A1
RBM26,ANAPC16
OLFM1,HNRNPH3
AC074032.1,LDHB
RIPK1,AK3
MIR3659HG,NHSL1
ZFP36L2,UMAD1
DENND4A,FAM107A
PAFAH1B1,SRP14
SOD1,OLIG1
B4GALT5,NSD3
DDIT4,TSPAN5
EEF1A1,AK9
PTN,SMYD3
SPOCD1,TAB2
ADGRG1,ATP5F1E
ARHGEF17,FBXL7
PFKP,CEP170
RTN1,AL158071.3
SERPINE2,ATP8A1
GRID1,TASOR
TIAL1,FXYD6
PRPF4B,PDGFRA
AL445250.1,VAMP2
HDHD5,TSHZ1
TSC22D1,ACACB
CDC42BPA,TMEM200C
SRP14,GSG1L
NUP42,CLASP1
SLC35G2,LINC02853
EIF1,UQCRB
SEMA5A,SEZ6L2
APOL4,MEGF11
ASCL1,ITGB8
SOGA3,GLRB
TMED10,PRXL2A
MAP3K2,CKB
APOE,RCN2
TERF2IP,PHF3
SRGAP2,WDR7
MT1X,LRRN3
OSMR-AS1,ARID2
RPL34,STXBP5-AS1
CD46,MAML2
ARHGEF7,MRO
HNRNPU,FCHSD2
LDHA,WDR26
PITPNM2,DYNLRB1
HSPA9,SGIP1
SNTG1,AC092652.2
EGFR,AP2M1
ADGRL3,GLUL
ITGA8,VCAN-AS1
AC087854.1,DECR1
ZHX2,PID1
ZFR,MRFAP1
IRS2,FTL
AGO2,ARL6IP1
CPQ,CSNK1E
LMO4,RNF19A
COG7,CRIM1
CYFIP2,SLITRK4
CRYL1,OXR1
SYTL2,BIN1
AC027312.1,CMTM3
B4GALNT4,COL6A1
ZDHHC9,HLA-C
HEPN1,XRN1
ATG14,ETNK1
ATP6V0C,PDGFC
HNRNPH1,ITGB3BP
SEPTIN7,ARHGAP18
CNOT2,ANKRD17
CASP7,EIF5A
ARHGAP24,SMARCAD1
MOB3B,KLF12
MARCH6,GRIA3
BRINP2,SLITRK3
EEA1,SOX10
TBL1X,ZNF638
REEP3,AC107398.3
FLOT1,TRAPPC8
TLE2,AC119674.1
FADS2,RTKN
RPL23A,CREBRF
RPS19,CHADL
DZIP1,PRICKLE2
EID1,SLC8A2
ADARB2,RAD23B
ETFDH,KCTD16
IDS,ERCC6L2
CADM4,MAP7D1
NDFIP1,NUMA1
PTGFRN,PTBP2
CTTN,AC069228.1
GTF2IRD2,RBPJ
PLOD3,ATP1A1
ANXA2,SCRG1
SRA1,OGFRL1
NDUFA13,ST8SIA1
RPL15,RPLP1
CABIN1,RAP1GAP2
PRICKLE2,CAMSAP2
RTN3,KIAA0930
MTDH,PICALM
ZFYVE28,LINC02268
PARD3,RTN3
FBXW7,HCG17
FAIM2,EWSR1
SLC25A36,MCPH1
TEAD4,PDS5B
PRKDC,PDE4D
H3F3A,KCNF1
DLG1,COX6A1
ERBB3,TAFA2
CNTNAP1,C1QL2
GPR139,YAE1
AVL9,AQP4
ATP5F1D,GNG3
CHST3,SLC22A17
GLRX,P2RY12
PUM3,MMP16
ARL6IP5,CHD9
RRBP1,CNTN6
FKBP10,BCAS3
NTNG1,MT-ATP8
MORF4L1,BARD1
DIRC3,LINC00472
AP002762.2,AC092902.4
AC078842.2,GFAP
RSRP1,SRGAP1
ME3,ESRRG
PTPN13,DYNLL1
SUMF1,STAG1
THOC2,LINC00862
KIAA1217,MEG8
ALDOC,ARHGAP22
ATE1,CADM3
UBB,PTAR1
GBP1,NDUFS5
METRN,BNIP3
DCLK2,CA11
PLD5,AFDN
UBR2,KIAA2026
TSPAN7,CSF1
DENND2A,SENP7
PI4KB,LINC00310
TRIP12,TMEM255A
IARS,APLP1
RABEPK,KCTD8
FRMD5,ZBTB1
PLEKHM2,TNIK
LRP1B,CBWD5
THRAP3,SMC6
PKD2,KCNJ16
ARID4B,RPS24
SH3RF3,DGCR6
USP22,PXDC1
CC2D1A,OTUD7B
TTC37,LINC00513
ARFGAP3,DYRK1A
SHISA5,CDC73
ATXN2L,FMNL2
KCNE1,SALL1
CPE,AL627171.2
MAMLD1,MNAT1
SLC25A29,BTBD8
KCNK9,TRIP11
DACH1,ASB3
NELFCD,MRAS
SAFB2,CSRP1
SMARCA1,RPL38
CAB39,DLGAP1
ZNF207,ALDH6A1
OFD1,CHL1-AS2
NDUFS2,PCDH17
HIP1R,PSPC1
PPFIA1,AL110292.1
PCSK1N,STON1-GTF2A1L
PNMA2,GPHN
AC079781.5,B4GAT1
FAM27C,CALCOCO1
MARS,SON
RPL41,CCDC186
ATG7,GABARAP
PHYHIPL,YPEL3
HMGXB3,SPRY4-AS1
PSIP1,C2orf88
MSI2,CPEB2
SRSF10,CALM1
WDFY3,KCNMB2-AS1
RPL18,CHD2
STRN3,MAP4K5
SF1,GPR146
FADS3,ARHGAP20
PNPT1,CALM3
RPS6KA3,UST
TRIM44,SF3B1
MRPS25,FAM155A
CD59,C1orf21
VDAC2,USP47
TUBA1A,FAM171B
LINC01060,LINC01965
PCBP1,VWA8
TEK,CTSF
ENAH,KIF3C
GATM,ZFHX4
AC239809.3,PCNT
PMP22,PRDX5
NDUFV1,CHPT1
IFFO1,PCSK2
BOD1L1,SORBS2
NAMPT,NDRG2
RPS23,ZEB1-AS1
DYNC1LI2,CAMK2N1
IREB2,CDKN1B
RPL8,CNOT2
DOCK1,APBB2
S100A16,HNMT
SREK1,FAR2
RAB3GAP2,ZNF280D
PARP9,RABAC1
GATAD2B,HBP1
CHSY1,PLEKHF1
PSMA3,MAT2A
STX16,PYGO1
NUP210L,JPX
MAOB,GPSM2
SPP1,SIK3
RPL14,ZNF292
PEBP1,SERINC1
DLG5,AC005906.2
NCOR2,PRKAR1A
KAT2B,ART3
CASC4,ATP5F1D
DPY19L3,TSIX
EMID1,EXTL1
AC108519.1,PBX1
GIGYF2,ERBIN
DRAXIN,LINC01505
UBE2G2,KLHDC2
RBM39,SOX6
SLC23A2,LINC00320
GPRC5B,SCD5
GYPC,IGSF11
FBRSL1,LRRTM2
VIM,GTF2I
NRN1,UBL3
HDAC7,PPM1K
FAM184B,PHF14
NWD2,ELF1
MAT2A,SPART
PPP6R2,C2CD5
USP6NL,ANK3
ATP8B2,NDUFA4
CLVS1,FKBP3
GLS,ATM
ARL6IP4,FOXN2
VGLL4,ASCC3
PPP2R2A,KCNIP4-IT1
RNF19A,LRRC8D
MTERF1,AC007262.2
YEATS2,ZNF195
LINC02427,CNKSR2
LINC00882,ZEB1
CHD4,UBQLN2
DISP1,LRP4
KIF1A,GPR135
PON2,PTGDS
CHCHD10,HIBCH
CELF1,RAD21
RAB11FIP3,TPRG1
LHFPL3,CRBN
KCNK10,RALGDS
COL16A1,PSAP
CXXC5,N4BP2L1
ZNF638,SRSF11
UBA6,PEG3
TRAPPC10,AC006994.2
ST8SIA5,ZNF148
MT-ND2,ARHGEF4
KPNA1,PIK3C3
ACTR3,LINC00599
IL17RB,ATP5MC3
TCEAL2,JAKMIP2
SATB2,ZNF462
CMYA5,WARS2-AS1
B2M,JPH4
CD9,REEP3
CAPRIN1,GNA12
DDX39B,SPOCK3
ZNF721,CWC27
RPL11,ACIN1
SCYL2,MT1E
NUMBL,LINC-PINT
GPR155,NPIPB5
CHD2,FXR1
MEGF11,LINC01250
EHBP1,MIF
RGMA,PNPLA7
TESC,LINC00159
AC087369.2,VPS13A
PER3,GRB10
MYO6,FAM160A1
SH3BP2,TRIM9
HELZ,JUND
CAPN5,BLM
OGT,CERCAM
TAF15,SMG1
MAP1LC3B,PPP2R2B
U2SURP,ELAVL4
PPP3CB,POU3F3
ANK2,PRRC2C
LUC7L2,KIZ
DPY19L1,LRMDA
SLC5A3,PLSCR4
CWF19L2,TAOK3
TMEM132A,ANKRD44
SMURF1,SASH1
RAB1A,PPIA
OPA1,AC092652.1
FOSL1,OAZ1
MON2,CDK13
SLC2A3,CHST11
CYP39A1,TPP2
CERS6,B3GAT2
MAP3K4,DCXR
TMEM87B,H2AFZ
NPHP4,ANKRD10
ADGRB3,AC244131.2
PDGFC,CEP97
NTRK3,TXNL4B
ZSWIM8,AASDHPPT
SECISBP2,SP4
KPNB1,DIP2B
ASB3,AC068643.1
FGFR1,MIR124-2HG
SFSWAP,SLC29A2
TP53BP2,IGF1R
THUMPD3-AS1,CDK6
PPP3CC,ADAM22
SSBP4,ZFAND3
PRKCE,LRBA
ADGRB2,GNPDA2
DDR1,ERC1
CFL1,KMT2E
AP2M1,LYRM4
ZNF451,EFR3A
IGDCC4,PCDH10
PIGL,FRMD4A
GNG12,LRRC8A
SMAD1,DSCAML1
RBP1,CALM2
ZCCHC17,PTPN4
NFIC,CSMD2
REPS1,NME9
JTB,SERPINI1
RPS24,MACROD2
NRG3,PTPN13
ANKRD52,MAN1A2
MYO9B,THRA
LIFR,MEGF9
AC011246.1,TMEM123
PTGES3,ALDH1L1-AS2
PPP2CB,PPP3CA
ARF1,AC090403.1
RNF213,CGGBP1
S100A6,LGR5
R3HDM2,RPL37A
SCN3A,COX4I1
MEGF10,PRDX2
LUC7L,SCG3
SLC9A9,TLN2
IRAK2,GPD2
ARID5B,VRK2
PROS1,JADE2
SEC61A1,AP001341.1
TMEM131,FCHO2
HNRNPR,BCAN
DTX3,TSPAN7
SLC6A11,CAMK2B
SLC2A13,C22orf34
FAU,ATP5F1B
TET3,TMEM59L
KCTD3,TBCB
FASTKD1,AC108066.2
AL354822.1,PDK1
MT-ND4,AC007952.4
BEAN1,AL160314.2
LINC00499,EPC1
PREPL,SREK1
TCERG1,TPD52
MAPK10,CHRDL1
RBFOX2,SLC25A40
MYO5A,DTX3
FBXO7,NBAS
MAP4K3,RNF180
RAD23A,FAM135A
MYSM1,PMPCB
RERE,RBMS3
SORL1,AP3B1
BRD2,SPARC
NUFIP2,PGP
INTS1,NT5DC3
DPF1,ENO2
CORO1C,CORO7
RASA3,CDK19
ITGB3BP,COX6C
ATR,LINC02301
RPL12,CCSAP
ENHO,AC090578.1
KHDRBS1,TMED7
KCNF1,SH3RF1
SEC31A,AC005618.1
PPP1R12A,ZHX2
AGT,PRKCE
TSEN15,MFF
CCNI,PIEZO1
CHORDC1,MITF
OGA,AL163952.1
TMEM165,LEMD3
KLHL4,AKAP7
ATP11A,AC098588.3
SNHG18,ANKRD28
PRPF8,IQCJ-SCHIP1
RING1,BRWD1
RAB7A,DPYSL2
SIK2,SAMD1
NPEPPS,PCMTD1
RPL26,TIA1
BSCL2,PMS1
TMBIM6,ATF2
AL390755.1,ZADH2
SENP6,IGFBP5
ELF2,CHD7
AFDN,PLCB4
PPP1CB,MEIS1
LPP,ADCY2
NASP,DCAF6
CHN1,LYPLAL1
TRNT1,GABARAPL2
CIAO1,STX16
XPC,WDR19
PLPP3,ATP10D
STAT2,SPOCK2
MORF4L2,GSK3B
MALRD1,PITPNM2
PRPF38B,SOX21
RPL21,ATXN1
MTUS2,AL392172.1
VDAC3,SH2D4A
ORMDL1,ALDH2
NEK1,SCRN1
RBM3,CEP350
GRK4,PITPNC1
PRMT3,CNOT6L
ANKRD13D,RASGEF1A
ATPSCKMT,SRI
GOLIM4,AC106791.1
MIR3936HG,BMT2
ARFGEF2,SDCBP
TRRAP,ATF7IP
NKAP,PTPRG
NDUFB8,RAPGEF2
BARD1,GOLPH3
ERC1,SBDS
HIVEP3,BRD8
SQSTM1,IRAK1BP1
TM7SF3,AC007325.4
ITGB4,NF1
ARID1B,PKP4
PIP5K1A,MLLT10
CPNE5,POT1-AS1
ITPKB,ARMC8
YME1L1,PURG
EXOSC10,SYT1
TLL1,GADD45GIP1
BIRC6,SNX30
PTPRG,PDE1C
EPHA5,AC004158.1
KLC1,HMGB1
CENPP,PEPD
RPS15,CYFIP2
FHIT,AF117829.1
MTHFD2,CENPC
ZNF862,ASAP1
TAOK1,HNRNPU
ZNF532,TP53BP2
AC012404.1,ENO1
WNK3,TCAF1
HTT,RPS15
HILPDA,RGS7BP
PPA2,ABAT
BMPR1A,CLVS2
CNOT4,AL096803.2
SEC31B,USP25
CLSTN1,EIF4A2
RPL4,CNNM2
LMAN1,POLK
NRIP1,AL391840.1
FUBP1,ZMAT4
FEM1C,CLMN
FNIP1,ARHGAP26
IFNAR2,NDUFAF6
NDUFAF8,HECTD2
CUL3,SLA
FBXO31,ABTB1
ANKH,NRIP1
COX6C,KDM6A
MPDZ,FBXO32
MAML2,NCKAP1
UBE2D3,TNRC6B
WRNIP1,ZC4H2
CDK19,CERT1
UBR3,SLITRK1
NDUFA10,CNOT4
ADAMTS7,KITLG
ARPC2,SLC44A1
TMCO3,MTRNR2L1
ZNF790,AC008269.1
PAM,PIP4P2
RDH11,SOX13
NFASC,PCDH20
LINC01965,ZFR
RXRA,PYGB
HP1BP3,RASA1
HEPACAM,N4BP2L2
RAMP1,SFSWAP
AC046134.2,TRMT11
STK17A,PCSK1N
CDKL1,AP000317.1
CUL5,AC090518.1
ZNF254,FUBP1
INTS10,CPQ
RPL30,BSG
CBFB,TCEAL1
CSGALNACT2,SOS1
SLAIN1,JMY
TRPC4AP,IRS1
NPAS2,PLPP4
CR1,AC016745.2
ASH1L,MAP2K4
PIGF,LINC01004
CDK5RAP3,PPP4R1
VDAC1,ANXA6
B3GAT3,TBC1D1
NPRL3,TRAF3IP2-AS1
PRKCA-AS1,LINC02516
PARP14,RIT2
B3GAT1,TLR1
NFKBIA,BAALC
NKTR,B3GAT1
HINT1,SLC6A1
ABCE1,TRIP12
ARHGEF4,ARPP19
RNF180,ACSL3
HECW1,INTS6
CD82,DLEU2
DCTN4,NPL
EPCAM-DT,SATB1
SMG1,UBA1
SYP,DBNDD2
LMCD1-AS1,RNF187
AQP4,HERC2
EIF3A,BTG1
APPL2,CAPS2
ZBTB20,FAM172A
NARF,ZFX
FOXK2,KAT2A
MBOAT2,ZNF516
ZEB1,UBA52
PRRC2C,SKP1
SUMO2,TACC2
BCAT1,TMED10
ITM2C,ASPH
AC100793.2,AKR1C3
DHX36,LINC02199
NME2,RBBP6
