bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
ACTA2,EFCAB1,FBXL7,PPM1E
LINC01693,DNER,KIAA1217,PITPNM2
MYO1B,SLC4A8,PDZRN3,EML6
SLC1A1,AC013470.2,PLCG2,NFIB
CAMK2A,COL16A1,AL136456.1,HK1
CSPG4,BBOF1,FMNL2,LTBP4
PPARGC1B,TTC34,IGSF10,NEK5
LINC02172,CCDC191,C1QTNF7,SDK2
AL596442.2,KIAA0319,C7,HNRNPF
TMEM44,PZP,GATA6,SFMBT2
KCNIP1,LINC00271,TMTC1,SARAF
BTG1,FAM92B,LINC02691,VAPA
TMSB10,MAOB,SLC43A2,GNAS
SRPX2,AL357093.2,FILIP1,CALM1
CD38,DOCK3,GLI2,SIPA1L2
SHROOM4,LEKR1,SLC26A5,ST13
ELL2,AC093689.1,KLRD1,CLIP2
ARHGDIG,CLHC1,SULT1C2,VWA3A
DGKH,MIPEP,KDR,PKIG
CD34,DNAH10,LRFN2,RUFY3
SLC5A4,CFAP100,GLUL,FHAD1
BGN,TMEM163,CCS,ST5
FAM110D,CCDC78,MYO10,FNBP1L
PODXL,KIF9,AC245060.5,CORO1C
MYL9,CABCOCO1,GPX3,ARHGEF7
LDLRAD3,PFKFB2,ACSM3,DDAH1
MGLL,UBE3D,KANSL1L,STOM
C2CD4C,AC105052.5,SERPINA3,SYNPO2
CHST2,PTRH1,MAF,TBC1D1
LPL,CFAP57,CTSL,ITGB5
SOCS3,PANTR1,AASS,DENND1A
TINAGL1,JAKMIP2,INSR,LMNA
AL138828.1,XIST,DDX3Y,ARPC2
RUNDC3B,CCDC175,AC139887.2,TSHZ2
ACVRL1,MLF1,SUFU,CDC42SE2
AL359546.1,CFAP58,SLPI,TCF4
DUSP23,LRRC23,SLC16A12,CCNL1
GNG11,AK7,WDR86-AS1,TAPBP
MYT1L,CNTN3,LINC01594,CCDC173
PACSIN1,NFATC2,LCNL1,GALNT18
FXYD6,CSPP1,PNISR,RPS4Y1
VIT,IGSF11,LAMA2,ELK3
LINC00200,OCA2,ATP13A3,UBE3D
CHGA,MAK,ALX4,ABR
MX1,IFT172,NAV1,DNAI1
AC005753.2,FSIP1,RORA,ECT2L
SNAP25,CRISPLD1,NTM,FNDC3B
FGR,SNTB1,RSPO2,PPP1R15A
PCDH1,GFAP,NID2,TMTC2
GPR4,APC,MRC2,PHACTR1
NEFL,STOX1,NECAB1,PPP2R2C
AL391056.1,PDK4,NRP2,CSPP1
OSMR,AC097518.2,ZFHX2-AS1,NF1
ETS2,TTC26,GABPB2,SEPTIN7
LAMA4,IRS2,GASK1A,LAMC1
DES,AC091078.1,CASTOR2,DYNLL1
AC114757.1,AL157886.1,AC003044.1,DAAM2
CNTN4,ATP13A4,AFDN,WDR93
TRPC3,PRICKLE2,NEO1,EPB41L4A
LINC01619,MEIS2,SULF1,AIG1
AFAP1L2,LINC00907,GALNT1,AQP4
FOXQ1,ZMYND10,PDE7A,SELENOW
EPHA3,CDH20,RIPOR2,CD63
GABRE,LINC00880,CREB3L2,ADAR
LRP8,C5orf49,ARHGAP10,SRSF5
OLFM1,GAS8,AC012078.2,TVP23C
RASIP1,AQP4-AS1,C1R,CAPS
MYH11,TTLL7,KLF5,HSPG2
SOX7,CFAP77,PTPRE,IQCG
STUM,IL16,PBX1,KIF9
SLC52A3,IQCH,C1RL,NRIR
GIMAP7,REEP1,DHRS3,RGS6
CLEC14A,ADCY2,SCMH1,LEF1
EBF1,SHTN1,KIAA1755,DAPK3
TNFRSF6B,STK33,PITPNC1,LRP11
TRPV2,TRPS1,CDH18,JAKMIP2
TNFRSF10A,PPARGC1A,CRTC3,DPP10-AS3
HLA-A,PPP1R32,NCOA7,LRRC63
NPIPB5,SPEF1,CCL26,BRD4
ISG15,C9orf24,SAT1,RBFOX2
TLL2,GABRG1,COL4A3,CRIM1
SYT1,DYNC2H1,MAPK4,NUDT9
IFITM3,GRIA1,PXK,SPARC
DOCK9,NCALD,ZNF420,FAM135B
GIMAP1,VWCE,JAM2,CAST
AC245187.2,CADM2,BTBD11,LINC01503
TSPAN9,DNAH2,LYPD6B,ITGA7
ADCY4,DRC7,ZCCHC24,AC046158.1
HRC,CHST9,AC007262.2,CREB5
JCAD,ANKRD30BL,C1S,LRRC9
GPAT2,GRIN2A,ADAM33,EIF1
B2M,ATRNL1,EBF3,ZNRF1
IFI6,CFAP53,METTL24,RHPN2
ATP11A,KIAA0825,DDR2,FAM183A
SLC5A6,TUBB4B,ECHDC2,DNAJB1
TMEM71,IFT27,DANT2,PIK3C2A
ARAP3,DENND2A,PIEZO2,ANKMY1
ICA1,STK32A,AC124947.1,TAFA5
HTR1F,CCDC81,GRHL1,AZIN1
EHD2,SPATA18,LINGO2,BBS4
ZEB1,CHKA,SSTR2,NELL2
OAS2,ADGRA3,AL137139.2,ATP2A2
SEMA6A,CD109,LINC01600,SLC47A2
CCM2L,MAPK15,AC104574.2,TULP3
ELMO1,FABP6,CHRDL1,RAB3GAP1
C2orf83,FSTL5,COL3A1,ARHGEF10
MIR222HG,LRP2BP,BACH2,IQSEC1
RBFOX3,CRNDE,MPPED2,RGS22
RIPOR3,CKB,IGF2R,AC026704.1
EDIL3,CD24,UTY,RAPGEF6
TUBA1B,DNALI1,AC005064.1,MYLK
AC127029.2,PIFO,ADHFE1,TEKT1
SOX18,TRDMT1,PODN,CCDC170
ARRDC2,TRPC6,PLXNA4,KNDC1
APLN,SCN1A-AS1,STRA6,ZNF608
CCDC3,IFT88,SDC2,LINC01833
NPY1R,LDLRAD4,GPC5-AS1,RNGTT
ZFYVE28,CCDC189,AC099782.2,SPTAN1
GUCY1B1,MVB12B,AKAP12,CRB1
LY6E,TTR,LINC01266,ATP8B1
CASP4,RPGRIP1L,PRKG1,PCSK1N
FHL2,SLC44A5,CLCN2,DNM3
AC106845.1,FHOD3,SORD,CEP83
DUSP5,NELL2,SLC35G1,DNAH11
OAS3,C1orf158,HDAC2-AS2,NOP58
PDGFB,ODF3B,AC004160.1,WDFY3
CSF1R,STXBP5L,SEL1L3,ZDHHC14
F13A1,FBXO15,ZNF423,SMC5
