earlyAD,lateAD
ITGAV,KCNV1
HP1BP3,PLEKHA1
NUDT4,FBLL1
ADAMTS2,TIFA
ACTN2,GPC5
TMEM236,PPP2CA
ACSL3,FRMD5
NPC1L1,YOD1
FKBP5,ABHD17A
COL14A1,KCNAB3
RPS20,RORA
AC245123.1,IGFBP4
LINC02268,NCAM2
OSBP2,EXOC8
LINC01923,NXN
UNC5D,FLRT3
BMP8A,SCN1B
CCK,NR3C1
TOB1,LINC01002
SERINC1,NEFH
SGCG,RAB6B
GLUL,CREBRF
NEDD4L,FGF17
DCAF6,CACYBP
NFATC1,EIF4G2
LINC02080,SIRPA
DDR2,PCDHGA1
NR3C2,HCG11
KCNS1,IPCEF1
KCNH1,CGGBP1
SLC44A1,ADGRL1
AC073050.1,RAB11B
MAP2K4,CDIP1
GPHN,CNTN1
MT-CYB,FOXP2
USP2,AC091544.4
TNFSF13B,AL365361.1
FBXO34,FKBP1C
ARID5A,FBXO32
DDX24,AC027020.2
ATP11B,CLEC2A
HTR2A,FURIN
CNTN5,MYH7
PRKAR1A,COL5A1
MEF2A,GABRB2
ZC3H12A,KCNK12
CACNA1A,CNIH2
ITPRID2,AC109466.1
SLC2A13,MSH4
H2AFV,ABHD13
STIP1,PPP1CC
FCHO2,ENPP4
NNMT,AC006538.1
LNX1,YAP1
UBE2H,TERF2
AC108134.2,SV2A
POU3F2,C8orf88
LRRTM3,PRDM8
CAMK2B,LINC01018
DLEU2,ARL6IP1
NBEA,FAM171B
IL17RC,TCF4
SYN3,AC009495.1
RERE,PMPCB
AC093865.1,PTPRT
CAB39L,AL034347.1
SIK2,TMEM35A
ANKS1B,ADAP1
PELI2,FGD5-AS1
AKT3,IRF2BPL
SLC39A14,ZNF358
LANCL3,CCDC117
CDKL5,CEBPB
CEMIP,GPR27
LINC01115,CROCC
UBE2W,PNRC2
CERS6,CASTOR2
PRKCB,MRFAP1L1
LINC02263,DNAH11
AC104806.2,TMEM200C
P4HA2,PRR36
MYT1L,HSPH1
SLC41A2,YWHAE
EPB41L3,FMR1
AC016831.7,SLC25A22
ELK1,B3GALT2
AK3,HIPK1
RPL4,MYLPF
NELL2,MIF
MIA3,AC104072.1
TMOD1,GPRC5B
AC005487.1,CCDC50
TENT5C,PAPOLA
ZFAND2A,AMPH
DENND5B,AC109927.1
ATG12,SPOCK2
CUX1,C1QL2
AEBP2,CPT1B
ZNF248,NEFL
ZFYVE28,TMEM132C
AL445250.1,GSTM3
PANTR1,EPB41L1
CYFIP1,ZBTB41
COL28A1,SDCBP
GOLGB1,SPR
LCOR,DOK3
MBNL2,CIPC
NPTN,SMC1A
DERA,KLHL4
CLASP1,KRI1
AL359764.3,JAK2
WDPCP,AC010857.1
GFPT1,TMCC2
ATP6V1H,CTSB
HIBCH,GRIP1
NRGN,HNRNPA0
PTH2R,PSMD10
AL354822.1,ELAVL3
BASP1-AS1,LDHB
AFF4,GUCY1B1
TSC22D2,OTUD1
ADAMTS1,PPP1R15B
RGPD2,LSM11
ARID5B,AMOTL2
ATP1B1,CD74
MATR3,MT3
EPHX4,SACS
HIF1A-AS3,CHD5
SLC20A2,CSNK1E
TMPRSS9,TAFA2
ASB3,CACNA2D2
TFDP2,CNST
PPP2CA,ATP1A3
NDUFB11,PCGF5
LRRK2,SOCS4
PCNX1,PCDH11X
AP001341.1,HIST1H4C
PAIP1,TMEM115
NRG3,GTF3C4
CHN1,DCK
C3orf20,YPEL3
SYBU,RAPGEF3
LINC00498,AL163952.1
MARCH6,CLVS2
NETO1,BBS10
FUT9,SMARCA1
CCSAP,AL034417.4
MAP2K3,RCC1
ZEB2,RBMS3
PHTF2,PASK
CHSY3,PANTR1
PLEKHA5,ITPR2
SPAG9,EPHB6
AL592156.2,AQP4
RPS6KA2,ELFN2
ST13,DSE
AC110614.1,MNS1
FAM172A,HIST1H2AC
AKAP11,MBD3
SYT10,AL450313.1
APP,PAFAH1B3
AASDHPPT,LINC00622
SCYL2,TMEM127
MRPS6,GFAP
SHROOM3,GRIN1
BRINP3,FGF14
CDC42BPA,FP236383.3
ZBTB18,SOCS5
RABGAP1L,VCPIP1
IQCJ-SCHIP1,MID2
XRN1,IER5
FSTL5,CDKN2AIP
UBR3,AC016717.2
PPIP5K1,CDHR1
GIPC2,AJM1
ALOXE3,PRPF4B
CACNA1B,LINC00641
SOD2,RANGAP1
NPHP3,DGKG
TSPAN7,B2M
ST3GAL6,PER1
DNAJB4,TFEB
COX7B2,ZBTB38
MAP1B,LAMB4
SYT1,ROR1
RPL31,JMJD6
AC239809.3,LINC02193
SCG2,MAP1B
SMC5,FXR2
ADAM9,GPRIN1
AC093928.1,EPM2AIP1
SNCB,PIM1
DMD,PTGES
ECE1,ANKRD12
ATP6V0A4,MAP2K3
DENND4A,CADM3
FOSL1,TAPBP
