bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
MIR210HG,PADI2,MT-CO2,DIP2A
LINC00470,SOCS6,MALAT1,EVL
LINC02712,DDX21,BNIP3L,IKZF1
FHAD1,PTPRG,CXADR,AC008050.1
IFIT2,SPATA13,HLA-DRA,CTBP2
OAS1,AZU1,MT-CYB,ZEB2
AC113370.1,FIGN,ABCA1,UBASH3B
AC006974.2,SH3RF3,CLIC2,JMJD1C
IL1B,NCK2,NAV2,SRGAP2B
HESX1,UBE2J1,UBC,LINC02712
TRIM25,SPDYE2,MT-ND4,SLCO2B1
FLVCR2,IGF2BP2,MT-CO1,NEK6
AL050309.1,SPTLC2,SH3BP5,EPHB2
HLA-DOB,MCF2L,NAMPT,PICALM
FAM157C,ITGB2,TCF4,LRRK1
P2RY14,ITGAL,TSC22D3,TNRC18
IL21R,PTPRE,DPYD,AC009432.2
LINC02642,LINC01001,HLA-B,ADAP2
LINC02057,COTL1,DUSP1,ETV5
SERPING1,EIF4A1,RTN3,XRRA1
ESRRG,C5orf17,PGBD5,MRC2
SLC2A5,COL24A1,MIS18BP1,LINC01091
ATF5,CERNA2,MS4A7,DOCK10
RASGEF1C,HSP90B1,DDX5,EPB41L2
PPFIA4,APOE,MT-ND2,FCHSD2
AL162414.1,KANSL1,PLTP,BIN1
AC092535.4,GRAMD1A,FAM110B,XAF1
PLEKHH1,KCNIP1,TNFRSF1B,LRRC8C
AC008591.1,PCDH9,GABRB2,SPRED1
IFITM3,KCNMB1,ADGRG7,ATP8B4
USP18,BCL6,SSBP2,PARP14
MLXIPL,MCTP2,HLA-DRB1,UTY
AC083870.1,DENND3,NEAT1,SNX29
PRUNE2,HOXA3,AOAH,ZNF710
ISG15,PRAM1,AC106729.1,GNB1
HPN,GLRX,CXCL12,MAP4
ZBP1,AC012150.1,RGS1,KBTBD12
PTPN1,AL034397.3,LY96,ITGAM
CFB,RAB27B,GRK3,MAML2
LGALS3BP,P4HA2,CELF2,BLNK
IL4R,PPP6R2,ABHD3,CSF1R
AC016573.1,CORO1A,PILRA,SPTLC2
GPI,CD81,PNISR,RAPGEF6
SP110,ARMH1,PEAK1,LYST
RASSF4,KCNG1,TXNIP,ASH1L
SH3TC1,GOLGA8A,SPTLC3,SMAD3
THBD,ARL17A,DOCK1,IFNGR1
AC022509.2,HOPX,KCNH5,CYTH4
DPYS,PTPN14,DMXL2,CELF1
HELZ2,LIMK2,PDCD4,SEMA4D
AL121999.1,PAX8-AS1,PDE4B,ARHGAP17
CLEC19A,HOXA9,ATG7,FUS
AC044893.1,SKI,SARAF,ZSWIM6
PIM3,NUTM2A-AS1,RAB20,INPP5D
MEIS1,TGFB1,GRIP1,ARHGAP35
LMNB1,ADAMTSL2,ZFP36L2,CHD9
ARHGAP8,FRY,OLFML2B,IFI44L
MOCOS,FSCN1,APOC1,SHTN1
ANK2,UBA6-AS1,CXCR4,SGMS1
IL4I1,PLCB1,ZFY,DDX60L
AL392086.3,MAP7,B2M,NRIP1
PLCXD3,FCGR1A,CIITA,OGFRL1
OASL,ZNF521,DDX17,DIP2B
CUL1,PIM1,MS4A4A,IL17RA
PARP12,RGS19,HSP90AB1,VPS13C
MEIKIN,TMED8,CD86,RERE
FGL1,SERPINE1,CREBL2,TRAK1
CEMIP2,SPATA6,ARHGAP24,SPIN1
PPM1K-DT,FCGBP,CREM,VAV1
GOLGA4,IARS,AHNAK,RAB10
ZFPM2-AS1,IL1B,AUTS2,HCG22
GPR160,MMRN1,VAMP2,BHLHE41
SH3RF3,ALOX5AP,CPQ,RAPGEF1
NCK2,AC010997.3,SERINC1,AC079062.1
FAM20A,TGFBR1,SRGAP3,SOCS6
SUCNR1,FLT1,CLK1,PDE9A
AC244131.2,LRRK1,FBXL20,TRIO
LAMA2,PRSS57,MT-ATP6,FGD2
TGFBR1,ERCC6,NOTCH2,WASF2
BCL3,LHFPL2,PSAP,RHBDF2
EPHB2,HK2,UGCG,NCOA3
AC079760.1,SPINK2,PLCL1,DOCK2
MIR2052HG,NT5DC3,CCDC144A,SERPINB9
KIAA1211,ACAP1,ZBTB20,CYFIP1
SULF2,HSPA4L,HLA-DQB1,P2RY13
ITIH4,C2orf91,HLA-DQA1,ZC3HAV1
PIGX,MYB,F13A1,BCAR3
IFI27,CYBA,KDM5D,USP6NL
GMPR,PALD1,C1QC,RGS10
RABEP2,KIT,AMPD3,LRCH1
AL391117.1,SIGLEC9,PRKAG2,ADAM10
MYO1G,TRABD,EFCAB13,CGNL1
MLKL,PRELID1,RPS19,CDYL
AL359232.1,XYLT1,CTTNBP2,ITPR2
TMEM229B,APMAP,AC011246.1,APPL2
TMEM236,CYFIP1,HLA-DPA1,CHST15
LILRB1,XBP1,SAT1,NSD1
AC100849.1,LINC02147,DUSP16,KIAA0930
PFKFB3,SLC5A9,TANC2,SLC9A9
AC244453.3,RNF144A,UBXN2B,MEF2C
CHST11,ANTXR1,KYNU,AL592429.2
CECR2,KCNQ5,HLA-DMB,SLC8A1
MOV10L1,CYTH4,CD163,SIGLEC1
AC078883.1,GATA2,CFLAR,CSF3R
AC008632.1,NELFCD,RNF150,HS3ST4
AL356356.1,PLK3,AL035401.1,NOL4L
PFKFB4,HDAC7,KCNMA1,USP9Y
APOL6,SERPINH1,FPR3,MGAT5
AMACR,ZNF718,ARRDC3,RABGAP1L
HERC5,TRPM2,TTC7A,AGAP1
JAK3,BCL2A1,RNF130,FMNL3
LINC00487,ADAMTS17,MIR181A1HG,MICOS10
AC098679.1,UCK2,GPR183,MYO1F
CPEB4,PRMT1,NMRK1,FLI1
AC007319.1,IFITM10,CREBRF,TNRC6A
XACT,BHLHE41,GNA13,EPSTI1
SBNO2,SEMA4D,SLC2A13,ADGRG1
KIFC3,DNAJB1,GPRIN3,DNM2
SHISA5,SLC2A5,BTG1,SIRPA
PIGL,CTSD,ARHGAP15,PRKY
PUDP,GNAI1,RPS6KA5,ENTPD1
VSTM4,APBB1IP,PELI1,NLRP1
ZNF208,AC109492.1,RNF13,ARHGAP26
SETBP1,IRF8,MAF,COTL1
PRAME,SLC39A1,BTBD8,KLC1
LINC01088,HOXB9,ATM,MVB12B
LINC00200,TREML1,ELF2,PAFAH1B1
TBX18,TCF25,ATG4C,RTN4
ADAMTSL4-AS1,MANF,YPEL2,GNG7
LY6E-DT,RBPMS,FHIT,SYNDIG1
PSORS1C3,RHEX,HLA-DMA,HTRA1
AC005699.1,HSPA6,RAD51B,KLHL18
TMEM63C,JAG2,PRNP,ZFAND3
ANKDD1A,SLC7A1,GK,WDFY4
ENOSF1,ARHGAP4,MITF,LINC02798
AC093298.2,CYP39A1,CTSS,SENP6
ZDHHC19,PLCB4,CYBRD1,TRANK1
RASL10A,LCP2,RBPJ,ZFHX3
LY6E,P2RY6,HLA-A,LHFPL2
MYBPC3,PDIA3,AL078604.4,USP53
SH2B2,SLC1A3,AP2A2,TFCP2
ASMTL-AS1,C3,MAN2A1,MACF1
RNF149,COL27A1,CMKLR1,ARHGAP12
AL139351.2,NIBAN1,MACROD2,RASGEF1C
KCNIP1,CPB2-AS1,MANBA,GAK
TPH1,DLEU1,AC007262.2,SNRNP70
LINC01426,LAMA2,NRP2,KLF6
LINC00106,CSF2RA,MB21D2,TTTY14
GRAMD1A,MED12L,DNAJB6,SAMSN1
KCNMA1,TMSB4X,SNAP23,BCL2L1
LAP3,PRKCD,ALOX15B,PIK3CD
GPR173,HOXB3,PIK3CA,SH3KBP1
MUC20,PRKX,QKI,OSBPL6
SPATA22,LINC01565,C9orf72,BRD4
CEBPB,IL17RE,PHF21A,FBXO11
LRGUK,SPN,TET2,SH3RF3
TBC1D3D,ARHGAP8,C1QA,ARID1A
ROBO1,MAN2C1,NPAS3,ARHGAP22
PCDH9,NCR2,FYB1,CTNND1
LINC02513,SLC6A6,SLC18B1,NLGN4Y
SEMA6B,PUM3,PRKACB,P2RX4
LINC01854,NEB,ARAP1,VSIR
MARCH2,NAV1,NFIA,IRF8
ZFP36,CCND1,REPS2,C12orf75
ERMN,PLCB2,GPNMB,GRB2
RPS6KL1,ANKRD22,XPO1,FAM49B
AL360015.1,SF3A3,LRRC4C,JAZF1
PXN,POLR2J3,ALDH2,GNAS
CPT1A,HOXA7,SOD2,FAM20C
ZC3H12D,P2RY8,EMP2,PIP5K1B
LINC01482,SLC8A3,RPS4Y1,NCOA7
BCL2A1,NTN1,CST3,BIRC6
TAP2,FOXC1,SHMT1,LYN
SHISAL2A,SPNS2,TNRC6B,PRDM11
CATIP-AS1,COLGALT1,RGS6,FMNL2
AMPD2,EIF3B,ST18,RNF213
TSIX,GOLGA8B,NBPF14,LPP
TBC1D14,CEBPB,MAFB,IL6ST
PWP2,HOXA6,AL392172.2,EIF2AK2
CNTNAP2,FLOT2,IQGAP2,LY86
AC011379.2,LIPG,SLC22A23,RBM6
LMCD1-AS1,NEK10,TTLL4,SRRM2
AC006305.1,BCL11A,TGFBI,FNBP4
ABCA2,LERFS,KANSL1L,LINC02109
HAPLN3,AL139351.3,RPS28,RAP1A
MYL6B,LAMC1,RGS2,PTK2B
HIVEP3,TNFSF13,NUTM2B-AS1,RUNX1
IGF2BP3,ST6GAL1,MS4A4E,SETX
AL445623.2,APEX1,HP1BP3,PIK3R5
AL445426.1,ARHGAP9,ITM2B,WIPF3
LINC01605,AC103702.1,GABBR1,TLN2
MIR646HG,CD63,STARD13,NCOR2
LINC00632,PGP,CSGALNACT1,SOX5
APBA2,CHRM3,NIPBL,CAB39
IL27,FLOT1,KHDRBS2,AL357522.1
ITGB3,C12orf75,MXD1,CBFB
SELENBP1,AC111000.4,HBP1,WDFY2
RUFY4,AC008957.2,NEDD4L,PRRC2B
RANBP3L,MORC1,NBPF26,MBNL1
AC068286.2,FAM215B,CLASP2,SMURF1
LILRB3,ARHGAP31,ADGRB3,TRAPPC9
AC083949.1,IKBKE,OVCH1-AS1,PLXDC2
AC083809.1,RGS3,ARID4A,MRC1
RYR2,EIF4A2,DUSP10,RIN2
TBC1D3,FAM30A,LINC01266,DNMT3A
FPR3,GRID2,NEK7,CSNK1A1
CIT,RAPGEF4,GRN,PIP4K2A
TMEM72-AS1,PDPN,PDK3,MAP2K1
VLDLR-AS1,GTF3A,PTBP3,MEF2A
ADAMTS4,FHOD1,BANP,PALD1
IRF9,TMC8,TNFSF13B,TBC1D22A
MYLK2,RRP12,KLHL6,USP34
CYP27C1,NFX1,PREPL,A2M
TRIM63,MARS,HMGB1,PER3
ST6GALNAC3,LYL1,MAN1A1,CBL
FBXO39,COPS6,PER1,MED12L
KREMEN1,HTRA3,SRGAP1,RNASET2
ST14,MLC1,AL157944.1,JAK2
AC079142.1,SLC38A2,ZFYVE16,STAG1
CRPPA,LARS,SPATS2L,CEP350
AC104779.1,STAB1,LITAF,FRMD4A
ADGRE1,ATP2A3,ATG16L2,MIR31HG
NKD1,JDP2,UBE2B,GAREM1
MYOZ2,SERPINB9,SLC30A8,LRRC8D
PAPSS2,CC2D2B,DANT2,MYO9B
ANKRD22,KDM5C,SH3PXD2B,IL6R
AL022313.4,CALR,ARL4C,CA8
MS4A4E,CSF3R,MKLN1,PREX1
AL352984.1,TMOD1,CEBPA,MLLT10
CDKN1A,ACACA,C1QB,RAPGEF2
CD163L1,TPI1,TSC22D1,ANKRD44
GDAP1,DPYSL2,STAT6,SIPA1L2
TNFSF10,TTR,LINC01515,MYOF
CEP112,UBE2D2,PLXNC1,PSMA1
AGRN,SCFD2,CERT1,KDM2A
ABCA5,CTPS1,IL18,TLE4
FAM106C,CHRNA5,LEPR,RASSF8
ZNF556,CARHSP1,INSR,TNS3
GRAMD2B,SLC17A9,PALLD,DOCK11
CD300A,SNHG15,PTGES3,LUC7L3
AL603756.1,MYRIP,ATP1B3,OTULINL
IFI35,KLHL2,FCHO2,KIF26B
KCNAB3,CLEC17A,RHOQ,KIAA0232
SHISA6,BICD1,PCSK5,KANSL1
AC104827.1,APOC2,OAZ1,RAP1GAP2
SOX5,MTMR4,MS4A14,GATAD2A
GPC5,PDE1B,PPP1CB,CUX1
MARCH1,CNDP2,CLEC2B,EHMT1
RNF217-AS1,LAIR1,CTSZ,NR3C1
MEX3A,SCN1B,ATP6V0C,ATXN2
PRKCA,GPATCH4,ZBTB1,SOGA1
DENND3,PDIA6,TNFRSF11B,PACSIN2
COL7A1,PNLDC1,CDK19,MED13L
MORN1,CCDC26,RIN3,SH2B3
PRICKLE2,ARL6IP4,TTBK2,CTNNA1
AC145285.6,ETS2,ATP2B1,UBE2E1
ADGRG5,TMEM119,MFSD1,LINC00486
AP001610.2,PRICKLE1,ATP1B1,DPYSL2
BATF,FOS,LINC02245,AGPAT3
CXCL9,RASA3,ANAPC16,NCK1
GPR85,POLR1A,ARID1B,MILR1
AC010378.2,AXL,BTBD11,DLEU2
AC090994.1,MAP1S,CLECL1,CACNB4
CPNE6,USP6NL,ATF7IP,HVCN1
SIGLEC10,WDR60,IRS2,CPVL
RNF180,RAB44,SORL1,ITM2B
EBI3,SCIN,NAALADL2,PID1
LINC02133,LINC01146,PROX1,SF3B1
MLC1,RTTN,YPEL3,PLCL2
B9D1,SNHG8,FTL,IGSF21
SCIMP,AC119396.1,HLA-DPB1,LCOR
AP001924.1,AC010745.5,RPL18,RNF216
CYP2E1,NRXN2,NCOA2,DAAM1
LINC01258,HHIP,ATP2C1,RBM25
DSCAS,PLPPR3,GLIPR1,GNLY
LINC01252,NRG4,KMT2E,SUSD6
NLRC5,CD300A,MAGI1,SIPA1L1
CD1D,NDUFAF8,DAB1,NXN
NIBAN1,NUDT14,RPL13,CD276
CHI3L2,GNPTG,HOOK3,ACAP2
MIDN,ZFAS1,CCDC18-AS1,NEAT1
TLN2,TCIRG1,ARHGAP6,RABGEF1
HLX,MYDGF,CLN8,SDCCAG8
TBC1D16,LAPTM5,UBR5-AS1,GIMAP8
LINC00334,IER2,SNX30,IFIT3
SP140,NT5C,AC131956.2,SMAP2
AL672277.1,KRT10,SGK3,ARPC2
AL122017.1,HOXB8,DST,PRDM2
UBXN10,TFPI,MCTP1,LPAR1
NYAP2,NOP2,LINC00937,MDM4
TSPAN13,OSBPL5,MEF2C-AS1,LRP1
STAT2,VASH1,FAM214A,DYNC1H1
CTRC,HNRNPAB,SLC2A9,PDXK
TNKS1BP1,MAST3,BAZ2B,CHD7
SYN3,ARHGAP26-AS1,SWAP70,KIF1B
LINC02240,AC079921.1,CTSB,OAS1
ACER3,TMEM259,N4BP2L1,OSBPL11
PRR22,AC106865.2,RALGPS2,PPP6R3
LINC01187,SYNDIG1,PKN2,RBM47
NTRK3,MYO1G,HLA-DRB5,ZNF608
AC104695.4,SLC44A5,TMEM144,RAPH1
SH3RF3-AS1,AL096803.2,FAM177B,GPR34
SYT13,ADORA1,DSE,SLC7A6
DIRAS3,CANX,GRAMD1B,CCDC50
ABCA10,CAMK2B,NAA16,HNRNPC
GPR84,GRB10,LNCAROD,TRPM2
AC079298.3,HDAC4,ZC3HAV1,ENG
ANGPTL4,PGAM1,PHIP,TGFB1
CALHM5,SH3TC1,LINC02055,CDK13
GZMB,AJ009632.2,CCNG2,DHRSX
OSM,NINJ1,PLEKHA5,NFATC2
AC025569.1,MLLT3,SSH2,TBC1D4
ETV7,HDHD3,IRF2BP2,MYO15B
TNFRSF10D,GPAA1,CACUL1,AKT3
PROS1,CCT6A,CHI3L1,SORL1
AL662844.4,HIBCH,AKT3,CLIP2
AC005229.4,FHL3,LRMDA,CECR2
ZNF32-AS3,BTBD19,CU638689.4,NFATC3
FCGR1B,ATP13A2,TGIF1,GALNT2
CTDSP1,ANKRD28,BBX,RAB39A
MCOLN2,RUVBL1,TPCN1,ROCK2
AC012254.1,P2RX7,METTL21A,SERPINB6
SLC2A1,AL512625.3,VPS8,TTC28
FCRL3,GCNT2,LINC01374,RIN3
CD93,WASF1,ANKRD26,ADK
AL512662.2,CEACAM21,AUH,ITCH
ACSL6,PTGS1,ITSN2,PAK2
AC097518.2,SP100,ELMO1,SMURF2
HIVEP2,DISC1,SNX29,AC087564.1
AC015961.2,ZFP36,FAM111A,CCDC18-AS1
AC124248.1,YARS,WBP1L,ITGB5
HRH2,CALN1,SEC14L1,TLR2
THSD7A,NARF,LILRB3,DOCK4
SHB,SLC38A10,REV3L,PPP3CA
ADM,UPK3BL1,KDM7A,LCP1
LINC02360,BCR,AL390728.6,DIAPH2
RNFT2,ARHGDIA,MBNL1,LINC00278
LINC02150,MTG1,LINC02397,GOLGA8B
GPR156,SUN2,BCAS3,SBF2
SYNPR,CLASRP,RB1CC1,AKAP13
CLUL1,PARVG,MXD4,C22orf34
AL137100.3,ID2,SOS1,ADD1
AC004817.5,ACTN4,AC023469.1,BATF3
NPFFR1,DYSF,HERC4,LRMDA
NIM1K,SLC39A14,MBD5,UBE2E2
LY6H,TNRC18,SOS2,LIMS1
CASC2,TMED9,PIK3IP1,KCNK13
AC096576.3,CBWD5,HSPA1B,CDC42BPB
RGL1,NR1H2,OGA,TPCN1
CEACAM21,LINC01937,SPIRE1,AIG1
ZNF189,TUBA1B,SLC16A10,SFPQ
CCL2,PEBP4,STX7,AZIN1-AS1
U2AF1L5,LCP1,AC127502.2,LPAR5
RIBC1,GLT1D1,PDE4DIP,PAG1
PLEKHG5,PPP1R14B,NUPR1,GPCPD1
ATP1A2,CCDC88B,FOXO3,ACTR2
NEBL-AS1,NAV3,SPIDR,SLC23A2
EFNB3,BIN2,FKBP4,R3HDM2
SLC6A1,VPS9D1,HIST1H2BH,SON
SIRPD,NME1,AL078600.1,FBXW4
PDE1C,CCDC137,CREB1,PPP6R2
BCL2L1,AL009177.1,IDS,GNAQ
AL157769.1,TFEB,OSBPL3,SMG6
LAMB1,KIF3C,RPL7A,PRKCB
HIF1A-AS3,HSPE1,AKAP9,MYO5A
S1PR5,MLX,UTRN,ZMYND11
ITGB2-AS1,AL031772.1,AC012368.1,SLTM
HCN1,SSBP4,CASS4,AC008825.1
FSTL1,KIF21B,ZNF292,PCM1
AC020743.2,CCT5,MYO9B,CD53
PPA1,CSF1R,MXI1,PLEK
LINC02306,AL513166.1,CTNNB1,SUPT3H
AL139393.1,MPRIP,PELI2,PDS5A
BCL6,GRIK1,NCOA1,B3GNT5
AL445213.2,DDIT4,AGTPBP1,FBXW11
TAP1,AC008969.1,TMCC3,LINC02057
HBG2,SELENOH,EEF1A1,RORA
CNTN6,SIRT7,GLUL,N4BP2L2
ANTXR1,AC132192.1,PRKN,ZMAT3
PLVAP,PLA2G15,PPP1R3B,RASA1
CTNNA3,ESRRA,AL161785.1,TGFBR2
RELB,LTBR,CHORDC1,SLC7A1
LINC02804,CACNB2,UBR5,NUMB
C12orf56,SLC1A5,TRA2A,TBCD
BTBD19,NDUFB8,SLC5A3,UBAC2
SHISAL1,MICAL3,FXR1,ARRB1
COL5A3,TSPAN32,RNASE6,KCNMB2-AS1
APCDD1L-DT,SLC20A2,CREG1,ARGLU1
PMCH,SLC1A4,SELENOW,LDLRAD4
GAL3ST3,GALE,BCL2L11,TNFRSF13C
LINC01266,SF3B2,JMY,AP1B1
LAT,DPP7,GAB2,PTPN9
AC016710.1,WSB1,ABCG1,RAB7A
AC083837.1,POU2F2,PACS1,DENND4A
CLEC18C,PTK2,ITPR2,NCOR1
SYNGR3,RASGRP3,AC061958.1,CYTH3
AC090945.1,LINC01252,FGGY,SPEN
AC073529.1,SRSF4,WIPF1,SDK1
UNC93B1,HOXA5,ZMYND8,KMT2C
TAC1,P2RX1,NUFIP2,PANK2
HCN2,JAM3,BRWD1,GAB2
AL109659.2,EFCC1,TNFAIP8,BAZ1B
TMEM121B,MGST1,PLXND1,WNK1
SOWAHA,PFKP,NPL,YWHAE
CISH,AP1G2,MPHOSPH6,BPTF
AP003471.1,DGKZ,AC120193.1,LPIN2
SLC2A1-AS1,MICAL1,BCO2,AFF3
KIR3DL1,GCSH,LRRK2,ITGA9
TROAP,PPRC1,HMGB2,MIR34AHG
TNF,MBOAT7,BNC2,PIK3R1
CEBPD,ACPP,MIB1,MPHOSPH8
AC007278.1,SCAMP2,FGFR1,PI4KA
CXCL10,BAG3,UVRAG,GOLGA8A
SNAP25,ILF3,WDTC1,BACH1
AC007529.2,NOP56,PLSCR1,SETD3
TNS2,CHST12,SMARCD3,HCK
STX1B,JPX,CD81,FAM193A
DDIT4,MPDU1,SLC35F3,PRR14L
GPR149,KRI1,SESN3,ANKHD1
CACNA1B,NEK6,EXOC4,ZNF609
SST,SRGAP2-AS1,HSPB1,MAPK1
RABGAP1L-IT1,SLC29A1,NFE2L2,HP1BP3
LHCGR,E2F3,STPG2,UBE3C
SORCS1,ST3GAL4,DNAJA1,ZNRF2
LKAAEAR1,ARPC2,NR1D2,RAB31
GABRB2,RAD23A,HCLS1,PLPP1
SLCO1C1,AC073050.1,AC009063.2,FNBP1L
SLC25A19,ACTB,MT-ND4L,KCNQ1
CES3,MEIS1,DNAJA4,ZNF846
KCNK9,DHX33,EMID1,SPPL3
SLC38A11,JUND,FNDC3A,PAK1
AC099568.1,MAN2B1,FGD4,TJP1
ZNF883,RPS6KA1,CDKN1C,POU2F2
GZMM,JAK3,GBP2,SMG1
LINC01184,GRK2,SLC9A9,STX8
SERPINF1,AC098617.1,PID1,IARS
AC022144.1,TMBIM6,PRKAG2-AS1,PLA2G4C
CNDP1,OPA3,TMOD2,NRF1
PPFIA2-AS1,MTHFD2,FRMD4A,ITGAL
C9orf106,DYTN,AP2M1,GPATCH8
TNFRSF10C,URB1,TBC1D5,PLAT
ADAMTS14,ABI3,HIST3H2A,MOB3A
SLC26A10,HYOU1,FER,AC068587.4
GPR75,FAM114A1,NPC2,RECK
AC092125.2,SNHG25,RHOBTB1,STRBP
NKAIN4,LDLRAD3,RICTOR,AGFG1
LINC00378,AC008014.1,AFF1,MYH9
NT5E,IVD,NLRP1,MIRLET7BHG
EHHADH-AS1,NDUFV1,TP53INP1,OGA
MFSD6L,RIC3,TLR5,SYTL3
PRR5L,IER5,NEO1,LGMN
P2RY6,FDPS,AKAP13,C20orf194
NECTIN3-AS1,KIAA0930,CCDC7,GARNL3
AC092650.1,NOTCH1,PNRC1,FAM13B
AL157884.2,ACTN1,ZMYM2,CLEC9A
AADAT,PHYKPL,AL162414.1,RBM19
NPY,LINC02211,HPS3,PUM1
LINC02313,PTDSS2,AC007179.1,ECPAS
MID1,RCC1,ST3GAL1,UVRAG
RGS4,PPP1R15A,EIF1B-AS1,NUAK1
AC007785.3,TOM1L1,THBS1,PHC3
NPY5R,PAWR,BTN3A2,DAGLB
SCARF2,BCAR3,MEF2D,ZNF652
LINC00958,ATP6V1D,SLC25A29,RTTN
AL451042.1,ETV5,SEMA6D,ZMYM4
AC244090.1,ATP6V0D1,DENND5B,HM13
ADGRE2,BACH1,LUCAT1,ABHD12
SLC30A10,ABHD17A,PGM5,APAF1
LINC02673,SEC61A1,CD9,DHRS9
SIGLEC12,RABL6,MT-ND5,MTHFD1L
CNTN4,AC103810.2,KIAA1109,SETD2
STUM,ARG2,RPSA,WDFY3
GTSE1,CDK6,SH3PXD2A,KMT5B
FAM181B,RNASET2,CD302,NKTR
AURKA,TLN1,RNPC3,RUBCN
EPN3,MDFI,DOC2A,HDAC9
AP001599.1,NAA25,CNTRL,ASCC3
AC023669.2,CDC37,UBR2,TRAPPC10
CFAP74,NFE2,BEX4,SPECC1L
ZNF804B,SLC7A6,CEMIP2,TBC1D1
AC010511.1,SLC25A39,EZH1,CDK6
TRPM5,ACER3,LCORL,CPED1
AC012645.3,DDX46,GPR135,SND1
PTGIR,SHISAL2A,CCNY,SKI
AL031710.2,PTS,ATF6,ACTR3
KLHL2,TMEM39A,KAT2B,EP400
PLEKHD1,CPNE5,HLA-E,RGL1
SCHLAP1,HIVEP3,STIP1,TUT4
AL358216.1,CIAO1,MPHOSPH8,TRA2A
EFNA1,C1QTNF4,WDR48,UBE2K
CLEC4E,PUDP,MTRNR2L1,SP140
ADGRA2,C11orf49,TMTC2,FBXW7
S100B,TNPO2,MLF2,ZNF148
AC015819.1,COMT,MAP3K1,DSCAM
LINC01351,RPL10A,LINC-PINT,RREB1
KCNT2,CDKN1A,DTNB,AC012150.1
AC015922.3,GPI,REL,CTTNBP2NL
AC027544.2,ZMYM3,PECAM1,MLLT6
AL133405.2,OLR1,GABARAPL1,MIR4300HG
WDR97,IRAK1,NGRN,PDGFA
AC061992.2,CCDC12,ANKRD12,EPN2
EPHA8,CACNA1C,PARP4,MACORIS
GPR61,PIK3C2B,HIST1H2BD,USP24
AC233263.6,SIPA1,TSPYL1,DNAJC5
C8orf34,ARPC3,TIMP2,P2RY6
A3GALT2,SAT2,N4BP2L2,NFIC
SORBS2,OGFR,PPP2R5C,ADRB2
LRRC39,KNOP1,PCM1,C6orf62
CCNT2-AS1,IL6R,SAMD12,CCNY
AP001922.5,NME2,ZNF518A,P2RX7
C1orf194,AC011379.2,PLD3,SGSM1
NOSTRIN,AC025569.1,INPP4A,LINC01357
RARA,KPNB1,CHD1,CD99
TMEM59L,JUN,DCSTAMP,SORT1
MEI4,ZNF232,SNX9,VPS13D
FHL2,ANKDD1A,IGSF21,CARS
AC104758.2,NOLC1,RESF1,TMEM273
AL133516.1,ITGB2-AS1,ZNF83,FCGR1B
SCG3,NFATC2,PLB1,ARID1B
CA4,RNF24,ITSN1,MGLL
CSPG5,GSN,TTTY10,KMT2A
ANKRD7,RBM4,LRMP,HIVEP3
OR6C1,SRA1,ATP5IF1,ALOX12-AS1
