earlyAD,lateAD
GALNT18,SERPINE1
SALL3,TEK
COL22A1,ZFAND5
CCDC65,GRN
NUP210L,CLEC2B
BMP3,LMO2
KIAA1257,PCDH10
QKI,GCNT1
CALB1,PSMB8
ANTXR2,AMIGO2
SH3GL2,RGS7
MYCBP2,NOTCH3
RERG,MT1G
ASB14,GPSM3
KCND2,MT-CO1
MYCBPAP,AL606807.1
AP001831.1,IL32
SERPINE2,TNIP2
SORCS2,LINC00702
CCDC151,ATF3
A2ML1-AS1,CDKN1B
CHD7,RASGRP2
GDA,XIST
DNAH1,IL3RA
CDHR3,PLIN2
LINC01354,FABP6
AL391840.1,ITGA5
ABCB11,PDE3A
IFT46,TNFAIP8L1
AC125613.1,HERC2
GRAMD2A,CCDC190
SVOPL,AC020916.1
MYO16,MYADM
C8orf34-AS1,ITGA1
IQCK,SERPINB6
AF165147.1,HSPA12B
HSPH1,FOXF2
ANKS1B,LRCH1
AL133372.2,CYB5R3
SAXO2,SLC19A3
PAQR6,IVNS1ABP
ARHGAP39,RBPMS
SLC14A1,FGD5
GALNT16,APBB2
AC097532.3,FURIN
ELL2,NR2F2
CCDC33,SAMD1
STRBP,HSPA8
CCDC138,ACTN1
C10orf105,ID3
TPPP,PRRG1
ATRNL1,GABRG1
AC007695.1,C2orf83
FAM189A2,GAREM1
C9orf24,MYO1C
SRCIN1,AL589740.1
CRB2,SPP1
AC091826.2,RGS3
DLGAP1-AS2,ADGRG6
KIF9,SYPL1
UBC,IFNAR1
MYO1E,LRMDA
GPR37L1,TMEM54
LINC01563,POSTN
TRIL,C12orf57
MAK,LPAR6
CNTRL,LINC01513
CLSTN2,CALM3
REEP1,CASQ2
CACNA1D,GATM
ENTPD2,SLC1A7
AC131944.1,CCDC50
ABCC3,AC091078.1
CDKL3,AC080132.1
MATN2,SERPINE2
AC090578.1,TAP1
LINC02416,LHCGR
AC010255.3,AKR1B1
CCDC180,APLF
ASTN1,TAX1BP3
EHBP1L1,CDC42EP4
SRGAP3,AC083870.1
NHLRC4,MIF
HES6,SUSD5
FAM181B,CLIC2
CALM2,TM4SF1
SHANK3,AC009229.2
PI15,SLC6A12
FSD1L,PAQR8
PSAT1,HSPA6
AC005162.3,APOD
FOXG1-AS1,PRDX1
CERKL,PLSCR1
NRK,SLC38A11
KCNMB4,AC110058.1
APC,PRKD3
RFX2,PRDM8
SFMBT2,MCL1
KCNJ16,GAS2L1
AC005487.1,PPP1R18
PTCSC3,TMPO
EFHC1,CCNY
MT1M,FRYL
ARHGAP26,MFNG
BHLHE41,PLXND1
SEMA5B,CES1
CORO2B,FLT4
SNCA,NR4A1
HRH1,RERGL
ABI3BP,SLC35F1
MORN5,MFGE8
TAFA2,TIMP3
DLEU1,RPL14
C1QTNF8,CRB1
WDR60,CCDC62
AC018730.1,HEPACAM
ARSJ,GJA4
ECT2L,TRIM47
CFAP69,RAN
TMC4,SPON1
LINC02624,IFITM3
NRBP2,GABRB1
LRIG1,AC113383.1
PNMA8C,MBNL1
TTC25,SMAD7
CALY,PSMB6
ANKRD44,SOX18
WDR92,YWHAB
AK1,SCAND1
PER2,ANKFN1
IFT27,TNS1
GPR39,ANXA5
LINC01708,ANGPT1
CDKL1,SCN9A
ANKDD1B,PINK1
WIPF3,IMPDH1
ITGB4,LMBR1
KITLG,AL139246.5
MT-ATP6,RUNDC3B
MARCKS,NRGN
PLK3,CTNNA2
MAATS1,TRAPPC5
SEMA6A,ITGA2
DPYSL2,COL6A2
RGS7,CSRP2
IL3RA,TRIL
GINS3,SBDS
PDE4B,TPT1
C9orf72,AC244131.2
FAM81A,SLC16A1
STON2,GPR85
CACNA1E,GPR20
SNAP25,EIF5A
SFTA3,GNAO1
ADGRA1,ATP1B2
ARHGAP32,MYL12A
DPF3,CHST9
AC004158.1,PHYHIPL
SYT16,CAP1
MAP1A,PROX1
SHC3,AC093797.1
SPATA4,SORBS3
AC105383.1,BAG3
AL137009.1,JAG2
LINC01114,SLC14A1
SPATS1,ANKRD37
PREX1,NPDC1
CCDC24,JAKMIP2
NEGR1,CAVIN3
JAKMIP2-AS1,EMCN
SPEF2,CNTN4
AC103923.1,CERS1
GNB4,RPS19BP1
H3F3B,ADGRE5
BRINP3,AC104083.1
ADGRG1,MPDZ
MIPEP,RGS4
LPAR3,KLF11
RORB,IL15RA
MTSS2,TNFSF12
KLHL5,SH3BP2
ZNF584,ARHGEF15
RSPH14,RFX3
CCDC88A,CHORDC1
PPP4R4,OAS2
PON2,TMEM47
ARMH1,POU3F1
EPPK1,SCN7A
DIPK2A,KIF1A
AP000943.2,TRMT112
CEP41,FOXG1
VWA5B1,ELL2
TMEM254,AC002546.1
LGR6,LGR6
FLACC1,RALYL
RIBC1,HIF1A-AS3
HSPE1,NOL4
NTN4,EPAS1
PPP1R14C,AP000787.1
NAT14,TTC34
AP002762.2,HACD2
CLHC1,ZNF524
CA13,ZNF22
TTLL5,GUCY1A2
AL137847.1,NDUFA12
PROX1,CIAO2B
CADM3,SIPA1
LEF1,RPP21
DPP10-AS3,CALM1
MRVI1-AS1,HIP1R
ATF3,ARAP3
IL16,AL589935.1
PFDN6,SYNGR2
AKAP6,MXD4
AL590560.2,UBA2
AC083837.1,LINC00461
AC115622.1,RPL18
CKB,VWA2
ACSBG1,DNAH2
C16orf71,AC114971.1
PGM2L1,CARMIL1
AC026704.1,AOC3
AC104827.1,GNB2
MAP1B,NOS3
ZC2HC1A,HSPB8
FAM181A-AS1,HSPE1
PIFO,BHLHE40
RGS3,SGCA
BCO2,FAM117B
ERICH6-AS1,DISC1
CCDC13,FES
FBXW9,HPYR1
LYPD1,SNRPB
ATP10A,KIF6
MT-ND4,EPSTI1
FLT1,ARPC5
ARHGAP40,BTF3
PWRN4,SH3BGR
LCA5,HLA-DRB5
RSPH10B,CYSTM1
FAM81B,RRAD
AL035701.1,C12orf75
CSRP2,PDLIM2
TSHZ2,SORCS1
COLCA2,FMO2
TUBB4B,STAMBPL1
APC2,ASAP1
KIF24,MIR222HG
ADGRD2,LINC00989
GASK1B,CNDP2
COLCA1,DYNLRB1
GADD45A,ADM
MACF1,COL14A1
YBX3,STX3
CCDC191,CCDC86
IQCD,COX6A1
DDAH1,GRM1
ZNF350-AS1,COX7A1
CYSLTR2,STAU2
