earlyAD,lateAD
DGKZ,BCL2L1
THBS2,INSR
IRAK2,KIT
CPNE2,GTF2I
AL445250.1,AP001977.1
FBXO7,PGP
STARD13,TECR
STX16,SPRY2
LAMP1,PNPLA7
ZNF397,PCNX1
ERMN,SGIP1
RPS6KA5,JUND
MAP3K2,OLMALINC
FGF1,CTSD
PTPRK,EVI2A
LMNA,TASOR
RTN1,CALM2
BMP8A,DNAJA1
OCIAD1,NAT8L
ECE1,NEO1
MRPS5,PIP4K2A
RAB3IP,SH3KBP1
PAK2,CEBPD
AVEN,ASB3
SOX2,SLC22A17
TMC6,YY1
ZNF536,TNS1
DDX46,FER
CLOCK,GAPDH
HNRNPDL,MARCH6
CAPN3,FSD1
LINC01006,NUP210L
ZNF706,DEAF1
AC004797.1,PPIA
ZBTB38,KCNK1
ENPP2,LINC01151
SNRNP70,SARAF
UGT8,LURAP1L
PRDM2,BBX
SLC44A1,SS18L2
ARAP2,HPR
DARS,RBM26
PACS2,ALDH3A2
PFKFB3,TANC1
ALAS1,CLCA4
GINM1,SERHL2
NPTX2,CYB5R4
USP9X,CBX5
NSD3,FAM171B
APBA2,FBXL17
PCBP1-AS1,CHST3
UBR1,GPC5
KDM4C,MPDZ
PTP4A2,CDH8
ST18,FAM53B
TIAM2,HNRNPDL
CREG2,CA11
TM2D3,OR7A5
GPC5,KLHDC2
SORCS2,AC027130.1
LIMCH1,CCNH
ROR1,EFR3B
CAMK2G,CLDN12
ZNF621,TNPO1
IGDCC3,JADE3
B2M,STARD10
PURA,KCNIP4
OLIG2,LMO4
NCOA1,POLDIP3
TUT4,BICDL1
NXPE3,RALGDS
OFD1,AL365295.1
THUMPD3-AS1,HBS1L
MAP1A,HOMER1
ETV5,UBA6-AS1
SLC7A1,AC016821.1
STAG1,SF3B1
HNRNPA3,MT-ND4
NDE1,TMEM189
RBM33,ARL15
AC004158.1,GPR37
CD63,PIAS1
POLDIP3,TPD52
YARS,C9orf153
TRAPPC10,CNTLN
KPNB1,RSBN1L
TRIM9,ABCC5
C12orf76,SSBP2
SLC25A48,MED13
PPFIA2,CEP128
PIK3C2A,DUSP1
RYBP,DDX3Y
WNK1,ZNF488
ZNF451,MPP5
ZBTB37,BMPER
ACTN4,AP003469.4
SLC22A23,RPS6KA3
GOLGA4,ZDHHC2
ANKRD11,DICER1
KANSL1L,BANP
SHMT1,ZNF33B
CDK6,AL158071.3
ALDH3A2,PPP3CB-AS1
RTN3,TMCC2
SRSF10,PIK3CA
FAM168A,SIK2
TBCB,PLPP2
KLC1,GNAI1
FAM13B,PURA
HERC2,NXPE3
WDFY3,GK5
MAL,DSEL
EMC2,DENND11
CRB2,NTRK2
AC006148.1,BCLAF1
AL645465.1,RALGPS1
RPS6KA1,C11orf49
TNPO1,RPTOR
AMD1,CTBS
FA2H,KCNQ1OT1
ARID5B,MVB12B
DSEL,DYNC1I1
TEAD1,PMPCB
ZSWIM5,CALM1
PKD2,TUBA1B
USP34,CREBBP
GSN,LINC01445
MYO7A,ST8SIA1
MBNL1,ANAPC10
MYO9B,TSPAN19
GDAP1,TPT1
PTPRE,NRIP2
TRIO,HAVCR2
CLCN4,KIAA0586
VPS13C,HMGN3
SARAF,SPRED2
TRRAP,SEMA4B
RPL18,TMC6
ACOT7,ARID5B
ADGRG7,EGLN1
SLC5A11,PSME4
ARID4B,HACD1
DCUN1D4,GCA
ADAM19,ZMYM2
SLC38A1,PEPD
MAP4,LMTK3
CORO1C,AHCTF1
RAB10,SS18
ANKDD1A,TAX1BP1
SERINC1,LRBA
CDH2,CHST1
BCL2L1,ZFAND3
HSPA2,SERINC1
DISC1,TMEM117
ZSWIM6,UHRF1
GNAQ,PCDH10
SPATS2L,PLEKHA5
RALGPS1,LHFPL3
CNOT2,ARGLU1
ZEB2,KIAA0232
POU3F3,ARMH4
DDX5,AVEN
PAPOLA,PPP3CA
ARHGEF2,CRHR1
CRYL1,ZFAND5
CNPY2,CLDND1
ACTR1B,AC009704.3
FEZ1,SERBP1
CLK1,RAB9A
TSEN15,LINC02240
PPP6R2,NRG2
ICOSLG,CAMK2D
PDXDC1,LINC01004
LINC02649,NPEPPS
NLK,PICALM
CCT5,B2M
AATK,PRKN
NUP210L,TTLL7
RPL5,MAP1B
NOP56,OAZ1
LINC00844,FOXN2
FKBP4,GPR146
ARL6IP1,TCEAL1
FOXK2,VEGFB
POLR2F,GULP1
PDK1,TXNL4B
SPRED2,CCT5
TMEM87A,TAPT1-AS1
TRIM44,TMTC4
SNCA,TMED7
SLAIN1,NDUFS2
ZMYM2,DPYSL2
MCUB,SUPT3H
MSI2,HMGCR
PUM3,STAG2
SELENOW,FBXO44
ADAMTSL3,MFGE8
RPL11,CAPS2
PTPRS,CYLD
BBS2,CRIM1
SCD,ITPRID2
NAPG,ATP6V0C
AHSA1,CSRNP3
MTHFD1L,GDE1
ABHD17A,PPFIBP2
RAI1,ACSL1
MCPH1,DEPDC1B
SMARCA1,AC016831.5
CCT3,GABBR1
PRPF4B,PUM2
AC010618.3,AL137140.1
RACK1,AEBP2
SYNE1,DHX9
RAC1,AC005064.1
PILRB,GPIHBP1
TRIM59,PURB
TCF4,SFMBT2
CTTN,SSBP3
IDS,ITM2C
PHC3,CDH19
PPM1K,COX5B
SERPINB1,PPP4R4
BMERB1,LPL
KLF13,SLC24A2
ZRANB2,SRSF7
TPM1,GNG5
TUBB,NEDD4L
ITPRID2,AL591686.2
STK31,GDPD1
PIK3R1,ZCCHC2
CFAP161,CLEC2A
MEG8,SDC2
PEG10,PSAP
RPTOR,MYH11
ZNF365,SLC36A4
JAM3,SPECC1L
ASIC1,MYOT
SERINC5,FBXL7
CD46,TOPORS
SMC1A,SDK1
ANK3,C4orf48
FSCN1,INPP5A
SSX2IP,STIP1
PMP22,SEMA3C
TENT2,RAPGEF3
MEIS2,CACNG7
HID1,NFE2L1
CHDH,BNIP3
XRN2,PURG
TBCD,FAM216A
PDE4DIP,KDM4C
HMGB1,ZMYND11
MON2,CFAP161
CLASRP,SLC17A5
YLPM1,NCOA1
HCG17,SRPRB
CRTC3,FTX
YTHDC2,PHLDA3
CERS2,MORF4L1
NFKBIA,H2AFZ
ERCC6L2,CTSL
ZBTB20,IL17RB
TMED10,KMT2E
CCT6A,TMED10
FNBP4,EEF1E1
VWA1,SLC41A2
ACSL1,UBE2D3
SMC5,IVNS1ABP
MVP,SEMA5A
BIRC6,FAM172A
KIF21A,MAFF
CSNK1E,UBE3D
TRIP12,ZNF397
IL1RAPL1,SOD1
SETD5,ATP11C
SFT2D1,TMX1
EIF4G3,AC096677.1
TTLL11,HDAC2-AS2
TNKS,ABTB2
NDUFB8,LGALS3BP
PRKDC,EPN2
LRP1,PIK3C3
WSCD1,AGTPBP1
ZNF292,STARD4
VDAC1,EIF4G2
ATF4,ACYP1
NKX2-2,DOCK7
ZNF488,USP15
TTLL7,NUAK1
MGRN1,FEZ1
CLTA,CHSY3
