bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
DLGAP2,BSCL2,AL445205.1,RPL24
HOOK2,IP6K2,AC245187.1,SPEN
DIPK1B,ATP6V1F,AC006974.1,NF1
EIF4E1B,PIR,IL1RL2,CAMSAP2
EIF4A2,EPB41L4A-AS1,AL645634.1,SULT4A1
RPS25,CX3CL1,U62317.1,TOR1AIP2
ZNF641,CAMK2B,OR52A5,BMERB1
RPL18A,GSTO2,LINC02120,ZSWIM6
STMN1,RPL39,AC091231.1,MTCL1
AC108519.1,RACK1,AL158151.4,RPL32
AL596087.2,CNBP,AL670729.2,MIATNB
GABRA1,KLHL21,NPHS2,AC111006.1
SLC25A3,MMP24,AL592528.1,HMGN1
FKBP8,USP2,LINC02714,CYFIP2
B3GALNT2,BLCAP,AC025048.1,FNBP1L
CMC2,WASHC2A,AL049871.1,ATP6V0A1
NAV1,MPHOSPH8,AC110614.1,BIRC6
HEXA,NME4,AC104257.1,MBTPS1
STX1B,TMEM127,AL034428.1,UBE2O
ACO1,EFHD2,AC027451.1,ARID4B
USP9X,ANKRD36,AC009965.1,TTTY10
ANKRD34C-AS1,PRRT2,AL590681.1,GPBP1
APBA2,RETREG2,AL353751.1,RNMT
LINC02347,GP1BB,AL008638.1,RUFY2
KRAS,MMAB,AC007834.1,CDKL1
KDM6A,NFIC,OR51E1,CLNS1A
GPR155,RBBP7,AP000688.2,HSP90AB1
ZNF727,TMCO3,GLUD2,PAK5
IDH3A,SLC32A1,AC092813.2,MAPRE2
RPL7L1,PRR7,AL035467.2,AC092835.1
HLTF,KLF13,C17orf99,BOD1L1
FSTL4,AL512603.2,OR10A2,SPART
PHC1,SNAP25-AS1,AC020655.1,DIP2B
ZNF428,ITPK1,AL391704.1,ANKRD55
GLIDR,FUS,AC010834.3,TXLNG
CDK9,NFKBIA,ADAD1,CACYBP
RHOB,PANK3,AC135726.1,MGST3
PTP4A3,ARL8A,CAVIN3,NGRN
SMIM19,HNRNPA0,AC060765.1,KMT2A
RNH1,JUNB,ECHDC3,LARS
CPSF4,GRINA,SENCR,HTT
BABAM2,GOLGB1,AL445623.1,SLC45A4
SH3BGRL,ABCD4,FAM138E,AC079062.1
SPOCK2,XPC,CPXCR1,PGP
FBXO44,SEMA6B,SPAG11B,SEPTIN6
REEP5,GNB2,LINC01082,R3HDM2
RHOXF1-AS1,NAB2,LINC01143,ASPH
AF117829.1,HSF4,AC130456.4,KIF1A
FBXO31,CSNK1G2,TLR2,ARHGEF11
AMH,GEM,CU633906.2,CAMLG
SRRM4,SIRT7,AC106886.3,SRGAP3
SECISBP2,ANKRD30BL,FAM205A,CATSPER2
PXYLP1,MLLT11,USP29,AK3
MLH3,FANCM,AC016747.3,ZNF586
POMT1,NDUFA10,GIMAP8,ADAM22
SEC24B-AS1,MT-ND4L,LINC01609,CAPZB
MRNIP,EPN1,ULBP3,KMT2E
ATP1A3,HERPUD1,AIF1L,SGIP1
HECW1,SYNGR1,AC090125.1,ITGB1BP1
AL357873.1,INA,MID1IP1-AS1,CSNKA2IP
NUDT7,HPCAL4,AC100778.4,DZIP1
PURA,CDV3,AC010524.1,MEG3
MAP1LC3B,TPI1,AC090338.1,CERS5
AL355472.2,COMMD6,AC008738.3,WDR61
FAR2,XPOT,AC018495.1,STOX2
ZFYVE28,RAB5B,AC022035.1,DNAJC7
ZFAND2B,CCDC92,LINC02559,SEC61A2
LINC02389,VSTM2A-OT1,NCR1,ANXA6
PSD,ZBTB7A,AL133553.2,NAALAD2
CRYL1,THOC3,AC009686.1,SRCIN1
MIAT,TMEM151A,AC055878.1,HIBCH
YPEL3,TAF7,AC110609.1,MGAT3
SRGAP3,TMEM9,LINC00347,ACAP2
PCYOX1,SLC48A1,PDE11A,TOM1L2
NOP53,PANX2,FAM220A,TMEM178B
CCDC122,CCDC144A,LILRA6,SOBP
MIR124-2HG,RPS15,AC188617.1,AC079382.2
ASB13,RPL18A,AC079341.2,ARIH1
TIMP2,SNAP25,FEZF1-AS1,SETD2
RACK1,CAMK2N1,CD86,CELF4
KCNH3,TMEM25,AC008825.1,GALNT11
PCM1,C1orf35,AC010677.2,MAPT
NUDT3,ZNF91,AC099795.1,NFATC3
EEF2K,RSAD1,LINC00858,KLHL42
ARL4C,EIF4A1,AC011479.2,SRSF5
GOT1,POLR3A,SELENOP,SCAMP5
LEKR1,CFL1,FBXO3-DT,SORBS1
FAM81A,COQ8A,GSX1,LUZP1
CLSTN1,SLC6A17,AL353600.2,CHD2
GIPC1,HAGH,AC016705.3,UCHL1
CCDC191,KIF1A,AC015878.2,COX10-AS1
ATP5PB,PTDSS2,LINC02306,NACA
PACSIN1,TAF6,CA14,AGAP1
ARL17B,SAMD14,LRP2,CAMK2A
RHBDL1,RPL28,MLIP,PBX1
SRRM2,DUSP5,AC234917.1,STYXL1
CDC42,ABHD17A,AL355677.1,TGS1
GABRG3,REEP2,PRR23C,PEBP1
MT-CO3,FOXRED2,TDRD5,MYCBP2
BEX4,DCXR,AP000547.3,SCN2A
RIPK1,NCOR2,NCR3,DMXL2
APC2,MRPL34,TENT5D,TAF15
