TTLL7,ISYNA1
DAB2IP,ZNF891
SORBS1,MT1M
AC087854.1,ADAMTSL1
PHLDB1,SNX7
CCDC85B,AC068643.1
MARS,SLC25A18
MFSD2A,DPH6-DT
TMED10,DIPK2B
TUBB2B,SDK1
ITGA3,AL591519.1
KDM4C,GRK3
FABP7,EFHC2
HNRNPF,HNMT
EPB41L4A,AC243964.3
TMEM248,AC012447.1
LPIN1,DLGAP1-AS4
FLOT1,AC026167.1
BSCL2,VRK2
WHRN,TEAD2
TIMP1,EFCAB2
GLI2,CD109
RCN1,AC020916.1
CLK1,PXDC1
PPFIBP1,FRMPD3
PAK1,FBN2
ADAMTSL1,CCDC160
AC105942.1,AL354824.1
SARAF,WDR78
THUMPD3-AS1,AC116903.2
SYN2,ACVR1C
CSGALNACT2,AC012178.1
PLPPR4,WDR66
NOCT,SH3BGRL3
EIF5,PLEC
PSAP,CCDC169
COTL1,CFAP97D2
SDS,ASXL2
NFKB2,ENAH
CLSTN3,AC092652.2
AJAP1,TMEM14C
UBAP1,AC132153.1
TGFB2,CNKSR3
AC105402.3,SHISA9
FXYD6,PRPF40A
SPTSSA,AL359546.1
EIF4EBP1,LINC02208
NUP98,LINC00880
ASNS,GPER1
TNFRSF12A,AC104806.2
NEK6,AMOTL2
GAB2,CYCS
TMEM176B,C19orf18
TMTC2,DLEC1
SRSF7,EPCAM-DT
VCL,TRPC6
JHY,CHST11
SYNE2,SYT1
P2RY6,CCDC81
SHC1,VASN
IL1RAP,VASP
POLR3A,PDYN-AS1
TNFRSF10B,PEG3
SRGAP1,GDA
LSM6,LRRN1
DTNA,CHST12
CAST,LNCSRLR
NFKBIA,AC003991.1
ATP9A,BDH2
CTTNBP2NL,PDK3
SPP1,CFAP44
KAT2A,AC008667.1
MAPKAPK2,NAA11
RHOB,AL596087.2
NUFIP2,AC007221.1
FEM1C,FLCN
RAMP1,HPSE2
S100A1,BGN
NMT1,HILPDA
TRIM36,FAM3D-AS1
PLAUR,SLC9C2
SNCA,AL031056.1
CD99,CLCN7
C9orf16,ABCC3
PNISR,AC009163.1
GPT2,AL133444.1
SP1,DEAF1
SRSF3,MTHFD1L
CSTB,ASCL1
ELMSAN1,LINC01902
ATF4,AC087857.1
PXYLP1,CACNA1B
MAN2A1,SLC28A3
ITGA6,CACNB3
EPB41L3,AC136489.1
DLG5,SCN1A
MSMO1,SHC3
SLC9A3R1,SOX8
RGL1,APOLD1
KAZN,H2AFZ
LINC00511,IRAK1BP1
SIAH1,ZBTB16
DISP3,XKR4
SMIM29,LARP7
KCNMB2,MYO3A
TRPC6,PADI2
MMP16,AP006248.4
STAMBPL1,AC104461.1
PAGR1,LAMB4
ATP10B,PIAS4
HIVEP2,NEBL
FAM3C,TPD52
COL27A1,WNK2
TJP2,NKX2-1
PLK3,DOCK11
PALLD,KIAA1211
GLIPR2,C10orf67
BRD2,CFAP52
SRRM2,ZBTB1
LAMA5,TNFRSF19
ATP2B4,AC093689.1
TXN,PPP1R1C
LRRC8B,AC005064.1
IL6R-AS1,AC016831.7
ARHGAP29,AP1S2
KLF7,C4orf48
SLC7A11,ZNF589
HNRNPU,NES
KCNMB2-AS1,ONECUT1
SMC5,HVCN1
SH3BP2,EFCAB3
PPP1R3C,C11orf80
TMEM229B,GCHFR
RIPK2,NFIB
MRC2,AC079062.1
ASXL1,MUC1
LINC01138,DTX3
RGPD2,VIM
DCN,AC092422.1
CA2,MCRIP1
PLPP4,CRYAB
PCP4,CELSR3
MAFG,ERBIN
SGMS2,OTOS
ABCD4,TBC1D5
ZNF460,B3GALT5
AGO2,HPN-AS1
PLOD3,COBLL1
RPL3,SEMA3C
AC016042.1,AC116345.1
PAFAH1B1,CASK
MOB3B,TPBG
GABARAPL1,DCC
MYO7A,AK9
HMGCR,CFAP299
APP,AC010754.1
AKNA,GPRIN3
TOB1,GRIK1
PPP1R15A,CFAP74
SH3BGR,TRAK1
COL1A1,CSRNP1
ZBTB21,AC106845.1
ERF,STON1
RPLP0,TXLNB
AVL9,KAZN
GMNC,CCND2
BCHE,MYLPF
CNR1,HCG22
SPPL2A,SPTSSA
TRIM47,PCNT
AL157886.1,ZNF81
FRY,MIF
NAV1,HK2
CP,CFAP45
SOD1,ARHGAP42
CCDC175,AC073569.2
B4GALT5,RAP2B
EGR3,CNTN5
AHI1,CRIP2
AL022332.1,ZNF765
RANBP2,RNF19A
RASA3,CYP39A1
APOC1,PIRT
AHNAK2,ATP8B2
ABHD3,RFX3
ARL17B,ZNF358
FSTL3,FGD3
CXXC5,SPACA6P-AS
BAALC-AS1,YOD1
AC010359.3,AC188617.1
SBNO2,AC233976.1
AOPEP,KCNH3
LONRF1,ADAM12
TSHZ2,AL121987.1
PRRC2B,SCN7A
ANKRD12,JUND
CAMSAP2,IL17RB
GRB10,GMPR
AC188617.1,PCDHB16
SH3BGRL3,IRS1
TCF25,AL645608.6
KLHL13,ANKRD45
SNHG31,CAPS
XBP1,RFX1
SNTB2,HAVCR2
PLCD3,JPX
CYB5B,FZD8
ALPK1,AL109930.1
DNAJB4,MKX
IL6ST,SLC9B2
SELENON,CCN4
TRAPPC5,BCHE
BTF3,FAM27C
DGKH,AC093305.1
EIF2S2,PLOD2
NPAS2,TSPO
LRRC8C,RASGRP1
BRD4,AC006115.2
ENDOD1,RPS6KA2
PIRT,ARHGAP10
AC110023.1,AC078788.1
CAMK1D,VAT1
APOL2,LINC01954
ELF2,LINC02307
DENND5A,A1BG
AC026341.1,NDNF
CASC15,EEF2K
MYL6,AL035071.1
PAX8-AS1,C1orf158
RRBP1,ADRA2C
SPRED1,SRGAP1
IFNAR2,PCDH18
FBXO32,CERS6
CHAC1,FBXO44
INPP5F,LINC01134
MYEF2,CA9
IFNGR2,GLTP
MAPK8IP1,AC018557.1
CDK17,LINC00884
PTPA,SLC35F2
SFTA3,CKS2
NUP210L,SCHLAP1
HDAC7,APLN
ARL6IP5,MINDY4
GPR155,AC012414.3
LOXL1,EMP1
PPIF,NTNG1
ATP1A1,FUT11
ZDHHC18,JUN
CD151,DUSP3
DHCR24,FAM43B
ACTR3,PEBP1
CD24,TRO
CARM1,STK32A-AS1
GALNT8,PPM1D
PHLDA1,CD59
GALNT15,PGR
LPAR1,DUSP8
PNPLA2,PFKFB2
NDUFA13,BAD
SULF2,DAW1
RNF19A,LINC02836
CABIN1,IGSF11
UBE2B,CFAP157
MPPED2-AS1,LPCAT4
NPDC1,ARPP21
MEF2D,AC007952.4
KCND3,NDST3
TAGLN2,DYNLRB1
DYRK3,SCN8A
COX6A1,AP003469.4
AHSA1,STON1-GTF2A1L
CADM4,AHNAK2
ABCA1,HECW2
ABCA8,LINC01284
AL109930.1,SHANK1
CSNK1A1,CES1
CBARP,SNX27
FLNA,RNF24
PTTG1IP,AC245060.5
CYP51A1,PTCSC3
NME2,AL133367.1
CH25H,CYSTM1
SOD3,AC009407.1
SLC19A2,MAP2
AC104024.4,SLC39A12
ARHGEF11,AC067750.1
RABAC1,AC011997.1
TBL1X,UFD1
NUMBL,VCAN-AS1
STK3,WNT7A
EPOR,BTG3-AS1
DCAF5,SIDT1
AC109492.1,BAMBI
SLC7A1,H1FX-AS1
KLHL15,NT5DC3
PLSCR4,CNR1
AL512422.1,CAVIN1
PPP2CB,RABGGTA
ATOH8,MFSD11
LIMS1,AC132872.1
PLCB4,SPART-AS1
PALM2-AKAP2,DCN
MCUB,TBC1D9
ADAMTS3,LINC01622
HES1,LINC01561
FAM107A,PLXDC2
CAPNS1,LMTK3
PRKCA-AS1,LINC01331
TSC22D2,ZC3H12B
RASL12,SLFN11
VEZF1,SLC45A2
UBQLN1,DNA2
THBS2,HCN1
NRP2,NELFE
RENBP,KIF5A
COPRS,AL451085.1
POR,CYP26B1
LYST,TCTEX1D1
PTP4A2,CLIC1
TC2N,TMCC3
TBC1D15,EFHC1
ALKAL2,CSRNP3
RPL4,AL133346.1
ABCA3,ABI3BP
CUEDC1,CFB
OXR1,MAP4K5
MTHFD2,AC104083.1
TCEAL9,TMEM246-AS1
YTHDC2,AC073336.1
MT1F,ITPKB-IT1
AKIRIN1,TMEM74
MBNL2,NEFM
PPRC1,SSBP3
AL512662.2,CASC6
AP1S2,IGSF5
DUSP22,OXCT1
C4orf47,DNAJC28
ANKRD28,CNIH2
CTTN,AC104211.1
PSAT1,AC092652.1
TLE2,AC117464.1
AC126696.3,HCG18
IFT43,KEAP1
CASP7,MDGA1
ATXN7L1,AC016042.1
TMEM87B,CLMAT3
SCN9A,PTP4A3
GLIS3,AP001007.2
CDH11,AC022915.2
CSDC2,PRCP
AHCYL1,LANCL3
TAF4B,IL4R
CCT6A,BACH1
FAT1,GAL3ST2
CDYL,CFAP206
LINC00963,N4BP2
SKI,HLA-F-AS1
CCT3,AP000793.1
PAG1,AL136456.1
SPHK1,DBI
